B240 BAGLEY:BAGWELL:BAXLEY:BEACHLEY:BEAGLE:BEASLEY:BEAZLEY:BECKLEY:BEESLEY:BEEZLEY:BEGLEY:BESLEY:BESLY:BICKEL:BICKLE:BICKLEY:BIGELOW:BIGLEY:BISSELL:BISWELL:BIXLEY:BOGEL:BOGLE:BOSKILL:BOSLEY:BOSWELL:BOXALL:BOXWELL:BOZILE:BUCKALEW:BUCKLE:BUCKLEW:BUCKLEY:BUSHELL:BUSSELL:BUSWELL:BUZZELL
B242 BUCCLEUCH:BUCHHOLZ:BUCKLES
B245 BAGLION:BECHLEM:BUCKLAND:BUCKLIN
B246 BACHILER:BIGLER:BISLER:BIXLER:BUCKLER
B250 BACON:BASCOM:BASHAM:BASKIN:BAUCOM:BAUGHEN:BAUGHN:BEACHAM:BEASON:BECKHAM:BEECHAM:BEESON:BEGGAN:BEZONA:BICKHAM:BIGHAM:BISSON:BOGAN:BOGGAN:BOJSEN:BOYKIN:BOYSEN:BUCHAN:BUGIN
B251 BEAUCHAMP
B252 BASINGER:BAYSINGER:BOSANKO:BOSENCE:BOUKNIGHT:BUCKINGHAM:BUCKMASTER:BUSHONG:BUSING
B253 BESCHNIDT:BESSANT:BESSENT:BESSONETTE:BISHENDEN
B254 BAGNALL:BICKNELL:BIGNALL:BUSHNELL
B255 BACHMAN:BACHMANN:BACKMAN:BAUGHMAN:BECKMAN:BECKMANN:BEEKMAN:BOSMAN:BOZEMAN:BUCHANAN:BUCHMAN:BUCHMANN:BUCKMAN:BUCKNAM:BUSHMAN
B256 BECKNER:BICKMORE:BOUGHNER:BUCHNER:BUCKNER
B260 BACHER:BACKER:BAGUR:BAKER:BAKKER:BAUGHER:BECKER:BEECHER:BESHEAR:BESSER:BEZER:BICKER:BIGGER:BISER:BOGER:BOOKER:BOOKSER:BOOZER:BOUCHER:BOWKER:BOWSER:BUCHER:BUKER
B261 BASKERVILLE:BECRAFT
B262 BESHEARS:BIGGERS:BIGGERSTAFF:BJERKE:BJORK:BOGERS:BOKERS:BUSKIRK
B263 BECKWORTH:BICKERDYKE:BICKHART:BOCKRATH:BOGARD:BOGARDUS:BOGART:BOGERT:BOSSERT:BOSWORTH:BOUCHARD:BOZARTH:BUSSARD:BUZZARD
B264 BAGGARLY
B265 BEAUGRAND:BJORN:BOSSERMAN:BUSCARINO
B300 BAADE:BAITY:BATE:BATH:BATT:BATTE:BATTY:BATY:BEATTIE:BEATTY:BEATY:BEEDE:BETHEA:BEYETTE:BIDDY:BOATH:BODDIE:BODE:BODOH:BOOT:BOOTH:BOOTHE:BOTT:BOUDE:BOUTTE:BOYATT:BOYD:BOYETT:BUDD:BUDDE:BUTT
B316 BEDFORD
B320 BATES:BATTS:BATZ:BEDIC:BETTIS:BETTS:BETZ:BIDDIX:BITZ:BOOTS:BOTTS:BOUDEAUX:BUDGE:BUTTS:BUTZ
B321 BODSBERG:BOTSFORD
B323 BADGET:BIDGOOD:BUDGETT
B324 BADGLEY:BADGWELL:BATCHELDER:BATCHELOR:BEDSOLE:BITZELL
B325 BATESON:BATSON:BETSINGER:BETTISON:BITCON:BODKIN
B326 BADGER:BADGEROW:BETSCHART:BITZER:BOETTCHER:BOUTCHER:BUTCHER
B330 BOUTOT
B340 BATTLE:BEADLE:BEDELL:BEDWELL:BEEDLE:BETHEL:BETHELL:BIDDELL:BIDDLE:BIDWELL:BOTHWELL:BOUTWELL
B342 BATTLES:BEADLES
B346 BITLER:BOTELER:BOUTILIER:BUTLER
B350 BATTAIN:BATTEN:BATTIN:BAWDEN:BEATON:BEAUDOIN:BEETHAM:BETHUNE:BETTIN:BETTON:BODEN:BODEWIN:BODINE:BOTTINEAU:BOTTOM:BOTTONE:BOUTON:BOWDEN:BOYDEN:BUTTON
B351 BIEDENBACK
B352 BAETENS:BEDINGER:BIDDINGER:BITTINGER:BOTTENUS:BOTTING:BOTTOMS
B353 BOUDINOT
B354 BOTTEMILLER:BOTTOMLEY
B355 BATEMAN:BATMAN:BOATMAN:BODENHEIM:BOUDEMAN:BUTMAN
B356 BITNER:BITTNER:BODENNER:BUETTNER:BUTNER:BUTTOMER
B360 BADER:BATTER:BAUDREAU:BEAUDRY:BEITER:BOUDREAU:BOWATER:BOWDER:BUTTER:BYWATER
B361 BATDORF:BOTTORFF:BUTTERFIELD
B362 BADDERS:BATTERSHELL:BATTERSON:BOATRIGHT:BOATWRIGHT:BOUDREAUX:BUTTERCASE:BUTTERS
B363 BATTERTON:BEDARD:BOUDROT
B364 BETTERLEY
B365 BETHUREM:BUTTRAM
B366 BUTTERWORTH
B400 BAILEY:BAILLIE:BAILLY:BAILY:BALA:BALE:BALL:BALLEAU:BALLEW:BALLOU:BAYLEY:BAYLY:BEAL:BEALE:BEALL:BEAULIEU:BELEW:BELL:BELLAH:BEWLEY:BIELA:BIHLI:BILL:BILYEU:BLAHA:BLEE:BLOW:BLUE:BLY:BOAL:BOLEY:BOOLE:BOWELL:BOWLEY:BOYLE:BUELL:BULL
B410 BAILIFF:BILBO
B412 BILLUPS
B414 BELLFLOWER:BLAUVELT
B415 BLEVINS:BLIVEN:BULLIVANT
B416 BALFOUR:BELFORD:BILBREY:BILLBROUGH:BULBROOK
B420 BALCH:BALES:BALLES:BALLS:BAYLES:BAYLESS:BAYLIS:BAYLISS:BEALS:BELK:BELLES:BELLIS:BELLOWS:BIALIK:BILES:BILLS:BLACK:BLACKIE:BLACKSHAW:BLAGG:BLAKE:BLAKEY:BLAZA:BLEASE:BLECK:BLEWS:BLISS:BLOCH:BLOCK:BLOSS:BLOWES:BOALES:BOLCH:BOLES:BOLHUIS:BOLICK:BOLLES:BOWLES:BOWLS:BOYLES:BULCH:BULLIS:BULLOCH:BULLOCK
B421 BLACKBURN:BLACKFORD
B422 BLAKESLEE:BLAKESLEY:BOULIZOS
B423 BALLESTEROS:BLACKADAR:BLACKKETTER:BLACKSTOCK:BLACKSTONE:BLACKWOOD:BLAGDON:BLIGHT:BLIGHTON:BLUST:BOLSTAD:BOLSTER
B424 BALSLEY:BLACKALL:BLACKLEDGE:BLACKLOCK:BLACKWELL:BLAKELEY:BLAKELY:BLAKLEY:BLAXALL:BLOCKLEY:BULKELEY
