AMLReq,AMLRequest
CretRsvatn,CreateReservation
CretStgOrdr,CreateStandingOrder
Cretr,Creator
Crit,Criteria
CrrctdAmt,CorrectedAmount
CrrctnTx,CorrectionTransaction
CshAcct,CashAccount
CshAcctOwnr,CashAccountOwner
CshAcctSvcr,CashAccountServicer
CshDpst,CashDeposit
CshFcstRptToBeCanc,CashForecastReportToBeCancelled
CshInBrkdwnDtls,CashInBreakdownDetails
CshInFcst,CashInForecast
CshInFcstDtls,CashInForecastDetails
CshOutBrkdwnDtls,CashOutBreakdownDetails
CshOutFcst,CashOutForecast
CshOutFcstDtls,CashOutForecastDetails
CshSttlmDt,CashSettlementDate
CshSubBalId,CashSubBalanceId
CshSubBalTp,CashSubBalanceType
CstmrPmtCxlReq,CustomerPaymentCancellationRequest
CstmrTaxId,CustomerTaxId
CtctDtls,ContactDetails
CtctRef,ContactReference
CtctRefInd,ContactReferenceInd
Ctgy,Category
CtgyDtls,CategoryDetails
CtgyPurp,CategoryPurpose
CtrPtyId,CounterPartyId
CtrPtyMktInfrstrctrTxId,CounterPartyMarketInfrastructureTransactionId
CtrPtyNetgId,CounterPartyNettinggroupId
CtrPtySttlmInstrs,CounterPartySettlementInstructions
CtrPtyTp,CounterPartyType
CtrctId,ContractId
CtrlData,ControlData
CtrlSum,ControlSum
Ctry,Country
CtryIdInd,CountryIdInd
CtryOfBirth,CountryOfBirth
CtryOfRes,CountryOfResidence
CtrySubDvsn,CountrySubDivision
CtyId,CityId
Cur,Current
CurBilLmt,CurrentBilateralLimit
CurInstrNb,CurrentInstructionNumber
CurLmt,CurrentLimit
CurLmtId,CurrentLimitId
CurLmtTp,CurrentLimitType
CurMulLmt,CurrentMultilateralLimit
CurRsvatn,CurrentReservation
CurRsvatnTp,CurrentReservationType
Cxl,Cancellation
CxlDtls,CancellationDetails
CxlId,CancellationId
CxlReqId,CancellationRequestId
CxlRsn,CancellationReason
CxlRsnInf,CancellationReasonInformation
CxlStsId,CancellationStatusId
CxlStsRsnInf,CancellationStatisReasonInformation
Cxls,Cancellations
Data,Data
Days,Days
DaysInPrd,DaysInPeriod
DaysInYr,DaysInYear
DbtAcct,DebitAccount
DbtAuthstn,DebitAuthorisation
DbtAuthstnReq,DebitAuthorisationRequest
DbtAuthstnRspn,DebitAuthorisationResponse
DbtDtTm,DebitDateTime
DbtNtries,DebitEntries
Dbtr,Debtor
DbtrAcct,DebtorAccount
DbtrAcctInd,DebtorAccountInd
DbtrAgt,DebtorAgent
DbtrAgtAcct,DebtorAgentAccount
DbtrAgtInd,DebtorAgentInd
DbtrInd,DebtorInd
DbtrSts,DebtorsStatus
DcrAmt,DecrementAmount
Ddln,Deadline
DealPric,DealPrice
DelLmt,DeleteLimit
DelRsvatn,DeleteReservation
DelStgOrdr,DeleteStandingOrder
DelydDbtDt,DelayedDebitDate
Dept,Department
Desc,Description
Dflt,Default
DfltLmt,DefaultLimit
DfltLmtTp,DefaultLimitType
DfltRsvatn,DefaultReservation
DfltRsvatnTp,DefaultReservationType
DgtlSgntr,DigitalSignature
DispCpblties,DisplayCapabilities
DispTp,DisplayType
DlvrgAgt,DeliveringAgent
DlvryAgt,DeliveryAgent
DmstIdSrc,DomesticIdSource
Dnd,Denied
DocId,DocumentId
Domn,Domain
Dplct,Duplicate
DplctOf,IsDuplicateOf
DrctDbtMndt,DirectDebitMandate
DrwrAgt,DrawerAgent
DrwrAgtAcct,DrawerAgentAccount
DscntApldAmt,DiscountAppliedAmount
DstrbtnPlcy,DistributionPolicy
DstrctNm,DistrictName
Dt,Date
DtAndPlcOfBirth,DateAndPlaceOfBirth
DtAndTmStmp,DateAndTimeStamp
DtOfSgntr,DateOfSignature
DtOfVrfctn,DateOfVerification
DtPrcd,DateProcessed
DtPrd,DateProduced
DtSch,DateSearch
DtTm,DateTime
DtTmRg,DateTimeRange
DtTmSch,DateTimeSearch
Dtl,Detail
DtldCtrlSum,DefaultControlSum
DtldNbOfTxs,DetailedNumberOfTransactions
DtldSts,DetailedStatus
Dtls,Details
DualFndInd,DualFundInd
DuePyblAmt,DuePayableAmount
EIR,EIR
EQ,Equal
EQAmt,EqualAmount
EQDt,EqualDate
EQDtTm,EqualDateTime
EQSeq,EqualSequence
EarngsAdjstmntAmt,EarningsAdjustmentAmount
ElctrncAdr,ElectronicAddress
ElctrncSeqNb,ElectronicSequenceNumber
ElctrncSgntr,ElectronicSignature
EmailAdr,EmailAddress
EmailPurp,EmailPurpose
EndDt,EndDate
EndTm,EndTime
EndToEndId,EndToEndId
EndToEndIdInd,EndToEndIdInd
Enqry,Enquiry
Envlp,Envelope
EqvtAmt,EquivalentAmount
Err,Error
ErrDt,ErrorDate
EstmtdCshInFcstDtls,EstimatedCashInForecastDetails
EstmtdCshOutFcstDtls,EstimatedCashOutForecastDetails
EstmtdFndCshFcstDtls,EstimatedFundCashForecastDetails
EstmtdNetCshFcstDtls,EstimatedNetCashInForecastDetails
EstmtdPctgOfFndTtlNAV,EstimatedPercentageOfFundTotalNAV
EstmtdPctgOfShrClssTtlNAV,EstimatedPercentageOfShareTotalNAV
EstmtdTtlNAV,EstimatedTotalNAV
EstmtdTtlNAVChngRate,EstimatedTotalNAVChangeRate
EstmtdTtlUnitsNb,EstimatedTotalUnitsNumber
Evt,Event
EvtId,EventId
EvtInd,EventInd
EvtTp,EventType
