Anino	0.00029	apelido
Anis	0.00029	apelido
Anísio	0.00058	apelido
Anjinho	0.00116	apelido
Anjo	0.00549	apelido
Anjos	0.13725	apelido
Anjso	0.00029	apelido
Anmaro	0.00029	apelido
Anmorim	0.00029	apelido
Anresen	0.00029	apelido
Anselho	0.00029	apelido
Anta	0.00029	apelido
Antanõa	0.00029	apelido
Antao	0.00116	apelido
Antas	0.01416	apelido
Antelo	0.00029	apelido
Antines	0.00058	apelido
Antolin	0.00058	apelido
Anton	0.00029	apelido
Antonione	0.00029	apelido
Antunenes	0.00029	apelido
Antunes	0.44207	apelido
Anunciacao	0.00058	apelido
Anuncição	0.00029	apelido
Aparecida	0.00260	apelido
Apereira	0.00029	apelido
Aperta	0.00087	apelido
Apita	0.00029	apelido
Apolinario	0.00087	apelido
Apolonio	0.00029	apelido
Apolónio	0.00029	apelido
Apostolo	0.00058	apelido
Apóstolo	0.00087	apelido
Appelt	0.00058	apelido
Appleton	0.00058	apelido
Apresentação	0.00376	apelido
Aprisco	0.00029	apelido
Aquino	0.00260	apelido
Arada	0.00116	apelido
Aradas	0.00029	apelido
Arade	0.00116	apelido
Aragao	0.00144	apelido
Aragão	0.01127	apelido
Aragonês	0.00029	apelido
Aragonez	0.00058	apelido
Araíjo	0.00029	apelido
Arana	0.00029	apelido
Aranda	0.00116	apelido
Arandas	0.00058	apelido
Arango	0.00058	apelido
Aranha	0.00231	apelido
Arantes	0.03121	apelido
Araújo	0.80267	apelido
Aráujo	0.00376	apelido
Araújoi	0.00029	apelido
Arbter	0.00029	apelido
Arbués	0.00116	apelido
Arcadinho	0.00058	apelido
Arcado	0.00029	apelido
Arcanjo	0.00376	apelido
Arcas	0.00029	apelido
Archer	0.00116	apelido
Archila	0.00029	apelido
Arcipreste	0.00058	apelido
Ardisson	0.00029	apelido
Arduíno	0.00029	apelido
Areal	0.00549	apelido
Arede	0.00491	apelido
Arêde	0.00202	apelido
Arega	0.00058	apelido
Areia	0.00318	apelido
Areias	0.02572	apelido
Arem	0.00029	apelido
Arém	0.00029	apelido
Arenga	0.00058	apelido
Areosa	0.00173	apelido
Aresta	0.00231	apelido
Arez	0.00231	apelido
Arezes	0.00520	apelido
Argaín	0.00029	apelido
Argainha	0.00058	apelido
Argaínha	0.00058	apelido
Arganil	0.00029	apelido
Argel	0.00029	apelido
Arguelho	0.00029	apelido
Arias	0.00029	apelido
Arieira	0.00318	apelido
Arieiro	0.00058	apelido
Arim	0.00029	apelido
Arina	0.00058	apelido
Arinto	0.00029	apelido
Ariosa	0.00058	apelido
Ariztía	0.00029	apelido
Arjona	0.00029	apelido
Arjones	0.00029	apelido
Armada	0.00462	apelido
Armas	0.00231	apelido
Armés	0.00029	apelido
Arnao	0.00029	apelido
Arnau	0.00029	apelido
Arnaud	0.00144	apelido
Arnaut	0.00029	apelido
Arnauth	0.00029	apelido
Arnedo	0.00087	apelido
Arnêdo	0.00029	apelido
Arneiro	0.00029	apelido
Arocha	0.00029	apelido
Aroeira	0.00029	apelido
Aroso	0.00289	apelido
Arouca	0.00144	apelido
Arpini	0.00058	apelido
Arqueiro	0.00087	apelido
Arrábida	0.00029	apelido
Arraiano	0.00058	apelido
Arraiolos	0.00087	apelido
Arraios	0.00029	apelido
Arrais	0.00260	apelido
Arranhado	0.00116	apelido
Arratel	0.00029	apelido
Arrepia	0.00087	apelido
Arreu	0.00029	apelido
Arriaga	0.00087	apelido
Arribança	0.00029	apelido
Arrifana	0.00029	apelido
Arrifano	0.00029	apelido
Arriscado	0.00260	apelido
Arrobe	0.00058	apelido
Arrochela	0.00029	apelido
Arroja	0.00144	apelido
Arrojado	0.00144	apelido
Arromba	0.00116	apelido
Arroteia	0.00029	apelido
Arroyo	0.00029	apelido
Arroz	0.00029	apelido
Arruda	0.00751	apelido
Arruela	0.00029	apelido
Arsenio	0.00087	apelido
Arteiro	0.00347	apelido
Artiaga	0.00029	apelido
Artilheiro	0.00087	apelido
Aruda	0.00029	apelido
Aruela	0.00029	apelido
Arújo	0.00058	apelido
Arvana	0.00029	apelido
Arvanas	0.00029	apelido
Arvelos	0.00029	apelido
Arzich	0.00029	apelido
Arzileiro	0.00029	apelido
Ascencao	0.00029	apelido
Ascenco	0.00029	apelido
Aspecada	0.00029	apelido
Asper	0.00116	apelido
Áspera	0.00029	apelido
Aspinall	0.00087	apelido
Assafrao	0.00029	apelido
Assares	0.00029	apelido
Asse	0.00058	apelido
Asseiceira	0.00029	apelido
Asseiceiro	0.00029	apelido
Asseiro	0.00116	apelido
Assoreira	0.00116	apelido
Assucarinho	0.00029	apelido
Assude	0.00029	apelido
Assumpção	0.00029	apelido
Ataide	0.00116	apelido
Ataíde	0.00982	apelido
Atalaia	0.00173	apelido
Atanásio	0.00260	apelido
Atanázio	0.00029	apelido
Atayde	0.00029	apelido
Athayde	0.00144	apelido
Athias	0.00029	apelido
Athouguia	0.00029	apelido
Atouguia	0.00029	apelido
Atracado	0.00058	apelido
Aubyn	0.00029	apelido
Auguste	0.00058	apelido
Augustine	0.00087	apelido
Auxtero	0.00029	apelido
Ave	0.00087	apelido
Aveiro	0.00347	apelido
Avelas	0.00029	apelido
Avelãs	0.00029	apelido
Aveleira	0.00116	apelido
Avelens	0.00029	apelido
Avença	0.00087	apelido
Avidago	0.00029	apelido
Avides	0.00058	apelido
Avídes	0.00029	apelido
Avila	0.00087	apelido
Ávila	0.01416	apelido
Avillez	0.00058	apelido
Aviz	0.00029	apelido
Avo	0.00087	apelido
Avó	0.00058	apelido
Axevedo	0.00029	apelido
Ayala	0.00173	apelido
Ayres	0.00231	apelido
Azambuja	0.00289	apelido
Azambujo	0.00029	apelido
Azancot	0.00029	apelido
Azavedo	0.00029	apelido
Azedo	0.00173	apelido
Azeitona	0.00116	apelido
Azenha	0.00578	apelido
Azera	0.00029	apelido
Ázera	0.00029	apelido
Azeredo	0.00751	apelido
Azevedo	0.55909	apelido
Azevêdo	0.00058	apelido
Aziago	0.00029	apelido
Azibeiro	0.00058	apelido
Azinha	0.00029	apelido
Azinhaga	0.00029	apelido
Azinhais	0.00202	apelido
Azinheira	0.00144	apelido
Azinheiro	0.00116	apelido
Azougado	0.00029	apelido
Azul	0.00058	apelido
Azurara	0.00058	apelido
B.	0.01560	apelido
Babaroca	0.00029	apelido
Babau	0.00058	apelido
Babo	0.00665	apelido
Babó	0.00029	apelido
Babú	0.00058	apelido
Bacala	0.00058	apelido
Bacalhau	0.00260	apelido
Bação	0.00087	apelido
Bacatelo	0.00029	apelido
Bacelar	0.02138	apelido
Bacelo	0.00144	apelido
Bacêlo	0.00087	apelido
Bacelos	0.00029	apelido
Bacharel	0.00058	apelido
Badagola	0.00029	apelido
Badalo	0.00087	apelido
Badim	0.00058	apelido
Baeta	0.00578	apelido
Baganha	0.00202	apelido
Bagão	0.00173	apelido
Bagarrão	0.00029	apelido
Bagina	0.00029	apelido
Baginha	0.00087	apelido
Bagnari	0.00029	apelido
Bago	0.00202	apelido
Bagorro	0.00087	apelido
Baguêixo	0.00029	apelido
Baguet	0.00029	apelido
Baguinho	0.00029	apelido
Bagulho	0.00173	apelido
Bahamonde	0.00058	apelido
Bahia	0.00173	apelido
Bahía	0.00029	apelido
Baia	0.00347	apelido
Baía	0.00809	apelido
Baiana	0.00058	apelido
Baiao	0.00144	apelido
Baião	0.00953	apelido
Baila	0.00029	apelido
Bailadeira	0.00058	apelido
Bailão	0.00202	apelido
Bailote	0.00029	apelido
Baio	0.00058	apelido
Baioa	0.00029	apelido
Baiôa	0.00058	apelido
Baiões	0.00058	apelido
Baiona	0.00116	apelido
Bairos	0.00173	apelido
Bairrada	0.00029	apelido
Bairrao	0.00058	apelido
Bairrão	0.00058	apelido
Bairrinho	0.00116	apelido
Bairro	0.00029	apelido
Baixinho	0.00260	apelido
Baixo	0.00029	apelido
Bajouca	0.00058	apelido
Bajuca	0.00029	apelido
Balaão	0.00029	apelido
Balacó	0.00144	apelido
Balagões	0.00029	apelido
Balala	0.00058	apelido
Balancho	0.00029	apelido
Balao	0.00058	apelido
Balas	0.00116	apelido
Balau	0.00058	apelido
Balazeiro	0.00058	apelido
Balbino	0.00144	apelido
Balbúrdias	0.00029	apelido
Balça	0.00058	apelido
Balcao	0.00029	apelido
Balcão	0.00029	apelido
Baldaia	0.00520	apelido
Baldaque	0.00029	apelido
Baldo	0.00029	apelido
Baldy	0.00058	apelido
Baleca	0.00058	apelido
Baleia	0.00116	apelido
Baleiras	0.00116	apelido
Baleixo	0.00058	apelido
Baleizao	0.00029	apelido
Baleizão	0.00058	apelido
Balesteros	0.00029	apelido
Balha	0.00029	apelido
Balhico	0.00029	apelido
Balinha	0.00289	apelido
Balinho	0.00058	apelido
Balixa	0.00058	apelido
Baliza	0.00029	apelido
Balkeståhl	0.00029	apelido
Ballester	0.00173	apelido
Ballesteros	0.00058	apelido
Balola	0.00029	apelido
Balona	0.00087	apelido
Balonas	0.00029	apelido
Balreira	0.00116	apelido
Balsa	0.00260	apelido
Balsas	0.00087	apelido
Balseiro	0.00144	apelido
Balsemão	0.00173	apelido
Balsinha	0.00087	apelido
Balsinhas	0.00029	apelido
Baluarte	0.00029	apelido
Balugas	0.00029	apelido
Balula	0.00144	apelido
Bambá	0.00058	apelido
Bamomd	0.00029	apelido
Bamond	0.00029	apelido
Bana	0.00029	apelido
Banastrinha	0.00029	apelido
Banazol	0.00087	apelido
Bandarra	0.00231	apelido
Bandeira	0.02600	apelido
Bandeiras	0.00058	apelido
Bandeirinha	0.00029	apelido
Bandinhas	0.00029	apelido
Bandos	0.00087	apelido
Bandovas	0.00029	apelido
Bandurra	0.00029	apelido
Banganho	0.00029	apelido
Banha	0.00318	apelido
Banheiro	0.00087	apelido
Banhudo	0.00029	apelido
Banza	0.00116	apelido
Baptisra	0.00029	apelido
baptista	0.00029	apelido
Barahona	0.00029	apelido
Baranda	0.00029	apelido
Barandas	0.00058	apelido
Baranita	0.00029	apelido
Baranito	0.00058	apelido
Barao	0.00087	apelido
Barão	0.00376	apelido
Baraona	0.00029	apelido
Barata	0.06125	apelido
Barateiro	0.00058	apelido
Barato	0.00029	apelido
Baraz	0.00029	apelido
Barbacena	0.00029	apelido
Barbado	0.00087	apelido
Barbagelata	0.00058	apelido
Barbas	0.00665	apelido
Barbedo	0.00809	apelido
Barbeira	0.00116	apelido
Barbeiro	0.00260	apelido
Barbeiros	0.00029	apelido
Barbeita	0.00058	apelido
Barbeito	0.00087	apelido
Barbeitos	0.00318	apelido
Barbeta	0.00058	apelido
Barbio	0.00087	apelido
Bárbora	0.00029	apelido
barbosa	0.00058	apelido
Barbosa	0.58799	apelido
Barbot	0.00116	apelido
Barboza	0.00058	apelido
Barbsoa	0.00029	apelido
Barbudo	0.00144	apelido
Barceló	0.00029	apelido
Barcelos	0.00405	apelido
Barcia	0.00029	apelido
Bárcia	0.00116	apelido
Barciela	0.00058	apelido
Barciella	0.00029	apelido
Barcoso	0.00029	apelido
Barendse	0.00029	apelido
Bareoso	0.00029	apelido
Bargado	0.00058	apelido
Bargao	0.00029	apelido
Bargão	0.00116	apelido
Barge	0.00144	apelido
Barge6969204	0.00029	apelido
Barnabé	0.00029	apelido
Barnco	0.00029	apelido
Barnes	0.00029	apelido
Barnstijn	0.00029	apelido
Barôa	0.00029	apelido
Barosa	0.00087	apelido
Baroso	0.00029	apelido
Barqueiro	0.00029	apelido
Barquero	0.00087	apelido
Barra	0.00405	apelido
Barraca	0.00058	apelido
Barracas	0.00058	apelido
Barracha	0.00029	apelido
Barracho	0.00058	apelido
Barracosa	0.00058	apelido
Barrada	0.00058	apelido
Barradas	0.02918	apelido
Barradinhas	0.00058	apelido
Barrads	0.00029	apelido
Barral	0.00347	apelido
Barrambana	0.00058	apelido
Barrancos	0.00058	apelido
Barranha	0.00116	apelido
Barrao	0.00029	apelido
Barrão	0.00058	apelido
Barrau	0.00058	apelido
Barreira	0.04305	apelido
Barreirão	0.00029	apelido
Barreiras	0.00405	apelido
Barreirinhas	0.00029	apelido
Barreiro	0.02745	apelido
Barreiros	0.03496	apelido
Barrela	0.00202	apelido
Barrelas	0.00058	apelido
Barreleiro	0.00029	apelido
Barrenho	0.00029	apelido
Barreno	0.00029	apelido
Barrento	0.00173	apelido
Barreto	0.06039	apelido
Barrias	0.00376	apelido
Barriga	0.00289	apelido
Barrigana	0.00087	apelido
Barrigão	0.00087	apelido
Barrigas	0.00231	apelido
Barrígas	0.00029	apelido
Barrigó	0.00087	apelido
Barrigoto	0.00058	apelido
Barriguinha	0.00058	apelido
Barrijas	0.00029	apelido
Barrinha	0.00058	apelido
Barrinhas	0.00029	apelido
Barrios	0.00029	apelido
Bárrios	0.00058	apelido
Barro	0.00029	apelido
Barroca	0.00462	apelido
Barrocal	0.00058	apelido
Barrocas	0.00607	apelido
Barroco	0.00607	apelido
Barroqueiro	0.00202	apelido
Barroquino	0.00029	apelido
Barros	0.41751	apelido
Barrosa	0.00116	apelido
Barroselas	0.00029	apelido
Barrosinho	0.00029	apelido
Barroso	0.12367	apelido
Barrote	0.00318	apelido
Barrueco	0.00058	apelido
Bartilotti	0.00087	apelido
Bartolo	0.00144	apelido
Bártolo	0.00405	apelido
Basso	0.00347	apelido
Bassos	0.00029	apelido
Bastardinho	0.00029	apelido
Bastardo	0.00289	apelido
Basteiro	0.00087	apelido
Bastião	0.00173	apelido
Basto	0.02976	apelido
Bastoa	0.00029	apelido
Bastos	0.14822	apelido
Bataglia	0.00029	apelido
Batalha	0.01040	apelido
Batalheiro	0.00029	apelido
Batanete	0.00087	apelido
Batata	0.00116	apelido
Batateiro	0.00029	apelido
Batatel	0.00029	apelido
Bate	0.00116	apelido
Bateira	0.00029	apelido
Bate-Pé	0.00029	apelido
Batim	0.00029	apelido
Batinho	0.00029	apelido
Batispa	0.00029	apelido
Batoreu	0.00029	apelido
Batos	0.00029	apelido
Batouxas	0.00029	apelido
Batuca	0.00144	apelido
Baudouin	0.00058	apelido
Bäuerle	0.00029	apelido
Baumgratz	0.00058	apelido
Bayam	0.00029	apelido
Bayan	0.00029	apelido
Bazaliza	0.00029	apelido
Bazan	0.00029	apelido
Bazenga	0.00058	apelido
Beardino	0.00029	apelido
Beata	0.00029	apelido
Beato	0.00491	apelido
Bebianno	0.00029	apelido
Bebiano	0.00231	apelido
Beça	0.00462	apelido
Becerra	0.00029	apelido
Becken	0.00087	apelido
Beco	0.00058	apelido
Bêco	0.00058	apelido
Begoña	0.00029	apelido
Beicinha	0.00029	apelido
Beiçudo	0.00029	apelido
Beijoca	0.00058	apelido
Beijoco	0.00087	apelido
Beijôco	0.00029	apelido
Beira	0.00202	apelido
Beiramar	0.00087	apelido
Beirante	0.00058	apelido
Beirao	0.00058	apelido
Beirão	0.01069	apelido
Beires	0.00087	apelido
Beiro	0.00029	apelido
Beites	0.00318	apelido
Beja	0.00722	apelido
Bejinha	0.00029	apelido
Beken	0.00029	apelido
Belard	0.00087	apelido
Belbut	0.00087	apelido
Belchiorinho	0.00029	apelido
Belejo	0.00087	apelido
Belela	0.00029	apelido
Belem	0.00202	apelido
Beles	0.00029	apelido
Beleza	0.00722	apelido
Belfo	0.00029	apelido
Belico	0.00058	apelido
Bélico	0.00029	apelido
Belim	0.00029	apelido
Belinha	0.00116	apelido
Belinho	0.00029	apelido
Belino	0.00087	apelido
Beliz	0.00029	apelido
Bellegarde	0.00058	apelido
Belletti	0.00116	apelido
Bello	0.00260	apelido
Belmonte	0.00058	apelido
Belona	0.00029	apelido
Belourico	0.00029	apelido
Beltran	0.00029	apelido
Beltrán	0.00029	apelido
Beltrão	0.00116	apelido
