glGetInteger64v glGetInteger64vEXT
glGetIntegeri_v glGetIntegerIndexedvEXT
glGetMultisamplefv glGetMultisamplefvNV
glGetObjectLabel glGetObjectLabelKHR
glGetObjectPtrLabel glGetObjectPtrLabelKHR
glGetPointerv glGetPointervEXT
glGetPointerv glGetPointervKHR
glGetQueryObjecti64v glGetQueryObjecti64vEXT
glGetQueryObjectiv glGetQueryObjectivARB
glGetQueryObjectiv glGetQueryObjectivEXT
glGetQueryObjectui64v glGetQueryObjectui64vEXT
glGetQueryObjectuiv glGetQueryObjectuivARB
glGetQueryiv glGetQueryivARB
glGetRenderbufferParameteriv glGetRenderbufferParameterivEXT
glGetSamplerParameterIiv glGetSamplerParameterIivEXT
glGetSamplerParameterIuiv glGetSamplerParameterIuivEXT
glGetShaderSource glGetShaderSourceARB
glGetSynciv glGetSyncivAPPLE
glGetTexParameterIiv glGetTexParameterIivEXT
glGetTexParameterIuiv glGetTexParameterIuivEXT
glGetTextureHandleARB glGetTextureHandleIMG
glGetTextureSamplerHandleARB glGetTextureSamplerHandleIMG
glGetTransformFeedbackVarying glGetTransformFeedbackVaryingEXT
glGetUniformLocation glGetUniformLocationARB
glGetUniformfv glGetUniformfvARB
glGetUniformiv glGetUniformivARB
glGetUniformuiv glGetUniformuivEXT
glGetVertexAttribIiv glGetVertexAttribIivEXT
glGetVertexAttribIuiv glGetVertexAttribIuivEXT
glGetVertexAttribLdv glGetVertexAttribLdvEXT
glGetVertexAttribPointerv glGetVertexAttribPointervARB
glGetVertexAttribPointerv glGetVertexAttribPointervNV
glGetVertexAttribdv glGetVertexAttribdvARB
glGetVertexAttribdv glGetVertexAttribdvNV
glGetVertexAttribfv glGetVertexAttribfvARB
glGetVertexAttribfv glGetVertexAttribfvNV
glGetVertexAttribiv glGetVertexAttribivARB
glGetVertexAttribiv glGetVertexAttribivNV
glGetnUniformfv glGetnUniformfvEXT
glGetnUniformfv glGetnUniformfvKHR
glGetnUniformiv glGetnUniformivEXT
glGetnUniformiv glGetnUniformivKHR
glGetnUniformuiv glGetnUniformuivKHR
glHistogram glHistogramEXT
glIsBuffer glIsBufferARB
glIsEnabledi glIsEnabledIndexedEXT
glIsEnabledi glIsEnablediEXT
glIsEnabledi glIsEnablediNV
glIsFramebuffer glIsFramebufferEXT
glIsProgramARB glIsProgramNV
glIsQuery glIsQueryARB
glIsRenderbuffer glIsRenderbufferEXT
glIsSync glIsSyncAPPLE
glIsTransformFeedback glIsTransformFeedbackNV
glIsVertexArray glIsVertexArrayAPPLE
glLinkProgram glLinkProgramARB
glLoadTransposeMatrixd glLoadTransposeMatrixdARB
glLoadTransposeMatrixf glLoadTransposeMatrixfARB
glMapBuffer glMapBufferARB
glMapBufferRange glMapBufferRangeEXT
glMaxShaderCompilerThreadsKHR glMaxShaderCompilerThreadsARB
glMemoryBarrier glMemoryBarrierEXT
glMinSampleShading glMinSampleShadingARB
glMinmax glMinmaxEXT
glMultTransposeMatrixd glMultTransposeMatrixdARB
glMultTransposeMatrixf glMultTransposeMatrixfARB
glMultiDrawArrays glMultiDrawArraysEXT
glMultiDrawArraysIndirect glMultiDrawArraysIndirectAMD
glMultiDrawArraysIndirectCount glMultiDrawArraysIndirectCountARB
glMultiDrawArraysIndirect glMultiDrawArraysIndirectEXT
glMultiDrawElementsBaseVertex glMultiDrawElementsBaseVertexEXT
glMultiDrawElements glMultiDrawElementsEXT
glMultiDrawElementsIndirect glMultiDrawElementsIndirectAMD
glMultiDrawElementsIndirectCount glMultiDrawElementsIndirectCountARB
glMultiDrawElementsIndirect glMultiDrawElementsIndirectEXT
glMultiTexCoord1d glMultiTexCoord1dARB
glMultiTexCoord1dv glMultiTexCoord1dvARB
glMultiTexCoord1f glMultiTexCoord1fARB
glMultiTexCoord1fv glMultiTexCoord1fvARB
glMultiTexCoord1i glMultiTexCoord1iARB
glMultiTexCoord1iv glMultiTexCoord1ivARB
glMultiTexCoord1s glMultiTexCoord1sARB
glMultiTexCoord1sv glMultiTexCoord1svARB
glMultiTexCoord2d glMultiTexCoord2dARB
glMultiTexCoord2dv glMultiTexCoord2dvARB
glMultiTexCoord2f glMultiTexCoord2fARB
glMultiTexCoord2fv glMultiTexCoord2fvARB
glMultiTexCoord2i glMultiTexCoord2iARB
glMultiTexCoord2iv glMultiTexCoord2ivARB
glMultiTexCoord2s glMultiTexCoord2sARB
glMultiTexCoord2sv glMultiTexCoord2svARB
glMultiTexCoord3d glMultiTexCoord3dARB
glMultiTexCoord3dv glMultiTexCoord3dvARB
glMultiTexCoord3f glMultiTexCoord3fARB
glMultiTexCoord3fv glMultiTexCoord3fvARB
glMultiTexCoord3i glMultiTexCoord3iARB
glMultiTexCoord3iv glMultiTexCoord3ivARB
glMultiTexCoord3s glMultiTexCoord3sARB
glMultiTexCoord3sv glMultiTexCoord3svARB
glMultiTexCoord4d glMultiTexCoord4dARB
glMultiTexCoord4dv glMultiTexCoord4dvARB
glMultiTexCoord4f glMultiTexCoord4fARB
glMultiTexCoord4fv glMultiTexCoord4fvARB
glMultiTexCoord4i glMultiTexCoord4iARB
glMultiTexCoord4iv glMultiTexCoord4ivARB
glMultiTexCoord4s glMultiTexCoord4sARB
glMultiTexCoord4sv glMultiTexCoord4svARB
glNamedBufferStorage glNamedBufferStorageEXT
glNamedBufferSubData glNamedBufferSubDataEXT
glObjectLabel glObjectLabelKHR
glObjectPtrLabel glObjectPtrLabelKHR
glPatchParameteri glPatchParameteriEXT
glPauseTransformFeedback glPauseTransformFeedbackNV
glPointParameterf glPointParameterfARB
glPointParameterf glPointParameterfEXT
glPointParameterf glPointParameterfSGIS
glPointParameterfv glPointParameterfvARB
glPointParameterfv glPointParameterfvEXT
glPointParameterfv glPointParameterfvSGIS
glPointParameteri glPointParameteriNV
glPointParameteriv glPointParameterivNV
glPolygonMode glPolygonModeNV
glPolygonOffsetClamp glPolygonOffsetClampEXT
glPopDebugGroup glPopDebugGroupKHR
glPrimitiveBoundingBox glPrimitiveBoundingBoxARB
glPrimitiveBoundingBox glPrimitiveBoundingBoxEXT
glPrioritizeTextures glPrioritizeTexturesEXT
glProgramParameteri glProgramParameteriARB
glProgramParameteri glProgramParameteriEXT
glProgramUniform1f glProgramUniform1fEXT
glProgramUniform1fv glProgramUniform1fvEXT
glProgramUniform1i glProgramUniform1iEXT
glProgramUniform1iv glProgramUniform1ivEXT
glProgramUniform1ui glProgramUniform1uiEXT
glProgramUniform1uiv glProgramUniform1uivEXT
glProgramUniform2f glProgramUniform2fEXT
glProgramUniform2fv glProgramUniform2fvEXT
glProgramUniform2i glProgramUniform2iEXT
glProgramUniform2iv glProgramUniform2ivEXT
glProgramUniform2ui glProgramUniform2uiEXT
glProgramUniform2uiv glProgramUniform2uivEXT
glProgramUniform3f glProgramUniform3fEXT
glProgramUniform3fv glProgramUniform3fvEXT
glProgramUniform3i glProgramUniform3iEXT
glProgramUniform3iv glProgramUniform3ivEXT
glProgramUniform3ui glProgramUniform3uiEXT
glProgramUniform3uiv glProgramUniform3uivEXT
glProgramUniform4f glProgramUniform4fEXT
glProgramUniform4fv glProgramUniform4fvEXT
glProgramUniform4i glProgramUniform4iEXT
glProgramUniform4iv glProgramUniform4ivEXT
glProgramUniform4ui glProgramUniform4uiEXT
glProgramUniform4uiv glProgramUniform4uivEXT
glProgramUniformHandleui64ARB glProgramUniformHandleui64IMG
glProgramUniformHandleui64vARB glProgramUniformHandleui64vIMG
glProgramUniformMatrix2fv glProgramUniformMatrix2fvEXT
glProgramUniformMatrix2x3fv glProgramUniformMatrix2x3fvEXT
glProgramUniformMatrix2x4fv glProgramUniformMatrix2x4fvEXT
glProgramUniformMatrix3fv glProgramUniformMatrix3fvEXT
glProgramUniformMatrix3x2fv glProgramUniformMatrix3x2fvEXT
glProgramUniformMatrix3x4fv glProgramUniformMatrix3x4fvEXT
glProgramUniformMatrix4fv glProgramUniformMatrix4fvEXT
glProgramUniformMatrix4x2fv glProgramUniformMatrix4x2fvEXT
glProgramUniformMatrix4x3fv glProgramUniformMatrix4x3fvEXT
glProvokingVertex glProvokingVertexEXT
glPushDebugGroup glPushDebugGroupKHR
glQueryCounter glQueryCounterEXT
glReadnPixels glReadnPixelsARB
glReadnPixels glReadnPixelsEXT
glReadnPixels glReadnPixelsKHR
glRenderbufferStorage glRenderbufferStorageEXT
glRenderbufferStorageMultisample glRenderbufferStorageMultisampleEXT
glRenderbufferStorageMultisample glRenderbufferStorageMultisampleNV
glResetHistogram glResetHistogramEXT
glResetMinmax glResetMinmaxEXT
glResumeTransformFeedback glResumeTransformFeedbackNV
glSampleCoverage glSampleCoverageARB
glSampleMaskEXT glSampleMaskSGIS
glSamplePatternEXT glSamplePatternSGIS
glSamplerParameterIiv glSamplerParameterIivEXT
glSamplerParameterIuiv glSamplerParameterIuivEXT
glScissorArrayv glScissorArrayvNV
glScissorIndexed glScissorIndexedNV
glScissorIndexedv glScissorIndexedvNV
glSecondaryColor3b glSecondaryColor3bEXT
glSecondaryColor3bv glSecondaryColor3bvEXT
glSecondaryColor3d glSecondaryColor3dEXT
glSecondaryColor3dv glSecondaryColor3dvEXT
glSecondaryColor3f glSecondaryColor3fEXT
glSecondaryColor3fv glSecondaryColor3fvEXT
glSecondaryColor3i glSecondaryColor3iEXT
glSecondaryColor3iv glSecondaryColor3ivEXT
glSecondaryColor3s glSecondaryColor3sEXT
glSecondaryColor3sv glSecondaryColor3svEXT
glSecondaryColor3ub glSecondaryColor3ubEXT
glSecondaryColor3ubv glSecondaryColor3ubvEXT
glSecondaryColor3ui glSecondaryColor3uiEXT
glSecondaryColor3uiv glSecondaryColor3uivEXT
glSecondaryColor3us glSecondaryColor3usEXT
glSecondaryColor3usv glSecondaryColor3usvEXT
glSecondaryColorPointer glSecondaryColorPointerEXT
glSeparableFilter2D glSeparableFilter2DEXT
glShaderSource glShaderSourceARB
glSpecializeShader glSpecializeShaderARB
glStencilOpSeparate glStencilOpSeparateATI
glTexBuffer glTexBufferARB
glTexBuffer glTexBufferEXT
glTexBufferRange glTexBufferRangeEXT
glTexImage3D glTexImage3DEXT
glTexPageCommitmentARB glTexPageCommitmentEXT
glTexParameterIiv glTexParameterIivEXT
glTexParameterIuiv glTexParameterIuivEXT
glTexStorage1D glTexStorage1DEXT
glTexStorage2D glTexStorage2DEXT
glTexStorage3D glTexStorage3DEXT
glTexSubImage1D glTexSubImage1DEXT
glTexSubImage2D glTexSubImage2DEXT
glTexSubImage3D glTexSubImage3DEXT
glTextureView glTextureViewEXT
glTransformFeedbackVaryings glTransformFeedbackVaryingsEXT
glUniform1f glUniform1fARB
glUniform1fv glUniform1fvARB
glUniform1i glUniform1iARB
glUniform1iv glUniform1ivARB
glUniform1ui glUniform1uiEXT
glUniform1uiv glUniform1uivEXT
glUniform2f glUniform2fARB
glUniform2fv glUniform2fvARB
glUniform2i glUniform2iARB
glUniform2iv glUniform2ivARB
glUniform2ui glUniform2uiEXT
glUniform2uiv glUniform2uivEXT
glUniform3f glUniform3fARB
glUniform3fv glUniform3fvARB
glUniform3i glUniform3iARB
glUniform3iv glUniform3ivARB
glUniform3ui glUniform3uiEXT
glUniform3uiv glUniform3uivEXT
glUniform4f glUniform4fARB
glUniform4fv glUniform4fvARB
glUniform4i glUniform4iARB
glUniform4iv glUniform4ivARB
glUniform4ui glUniform4uiEXT
glUniform4uiv glUniform4uivEXT
glUniformHandleui64ARB glUniformHandleui64IMG
