182	209	etext95	Henry James	The Turn of the Screw
183	346	etext95	Willa Cather	The Troll and Other Selected Stories
184	257	etext95	Geoffrey Chaucer	Troilus and Cryseyde
185	263	etext95	Joyce Kilmer	Trees and Other Poems
186	283	etext95	Edith Wharton	The Reef
187	267	etext95	Edith Wharton	The Touchstone
188	331	etext95	Edgar Rice Burroughs	The Mucker
189	274	etext95	Martin Luther	Martin Luther's 95 Theses
190	349	etext95	Gene Stratton Porter	The Harvester
191	216	etext95	Lao-Tze	Tao Te King
192	314	etext95	J. Frank Dobie	Guide to Life and Literature of the Southwest
193	244	etext95	Arthur Conan Doyle	A Study in Scarlet
194	326	etext95	John Muir	Steep Trails
195	290	etext95	Arthur Conan Doyle	The Stark Munro Letters
196	354	etext95	Anna Howard Shaw	The Story of a Pioneer
197	322	etext95	Robert Louis Stevenson	St. Ives, The Adventures of a French Prisoner
198	359	etext95	Frances Jenkins Olcott	Good Stories for Great Holidays
199	383	etext95	Oliver Goldsmith	She Stoops to Conquer
200	220	etext95	Joseph Conrad	The Secret Sharer
201	207	etext95	Robert Service	The Spell of the Yukon
202	217	etext95	David Herbert Lawrence	Sons and Lovers
203	213	etext95	Andrew Barton Paterson	The Man from Snowy River
204	273	etext95	Martin Luther	The Smalcald Articles
205	341	etext95	Marie L. McLaughlin	Myths and Legends of the Sioux
206	240	etext95	Robert Harris	Stories from the Old Attic
207	358	etext95	Richard Harding Davis	The Scarlet Car
208	233	etext95	Theodore Dreiser	Sister Carrie
209	262	etext95	Rupert Brooke	The Collected Poems of Rupert Brooke
210	246	etext95	Edward Fitzgeral Trans.	The Rubaiyat of Omar Khayyam
211	246	etext95	Robert W. Service	Rhymes of a Rolling Stone
212	333	etext95	Walter Raleigh	Robert Louis Stevenson
213	304	etext95	Andrew Barton Peterson	Rio Grande's Last Race and Other Verses
214	221	etext95	Arthur Conan Doyle	The Return of Sherlock Holmes
215	301	etext95	Oscar Wilde	The Ballad of Reading Gaol
216	280	etext95		Records of a Family of Engineers
217	315	etext95	Robert W. Service	Rhymes of a Red Cross Man
218	355	etext95	Arthur Conan Doyle	The Parasite
219	237	etext95	Propertius	Sexti Properti Carmina
220	372	etext95	Robert Louis Stevenson	Prince Otto
221	293	etext95	Horatio Alger	Paul Prescott's Charge
222	360	etext95	P. J. Proudhon	What is Property?
223	294	etext95	Arthur Conan Doyle	The Captain of the Polestar
224	325	etext95	George MacDonald	Phantastes, A Faerie Romance for Men and Women
225	200	etext95		The Project Gutenberg Encyclopedia Volume 1
226	367	etext95	Sarah Orne Jewett	The Country of Pointed Firs
227	224	etext95	Thomas Hardy	A Pair of Blue Eyes
228	327	etext95	Richard Harding Davis	Princess Aline
229	375	etext95	Ambrose Bierce	An Occurence at Owl Creek Bridge
230	369	etext95	Edgar Rice Burroughs	The Outlaw of Torn
231	328	etext95	Edgar A. Guest	A Heap O' Livin'
232	268	etext95	Frank Norris	The Octopus
233	363	etext95	Edgar Rice Burroughs	The Oakdale Affair
234	225	etext95	George MacDonald	At the Back of the North Wind
235	242	etext95	Willa Cather	My Antonia
236	361	etext95	Eleanor H. Porter	Miss Billy Married
237	362	etext95	Eleanor H. Porter	Miss Billy's Decision
238	344	etext95	Robert Louis Stevenson	The Married Men
239	321	etext95	Frank Norris	Moran of the Lady Letty
240	222	etext95	Somerset Maugham	Moon and Sixpence
241	370	etext95	Daniel Defoe	Moll Flanders
242	254	etext95		Second Story of Meno
243	381	etext95	Robert Louis Stevenson	Memories and Portraits
244	364	etext95	Edgar Rice Burroughs	The Mad King
245	342	etext95	James M. Barrie	Margaret Ogilvy
246	298	etext95	Harold Frederic	The Market-Place
247	272	etext95	Martin Luther	An Open Letter on Translating
248	285	etext95	C. J. Cutcliffe Hyne	The Lost Continent
249	365	etext95	Mary Austin	The Land of Little Rain
250	245	etext95	Mark Twain	Life on the Mississipppi
251	371	etext95	Henry B. Wheatley	Literary Blunders
252	320	etext95		La Vida de Lazarillo
253	373	etext95	Robert Louis Stevenson	Lay Morals
254	286	etext95	Gene Stratton Porter	Laddie, a True Story
255	377	etext95	Nettie Garmer Barker	Kansas Women in Literature
256	324	etext95	John Fox Jr.	A Knight of the Cumberland
257	376	etext95	Daniel Defoe	A Journal of the Plague Year
258	236	etext95	Rudyard Kipling	The Jungle Book
259	264	etext95	Joyce Kilmer	Main Street and Other Poems
260	318	etext95	Jack London	John Barleycorn
261	357	etext95	William Morris	A Dream of John Ball
262	329	etext95	Robert Louis Stevenson	Island Nights' Entertainments
263	210	etext95	Henry James	An International Episode
264	204	etext95	G. K. Chesterton	The Innocence of Father Brown
265	353	etext95	John McCrae	In Flanders Fields and Other Poems
266	340	etext95	Charles A. Eastman	The Soul of the Indian
267	338	etext95	Zitkala-Sa	Old Indian Legends
268	336	etext95	Charles A. Eastman	Indian Heroes and Great Chieftains
269	337	etext95	Charles Eastman	Indian Boyhood
270	339	etext95	Charles Eastman	Old Indian Days
271	260	etext95	Hiram Corson	Introduction to Robert Browning
272	351	etext95	W. Somerset Maugham	Of Human Bondage
273	348	etext95		Hesiod, the Homeric Hymns, and Homerica
274	284	etext95	Edith Wharton	House of Mirth
275	219	etext95	Joseph Conrad	Heart of Darkness
276	347	etext95		Grettir the Strong
277	316	etext95	Lucy Maud Montgomery	The Golden Road
278	291	etext95	Kenneth Grahame	The Golden Age
279	231	etext95	Vergil	Georgics
280	232	etext95	Vergil	Georgics [English]
281	218	etext95	Caesar	De Bello Gallici
282	335	etext95	Rebecca Harding Davis	Frances Waldeaux
283	281	etext95	Robert Louis Stevenson	Father Damien
284	243	etext95	Leo Tolstoy	The Forged Coupon and Other Stories
285	350	etext95	Edna Ferber	Fanny Herself
286	297	etext95	Booth Tarkington	The Flirt
287	201	etext95	Edwin A. Abbot	Flatland: A Romance of Many Dimensions
288	302	etext95		The Fibonacci Number Series
289	343	etext95	Robert Louis Stevenson	Fables
290	374	etext95	Ambrose Bierce	Fantastic Fables
291	212	etext95		Factorials from 1 to 100,000
292	282	etext95	A. W. Kinglake	Eothen
293	382	etext95	Robert Louis Stevenson	Edinburgh Picturesque Notes
294	214	etext95	Henry Lawson	In the Days when the World Was Wide and Other Verses
295	238	etext95	Jean Webster	Dear Enemy
296	270	etext95	Kenneth Graham	Dream Days
297	345	etext95	Bram Stoker	Dracula
298	261	etext95	Amy Lowell	A Dome of Many-Coloured Glass
299	208	etext95	Henry James	Daisy Miller
300	317	etext95	Joseph Rodman Drake	The Culprit Fay and Other Poems
301	265	etext95	Anonymous	The Life and Death of Cormac the Skald
302	266	etext95	John Gower	Tales of the Seven Deadly Sins
303	305	etext95	Emile Gaboriau	The Count's Millions
304	241	etext95	William Wells Brown	Clotelle; or the Colored Heroine
305	288	etext95	James Branch Cabell	The Certain Hour
306	313	etext95	Edwin Arlington Robinson	The Children of the Night
307	234	etext95	William Morris	Child Christopher
308	226	etext95	Cicero	Selected Orations
309	249	etext95		French Cave Paintings
310	296	etext95	Horatio Alger, Jr.	The Cash Boy
311	215	etext95	Jack London	The Call of the Wild
312	215	etext95	Eliot Gregory	Worldly Ways and Byways
313	311	etext95	Edith Wharton	Bunner Sisters
314	229	etext95	Vergil	Bucolics
315	230	etext95	Vergil	Bucolics [English]
316	230	etext95	Edna Ferber	Buttered Side Down
317	250	etext95	Michael S. Hart	A Brief History of the Internet
318	332	etext95	Thomas Nelson Page	The Burial of the Guns
319	202	etext95		In Honor of Marting Luther King Jr. Day
320	253	etext95		The Universal Copyright Convention [1972]
321	269	etext95	H.H. Munro	Beasts and Super-Beasts
322	356	etext95	Arthur Conan Doyle	Beyond the City
323	356	etext95	Robert W. Service	Ballads of Cheechako
324	292	etext95	Bayard Taylor	Beauty and the Beast, and Tales from Home
325	271	etext95	Anna Sewell	Black Beauty
326	768	etext96	Emily Bronte	Wuthering Heights
327	767	etext96	Anne Bronte	Agnes Grey
328	766	etext96	Charles Dickens [Dickens#14]	David Copperfield
329	765	etext96	A. Merritt	The Moon Pool
330	764	etext96	Mary Mapes Dodge	Hans Brinker/Silver Skates/etc
331	762	etext96	Geo. Whale	British Airships, Past/Present/Future
332	761	etext96	Max Beerbohm [Max Beerbohm #3]	A. V. Laider
333	760	etext96	Max Beerbohm [Max Beerbohm #2]	Enoch Soames
334	759	etext96	Max Beerbohm [Max Beerbohm #1]	James Pethel
335	758	etext96		LandSat Picture of Washington, DC, USA [Zip File]
336	757	etext96	William. S. Gilbert	50 Bab Ballads
337	756	etext96	Joseph A. Munk	Arizona Sketches
338	755	etext96	Isabella L. Bird	Lady's Life in Rocky Mountains
339	754	etext96	Hendrik van Loon	The Story of Mankind
340	753	etext96	Stewart Edward White	Arizona Nights
341	752	etext96	A Young Girl's Diary, and Letter of Sigmund Freud	/mnt/u4/library/gutenberg/etext96/ygdsf10.zip
342	751	etext96	Oliver Wendell Holmes	Autocrat of Breakfast Table
343	750	etext96	Author Unknown	The High History of the Holy Graal
344	749	etext96	St. John of Damascus	Barlaam and Ioasaph
345	748	etext96	Dornford Yates	The Brother of Daphne
346	747	etext96	Gould/Pyle	Anomalies and Curiosities of Medicine
347	746	etext96	Jack London [Jack London #5]	Burning Daylight
348	745	etext96	One Divided	Pi, To A Million Digits [math #17]
349	744	etext96		The Golden Mean, To A Million Digits  [math #16]
350	743	etext96	Wm Godwin	Thoughts on Man, His Nature, etc
