JOURNAL	ISSN	2013/2014	2012	2011	2010	2009	2008
Advances in Theoretical and Mathematical Physics	1095-0761	1.781	1.066	0.855	1.736	2.034	2.075
Advances In Therapy	0741-238X	2.438	2.125	2.105	1.668	0.936	0.973
Advances in Vibration Engineering	0972-5768	0.29	0.197	0.328	0.125	-	-
Advances In Virus Research	0065-3527	3.585	2.844	3.971	-	5.522	4.886
Advances In Water Resources	0309-1708	2.78	2.412	2.449	2.47	2.354	2.235
Aeolian Research	1875-9637	2.841	2.52	2.179	-	-	-
Aequationes Mathematicae	0001-9054	0.549	0.422	0.511	0.841	-	-
Aerobiologia	0393-5965	1.202	1.333	1.515	1.052	1.173	1.086
Aeronautical Journal	0001-9240	0.336	0.311	0.482	0.496	0.412	0.292
Aerosol and Air Quality Research	1680-8584	2.664	-	2.827	1.792	-	-
Aerosol Science And Technology	0278-6826	3.155	2.78	2.667	2.34	2.739	2.686
Aerospace Science And Technology	1270-9638	1	0.873	0.983	0.59	0.674	0.74
Aerospace America	0740-722X	0.048	0.048	-	0.047	0.15	0.048
Aesthetic Plastic Surgery	0364-216X	1.189	1.264	1.407	1.252	1.179	0.782
Aesthetic Surgery Journal	1090-820X	2.034	1.564	1.469	-	-	-
Aeu-International Journal Of Electronics And Communications	1434-8411	0.696	0.551	0.588	0.519	0.508	0.371
Afinidad	0001-9704	0.106	0.145	0.138	0.233	0.19	0.244
African Entomology	1021-3589	0.772	0.969	0.47	0.338	0.42	0.308
African Health Sciences	1680-6905	0.662	0.5	0.492	0.521	-	-
African Invertebrates	1681-5556	0.5	0.739	0.432	0.8	1.216	-
Afr J Agr Res	1991-637X	-	-	-	0.263	0.08	-
African Journal Of Aquatic Science	1608-5914	0.5	0.446	0.471	0.479	-	-
African Journal Of Biotechnology	1684-5315	-	-	-	0.573	0.565	0.547
African Journal Of Ecology	0141-6707	1	0.631	0.655	0.778	0.629	0.621
