JOURNAL	ISSN	2013/2014	2012	2011	2010	2009	2008
Annals Of Nuclear Energy	0306-4549	1.02	0.8	0.905	0.724	0.604	0.831
Annals Of Nuclear Medicine	0914-7187	1.507	1.41	1.502	1.386	0.917	1.099
Annals Of Nutrition And Metabolism	0250-6807	2.747	1.661	2.257	2.173	1.97	1.236
Annals Of The New York Academy Of Sciences	0077-8923	4.313	4.375	3.155	2.847	2.67	2.303
Annals Of Occupational Hygiene	0003-4878	2.068	2.157	1.949	2.014	1.914	1.787
Annals Of Oncology	0923-7534	6.578	7.384	6.425	6.452	5.647	4.935
Annals Of Operations Research	0254-5330	1.103	1.029	0.84	0.675	0.961	0.619
Annals Of Ophthalmology	1530-4086	-	-	-	0.167	0.157	0.094
Annals Of Otology Rhinology And Laryngology	0003-4894	1.054	1.212	1.048	1.344	1.292	1.339
Annales De Paleontologie	0753-3969	1.091	0.609	1	0.778	0.867	0.2
Annales De Pathologie	0242-6498	0.291	0.235	0.247	0.197	0.223	0.474
Annals Of Pharmacotherapy	1060-0280	2.923	2.567	2.126	2.166	2.453	2.305
Annalen Der Physik	0003-3804	1.483	1.51	0.841	0.861	1.844	1.161
Annals Of Physics	0003-4916	3.065	3.318	2.857	2.919	2.677	3.171
Annales De Physique	0003-4169	-	-	0.25	0.125	0.26	0.18
Annals Of Plastic Surgery	0148-7043	1.458	1.384	1.318	1.274	1.293	1.14
Annales Polonici Mathematici	0066-2216	0.437	0.306	0.439	0.476	0.567	-
Annals Of Probability	0091-1798	1.431	1.38	1.789	1.47	1.26	1.278
Annals Of Pure And Applied Logic	0168-0072	0.451	0.504	0.45	0.646	0.667	0.551
Annals Of The Rheumatic Diseases	0003-4967	9.27	9.111	8.727	9.082	8.111	7.188
Annals Of The Royal College Of Surgeons Of England	0035-8843	1.223	1.329	1.231	1.093	0.989	0.944
Annals Of Saudi Medicine	0256-4947	0.705	1.103	1.071	0.697	0.55	0.6
Annales Scientifiques De L Ecole Normale Superieure	0012-9593	1.227	0.955	1.46	1.226	1.074	1.196
Annals Of Science	0003-3790	0.395	0.541	0.417	0.222	0.459	0.351
Annali Della Scuola Normale Superiore Di Pisa-Classe Di Scienze	0391-173X	0.906	0.683	0.695	0.865	1.08	0.519
Annales De La Societe Entomologique De France	0037-9271	0.539	0.529	0.537	0.698	0.6	0.934
Annales Societatis Geologorum Poloniae	0208-9068	0.727	1.18	0.423	0.184	0.619	-
Annals Of Statistics	0090-5364	2.442	2.528	3.03	2.94	3.185	2.307
Annals Of Surgical Oncology	1068-9265	3.943	4.12	4.166	4.182	4.13	3.898
Annals Of Surgery	0003-4932	7.188	6.329	7.492	7.474	7.9	8.46
Annales Des Telecommunications-Annals Of Telecommunications	0003-4347	0.408	0.567	0.633	0.602	0.325	0.333
Annals of Thoracic and Cardiovascular Surgery	1341-1098	0.687	0.466	0.695	0.731	-	-
Annals of Thoracic Medicine	1817-1737	1.338	1.123	1.617	1.06	-	-
Annals Of Thoracic Surgery	0003-4975	3.631	3.454	3.741	3.558	3.644	2.689
Annals of Transplantation	1425-9524	1.43	0.815	2.02	0.975	0.969	-
Annals Of Tropical Medicine And Parasitology	0003-4983	1.203	1.313	1.429	1.288	1.368	1.652
Annals Of Tropical Paediatrics	0272-4936	1.173	0.92	-	0.966	0.895	0.949
Annales D Urologie	0003-4401	-	-			0.364	0.226
Annals Of Vascular Surgery	0890-5096	1.029	0.985	1.035	1.332	1.169	1.262
Annales Zoologici Fennici	0003-455X	1.03	1.211	1.539	1.085	0.772	1.21
Annales Zoologici	0003-4541	0.978	0.66	0.482	0.52	0.542	0.397
Annual Reports in Medicinal Chemistry	0065-7743	1.193	1.611	1.714	1.717	1.526	-
Annual Reports On Nmr Spectroscopy	0066-4103	2.16	1.424	-	-	2.556	-
Annual Review of Analytical Chemistry	1936-1327	7.814	8.6	9.048	10.404	-	-
Annual Review of Animal Biosciences	2165-8102	-	-	-	-	-	-
Annual Review Of Astronomy And Astrophysics	0066-4146	24.037	23.333	26.452	27.444	25.64	25.826
Annual Review Of Biochemistry	0066-4154	26.534	27.681	34.317	29.742	29.875	30.016
Annual Review Of Biomedical Engineering	1523-9829	12.45	10.946	12.214	11	11.235	10.789
Annual Review Of Biophysics And Biomolecular Structure	1056-8700	-	-	-	-	18.955	17.049
Annual Review of Biophysics	1936-122X	12.25	12.63	13.574	17.524	19.304	0
Annual Review Of Cell And Developmental Biology	1081-0706	20.241	17.983	15.836	14.078	19.571	22.731
Annual Review of Chemical and Biomolecular Engineering	1947-5438	8.109	7.512	7.294		-	-
Annual Review Of Clinical Psychology	1548-5943	12.921	12.422	9.111	9.743	9.613	2.235
Annual Review of Condensed Matter Physics	1947-5454	11.909	15.139	12.389		-	-
Annual Reviews In Control	1367-5788	1.878	1.289	1.319	1.884	1.886	1.109
Annual Review Of Earth And Planetary Sciences	0084-6597	10.188	8.833	7.227	8.048	7.581	6.364
Annual Review Of Ecology Evolution And Systematics	1543-592X	10.977	10.375	14.373	10.698	8.19	10.161
Annual Review Of Entomology	0066-4170	13.021	13.589	11.455	12.18	11.271	11.918
Annual Review Of Environment And Resources	1543-5938	5.056	4.968	6.419	3.737	3.657	4.667
Annual Review Of Fluid Mechanics	0066-4189	11.26	12.6	12.767	10.189	9.353	9.314
Annual Review of Food Science and Technology	1941-1413	5.978	4.683	3.6		-	-
Annual Review Of Genetics	0066-4197	18.115	17.436	22.233	21.774	13.235	12.78
Annual Review Of Genomics And Human Genetics	1527-8204	9.132	9.5	14.829	17.182	11.568	12.029
Annual Review Of Immunology	0732-0582	41.392	36.556	52.761	49.271	37.902	41.059
Annual Review Of Information Science And Technology	0066-4200	1.727	2.174	2.955	2	2.929	2.5
Annual Review of Marine Science	1941-1405	16.381	14.368	16.457	15		-
Annual Review Of Materials Research	1531-7331	15.629	16.179	13.073	10.333	7.911	7.947
Annual Review Of Medicine	0066-4219	15.478	14.603	13.104	12.457	9.94	10.985
Annual Review Of Microbiology	0066-4227	13.018	12.9	14.345	12.415	12.804	10.902
Annual Review Of Neuroscience	0147-006X	22.66	20.614	25.737	26.756	24.822	26.405
Annual Review Of Nuclear And Particle Science	0163-8998	6.487	7.4	6.457	7.882	11.964	9.893
Annual Review Of Nutrition	0199-9885	10.459	9.158	9.447	7.878	8.783	8.205
Annual Review of Pathology-Mechanisms of Disease	1553-4006	22.128	25.794	20	18.778	13.5	7.529
Annual Review Of Pharmacology And Toxicology	0362-1642	18.523	21.543	21.639	19.238	22.468	21.561
Annual Review Of Physical Chemistry	0066-426X	15.678	13.365	14.13	12.245	17.464	14.688
Annual Review Of Physiology	0066-4278	14.696	19.547	20.827	16.106	18.17	19.74
Annual Review Of Phytopathology	0066-4286	11	10.229	9.875	10.412	11.212	10.237
Annual Review Of Plant Biology	1543-5008	18.9	23.654	25.962	28.415	23.46	-
Annual Review Of Psychology	0066-4308	20.533	15.265	16.833	18.288	22.75	16.217
Annual Review Of Public Health	0163-7525	6.627	3.268	5.451	8.609	7.915	6.045
Antarctic Science	0954-1020	1.417	1.63	1.556	1.328	1.496	1.496
Anthropological Science	0918-7960	0.444	1.042	1.156	0.829	0.978	1
Anthropologist	0972-0073	0.051	0.112	0.184	-	-	-
Anthrozoos	0892-7936	0.672	1	0.86	0.694	1.38	0.612
Anti-Cancer Agents in Medicinal Chemistry	1871-5206	2.939	2.61	2.862	3.144	-	-
Anti-Cancer Drugs	0959-4973	1.891	2.232	2.407	2.376	2.23	2.358
Anti-Corrosion Methods And Materials	0003-5599	0.414	0.386	0.229	0.286	0.423	0.514
Antibiotiques	1294-5501	-	0	0.153	0.161	-	-
Anticancer Research	0250-7005	1.872	1.713	1.725	1.656	1.428	1.39
Antimicrobial Agents And Chemotherapy	0066-4804	4.451	4.565	4.841	4.672	4.802	4.716
Antioxidants & Redox Signaling	1523-0864	7.667	7.189	8.456	8.209	7.581	6.19
Antiviral Research	0166-3542	3.434	3.925	4.301	4.439	3.612	3.613
Antiviral Therapy	1359-6535	3.143	3.073	3.161	3.774	4.322	4.105
Antonie Van Leeuwenhoek International Journal Of General And Molecular Micr	0003-6072	2.137	2.072	2.091	1.673	1.983	1.673
Anz Journal Of Surgery	1445-1433	1.118	1.5	1.248	1.098	1.344	1.388
Anziam Journal	1446-1811	0.829	1.043	0.254	0.414	0.286	0.38
AoB Plants	2041-2851	1.743	-	-	-	-	-
Aphasiology	0268-7038	1.732	1.701	1.317	0.974	0.831	0.955
Apidologie	0044-8435	1.538	2.155	2.266	2.23	1.493	1.603
Apmis	0903-4641	1.922	2.068	1.991	1.944	1.745	1.316
Apoptosis	1360-8185	3.614	3.949	4.788	4.397	4.066	3.971
Appetite	0195-6663	2.52	2.541	2.585	2.433	2.582	2.341
Appita Journal	1038-6807	0.273	0.481	0.411	0.496	0.437	0.418
Applied Acoustics	0003-682X	1.068	1.097	1.05	0.887	0.784	0.789
Applicable Algebra In Engineering Communication And Computing	0938-1279	0.561	0.756	0.6	0.292	0.525	0.5
Applicable Analysis and Discrete Mathematics	1452-8630	0.708	0.887	0.754	0.645	-	-
Applicable Analysis	0003-6811	0.684	0.71	0.744	0.633	0.613	-
Applied Animal Behaviour Science	0168-1591	1.626	1.497	1.918	1.555	1.831	1.823
Applied Artificial Intelligence	0883-9514	0.402	0.475	0.333	0.563	0.58	0.795
Applied Biochemistry And Biotechnology	0273-2289	1.687	1.893	1.943	1.879	1.42	1.04
Applied Biochemistry And Microbiology	0003-6838	0.658	0.689	0.56	0.704	0.67	0.522
Applied Bionics and Biomechanics	1176-2322	0.47	0.483	-	-	-	-
Applied Catalysis A-General	0926-860X	3.674	3.41	3.903	3.383	3.564	3.19
Applied Catalysis B-Environmental	0926-3373	6.007	5.825	5.625	4.749	5.252	4.853
Applied Categorical Structures	0927-2852	0.565	0.375	0.6	0.618	0.548	0.42
Applied Clay Science	0169-1317	2.703	2.342	2.474	2.303	2.784	2.005
Applied Clinical Informatics	1869-0327	0.386	-	-	-	-	-
Applied Composite Materials	0929-189X	1.29	1.048	0.658	0.723	0.935	0.712
Applied Computational Electromagnetics Society Journal	1054-4887	1.024	1.012	0.759	0.258	0.188	0.333
Applied And Computational Harmonic Analysis	1063-5203	3	2.485	3.452	3.144	1.854	2.344
Applied and Computational Mathematics	1683-3511	0.697	0.75	0.551	0.857	0.633	-
Applied Ecology And Environmental Research	1589-1623	0.456	0.586	0.379	0.547	-	-
Applied Economic Perspectives and Policy	2040-5790	1.328	1.621	1.552		-	-
Applied Energy	0306-2619	5.261	4.781	5.106	3.888	2.209	1.371
Applied Engineering In Agriculture	0883-8542	0.491	0.571	0.526	0.507	0.355	0.657
Applied Entomology And Zoology	0003-6862	0.877	0.819	1.14	0.835	0.616	0.699
Applied And Environmental Microbiology	0099-2240	3.952	3.678	3.829	3.778	3.686	3.801
Applied Ergonomics	0003-6870	1.332	1.728	1.428	1.467	1.105	1.25
Applied Geochemistry	0883-2927	2.021	1.708	2.176	2.017	1.961	1.857
Applied Geophysics	1672-7975	0.232	0.398	0.446	0.387	0.457	-
Applied Herpetology	1570-7539	-	-	0.438	0.515	-	-
Applied Immunohistochemistry & Molecular Morphology	1541-2016	2.059	1.828	1.63	1.411	1.709	1.487
Applied Intelligence	0924-669X	-	1.853	0.849	0.881	0.988	0.775
Applied Magnetic Resonance	0937-9347	1.152	0.83	0.755	1.126	0.819	0.748
Applied Mathematics And Computation	0096-3003	1.6	1.349	1.317	1.534	1.124	0.961
Applications of Mathematics	0862-7940	0.147	0.222	0.48	0.39	0.41	-
Applied Mathematics & Information Sciences	2325-0399	1.232	0.731	0.508	0.642	-	-
Applied Mathematics Letters	0893-9659	1.48	1.501	1.371	1.155	0.978	0.948
Applied Mathematics And Mechanics-English Edition	0253-4827	0.802	0.647	0.558	0.514	0.393	0.34
Applied Mathematical Modelling	0307-904X	2.158	1.706	1.579	1.371	1.375	0.931
Applied Mathematics And Optimization	0095-4616	0.681	0.859	0.952	0.881	0.757	0.667
Applied Mathematics-A Journal of Chinese Universities Series B	1005-1031	0.273	0.255	0.068	0.144	-	-
Applied Mechanics Reviews	0003-6900	2	2.667	3.971	2.559	2.25	-
Applied Microbiology And Biotechnology	0175-7598	3.811	3.689	3.425	3.28	2.896	2.569
Applied Neuropsychology-Adult	0908-4282	1.971	1.315	1.173	0.714	0.477	1.017
Applied Numerical Mathematics	0168-9274	1.036	1.152	0.967	0.919	1.279	0.952
Applied Nursing Research	0897-1897	1.139	0.932	1.219	1.111	0.871	1.086
Applied Ocean Research	0141-1187	1.262	1.072	1.053	0.859	0.807	0.789
Applied Ontology	1570-5838	0.844	1.08	1.105	-	-	-
Applied Optics	1559-128X	1.649	1.689	1.748	-	-	-
Applied Organometallic Chemistry	0268-2605	2.017	2.011	2.061	2.062	1.567	1.27
Applied Physics A-Materials Science & Processing	0947-8396	1.694	1.545	1.63	1.76	1.595	1.884
Applied Physics B-Lasers And Optics	0946-2171	1.634	1.782	2.189	2.239	1.992	2.167
Applied Physics Express	1882-0778	2.567	2.731	3.013	2.747	2.223	0
Applied Physics Letters	0003-6951	3.515	3.794	3.844	3.82	3.554	3.726
Applied Physiology Nutrition And Metabolism-Physiologie Appliquee Nutrition Et Metabolisme	1715-5312	2.225	2.009	2.131	2.215	1.968	1.591
Applied Radiation And Isotopes	0969-8043	1.056	1.179	1.172	0.999	1.094	1.114
Applied Rheology	1430-6395	1.592	1.226	1	0.787	1.298	1.184
Applied Soft Computing	1568-4946	2.679	2.14	2.612	2.084	2.415	1.909
Applied Soil Ecology	0929-1393	2.206	2.106	2.368	2.399	2.122	2.247
Applied Spectroscopy Reviews	0570-4928	3.109	2.915	3.385	3.686	3.243	4.114
Applied Spectroscopy	0003-7028	2.014	1.942	1.663	1.729	1.564	2.062
Applied Stochastic Models In Business And Industry	1524-1904	0.532	0.544	0.69	0.829	0.529	0.351
Applied Surface Science	0169-4332	2.538	2.112	2.103	1.793	1.616	1.576
Applied Thermal Engineering	1359-4311	2.624	2.127	2.064	1.823	1.922	1.349
Applied Vegetation Science	1402-2001	2.416	2.263	1.678	1.802	1.349	1.305
Aquaculture Research	1355-557X	1.32	1.422	1.203	1.186	1.099	0.991
Aquacultural Engineering	0144-8609	1.232	1.406	1.421	0.947	0.901	1.467
Aquaculture Environment Interactions	1869-215X	2.371	2.219	2.188	-	-	-
Aquaculture International	0967-6120	0.96	1.037	0.912	0.88	0.753	0.608
Aquaculture Nutrition	1353-5773	1.665	1.688	2.179	1.393	1.482	1.398
Aquaculture	0044-8486	1.828	2.009	2.041	2.044	1.925	1.678
Aquatic Biology	1864-7790	1.118	1.453	1.474	1.611	1.38	0.762
Aquatic Botany	0304-3770	1.471	1.593	1.516	2.087	1.697	1.129
Aquatic Conservation-Marine And Freshwater Ecosystems	1052-7613	1.756	1.917	1.929	1.968	1.476	1.619
Aquatic Ecology	1386-2588	1.456	1.378	1.365	1.429	1.549	1.105
Aquatic Ecosystem Health & Management	1463-4988	1	0.767	0.653	0.705	0.636	0.323
Aquatic Geochemistry	1380-6165	1.809	1.527	1.897	1.167	1.306	1.353
Aquatic Insects	0165-0424	0.433	0.358	0.496	0.325	0.311	0.345
Aquatic Invasions	1798-6540	1.133	1.136	-	-	-	-
Aquatic Living Resources	0990-7440	0.919	1.071	1.152	1.062	1.227	0.667
Aquatic Mammals	0167-5427	0.465	0.702	-	-	-	-
Aquatic Microbial Ecology	0948-3055	1.901	2.037	2.393	2.089	1.743	2.19
Aquatic Sciences	1015-1621	2.712	2.602	2.106	1.565	2.045	1.915
Aquatic Toxicology	0166-445X	3.513	3.73	3.761	3.333	3.124	3.517
Aquichan	1657-5997	0.175	0.027	0.051	0.05	-	-
Arab Gulf Journal Of Scientific Research	1015-4442	-	0.047	-	0.111	0.038	-
Arabian Journal of Chemistry	1878-5352	2.684	2.266	1.367	-	-	-
Arabian Journal of Geosciences	1866-7511	1.152	0.74	1.141	0.538	-	-
Arabian Journal For Science And Engineering	1319-8025	0.367	0.385	0.243	0.224	0.106	0.108
Archives of Acoustics	0137-5075	0.656	0.829	0.847	0.504	0.313	-
Archives Of Andrology	0148-5016	-	-	-	-	0.891	0.865
Archives Of Animal Nutrition-Archiv Fur Tierernahrung	1745-039X	0.892	1.095	0.987	1.165	0.9	0.893
Archive Of Applied Mechanics	0939-1533	1.438	1.035	0.95	0.853	0.993	0.825
Archivos Argentinos de Pediatria	0325-0075	0.291	0.323	0.37	0.432	-	-
Archives Of Biochemistry And Biophysics	0003-9861	3.043	3.37	2.935	3.022	3.046	2.626
Archives of Biological Sciences	0354-4664	0.607	0.791	0.36	0.356	0.238	-
Archivos De Bronconeumologia	0300-2896	1.816	1.372	-	-	2.166	1.624
Archives of Budo	1643-8698	0.839	0.885	1.189	0.488	-	-
Archives Of Cardiovascular Diseases	1875-2136	1.662	1.662	1.513	1.207	0.663	0
Archives of Civil and Mechanical Engineering	1644-9665	1.331	0.963	0.855	0.383	0.515	-
Archives Of Clinical Neuropsychology	0887-6177	1.921	2	2.178	2.304	2.497	2.161
Archives Of Computational Methods In Engineering	1134-3060	4.136	2.931	2.767	2.76	1.64	2.227
Archives Of Dermatological Research	0340-3696	2.27	2.708	2.279	2.011	1.844	1.927
Archives Of Dermatology	0003-987X	4.306	4.792	3.888	4.231	4.76	3.402
Archives of Disease in Childhood-Fetal and Neonatal Edition	1359-2998	3.861	3.451	3.045	3.13	2.493	2.325
Archives Of Disease In Childhood	0003-9888	2.905	3.051	2.881	2.616	2.657	2.834
Archives of Disease in Childhood-Education and Practice Edition	1743-0585	1.456	1.843	1.318	0.844	0.765	-
Archives Of Environmental Contamination And Toxicology	0090-4341	1.96	2.012	1.927	1.93	1.743	1.864
Archives of Environmental & Occupational Health	1933-8244	0.474	1.194	0.846	1.14	1.383	0.593
Archives of Environmental Protection	2083-4772	0.901	0.506	0.444	0.188	0.284	-
Archives Of Facial Plastic Surgery	1521-2491	1.623	1.463	1.646	1.63	1.308	1.393
Archiv Fur Geflugelkunde	0003-9098	0.333	0.4	0.373	0.422	0.448	0.373
Archives Of General Psychiatry	0003-990X	13.747	13.772	12.016	10.782	12.257	14.273
Archives Of Gerontology And Geriatrics	0167-4943	1.525	1.704	1.452	1.438	1.36	1.27
Archives Of Gynecology And Obstetrics	0932-0067	1.279	1.33	1.277	1.072	0.912	0.727
Archive For History Of Exact Sciences	0003-9519	0.324	0.514	0.184	0.4	0.667	0.4
Archives Of Histology And Cytology	0914-9465	-	0.6	0.568	0.698	0.875	1.194
Archiv Fur Hydrobiologie	0003-9136	-	-	-	-	-	1.293
Archivum Immunologiae Et Therapiae Experimentalis	0004-069X	2.818	2.378	2.541	2.385	1.989	1.432
Archives Of Insect Biochemistry And Physiology	0739-4462	1.16	1.515	1.361	1.564	1.381	1.274
Archives Of Internal Medicine	0003-9926	13.246	-	11.462	10.639	9.813	9.11
Archives of Iranian Medicine	1029-2977	1.108	1.222	0.972	1.348	0.874	-
Archives Italiennes De Biologie	0003-9829	1.422	1.433	1.295	0.778	0.972	0.917
Archivos Latinoamericanos De Nutricion	0004-0622	-	0.241	0.228	0.427	0.481	0.316
Archiv Fur Lebensmittelhygiene	0003-925X	0.386	0.267	0.25	0.333	0.338	0.333
Archives Des Maladies Du Coeur Et Des Vaisseaux	0003-9683	-	-	-	-	0.398	0.265
Archives des Maladies Professionnelles et de l Environnement	1775-8785	0.09	0.222	0.193	0.154	0.177	-
Archive For Mathematical Logic	1432-0665	0.324	0.281	0.341	0.414	0.349	0.552
Archiv Der Mathematik	0003-889X	0.479	0.376	0.433	0.483	0.373	0.5
Archives Of Mechanics	0373-2029	0.745	0.566	0.396	0.469	0.306	0.519
Archives Of Medical Research	0188-4409	2.406	2.079	1.733	1.986	1.884	1.703
Archives of Medical Science	1734-1922	1.89	1.067	1.214	1.199	1.012	-
Archivos De Medicina Veterinaria	0301-732X	0.412	0.354	0.532	0.5	0.24	0.329
Archives Of Metallurgy And Materials	1733-3490	0.763	0.431	0.487	0.262	0.187	0.23
Archives Of Microbiology	0302-8933	1.861	1.905	1.431	1.754	1.927	1.975
Archives of Mining Sciences	0860-7001	0.608	0.319	0.35	0.312	0.306	-
Archiv Fur Molluskenkunde	1869-0963	0.567	0.45	0.3	0.524	-	-
Archives Of Natural History	0260-9541	0.213	0.111	-	-	-	-
Archives Of Neurology	0003-9942	7.008	-	7.584	7.108	6.312	5.874
Archives Of Ophthalmology	0003-9950	4.488	3.826	3.711	3.516	3.859	3.242
Archives Of Oral Biology	0003-9969	1.88	1.549	1.603	1.463	1.649	1.379
Archives Of Orthopaedic And Trauma Surgery	0936-8051	1.31	1.358	1.369	1.196	1.117	0.965
Archives Of Otolaryngology-Head & Neck Surgery	0886-4470	1.748	1.779	1.63	1.571	1.918	1.829
Archives Of Pathology & Laboratory Medicine	0003-9985	2.884	2.781	2.577	2.279	2.558	2.527
Archives Of Pediatrics & Adolescent Medicine	1072-4710	4.252	4.282	4.14	4.029	4.726	4.32
Archives De Pediatrie	0929-693X	0.41	0.357	0.298	0.305	0.406	0.356
Archives Of Pharmacal Research	0253-6269	1.751	1.538	1.592	1.588	1.159	1.074
Archiv Der Pharmazie	0365-6233	1.396	1.54	1.708	1.529	1.785	1.429
Archives Of Physical Medicine And Rehabilitation	0003-9993	2.441	2.358	2.282	2.254	2.184	2.159
Archives Of Psychiatric Nursing	0883-9417	1.032	0.92	0.921	0.977	0.897	0.732
Archive For Rational Mechanics And Analysis	0003-9527	2.022	2.292	2.054	2.277	2.331	2.371
Archives Des Sciences	1661-464X	-	-	0.296	0.474	0.118	-
Archives Of Surgery	0004-0010	4.297	4.1	4.239	4.5	4.323	4.259
Archiv Fur Tierzucht-Archives Of Animal Breeding	0003-9438	0.326	0.463	0.416	0.519	0.595	0.679
Archives Of Toxicology	0340-5761	5.078	5.215	4.674	4.041	3.312	2.626
Archives Of Virology	0304-8608	2.282	2.03	2.111	2.209	1.909	2.02
Archives Of Womens Mental Health	1434-1816	1.955	2.009	2.057	1.813	1.427	2.208
Archaea-An International Microbiological Journal	1472-3646	2.027	2.545	-	-	-	-
Archaeological and Anthropological Sciences	1866-9557	1.06	-	-	-	-	-
Archaeological Prospection	1075-2196	1.449	1.489	1.628	1.368	0.784	1.304
Archaeometry	0003-813X	1.328	1.287	1.183	1.581	1.355	1.479
Arctic Antarctic And Alpine Research	1523-0430	1.528	1.429	1.316	1.6	1.439	1.19
Arctic	0004-0843	1.077	1.208	1.027	0.988	0.95	1.264
Ardea	0373-2266	0.833	0.886	0.592	0.473	0.836	1.333
Ardeola	0570-7358	0.824	0.821	0.772	0.649	0.8	0.46
Arhiv Za Higijenu Rada I Toksikologiju	0004-1254	0.727	0.667	1.048	0.826	-	-
Arid Land Research And Management	1532-4982	0.558	0.42	0.673	0.449	0.612	0.348
Arkiv For Matematik	0004-2080	0.595	0.674	0.452	0.8	0.455	0.319
Arkivoc	1551-7004	1.076	1.057	1.252	1.096	1.09	-
Arquivos Brasileiros de Cardiologia	0066-782X	1.124	1.13	0.88	1.147	1.316	-
Arquivos Brasileiros de Endocrinologia e Metabologia	0004-2730	0.682	0.878	0.879	1.003	0.68	-
Arquivo Brasileiro De Medicina Veterinaria E Zootecnia	0102-0935	0.198	0.269	0.291	0.254	0.349	0.499
Arquivos Brasileiros De Oftalmologia	0004-2749	0.44	0.379	0.326	0.397	-	-
Arquivos De Neuro-Psiquiatria	0004-282X	1.006	0.827	0.722	0.574	0.549	0.388
Ars Combinatoria	0381-7032	0.204	0.278	0.268	0.441	0.396	0.315
ARS Mathematica Contemporanea	1855-3966	0.449	0.667	0.4	-	-	-
Arteriosclerosis Thrombosis And Vascular Biology	1079-5642	5.533	6.338	6.368	7.215	7.235	6.858
Arthritis Care & Research	2151-464X	4.039	3.731	4.851	4.749	-	-
Arthritis Research & Therapy	1478-6354	4.117	4.302	4.445	4.357	-	-
Arthritis And Rheumatism	0004-3591	7.871	7.477	7.866	8.435	7.332	6.787
Arthropod-Plant Interactions	1872-8855	1.179	1.574	1.309	1.68	1.714	-
Arthropod Structure & Development	1467-8039	1.826	2.488	2.122	1.667	1.108	1.2
Arthropod Systematics & Phylogeny	1863-7221	1.062	2.318	-	-	-	-
Arthroscopy-The Journal Of Arthroscopic And Related Surgery	0749-8063	3.191	3.103	3.024	3.317	2.608	2.503
Artificial Cells Blood Substitutes And Biotechnology	1073-1199	0.71	0.854	0.975	0.688	0.939	0.932
Artificial Cells Nanomedicine and Biotechnology	2169-1401	-	-	-	-	-	-
Artificial Intelligence In Medicine	0933-3657	1.356	1.355	1.345	1.568	1.645	1.96
Artificial Intelligence Review	0269-2821	0.895	1.565	1.213	0.429	0.057	0.119
Artificial Intelligence	0004-3702	2.709	2.194	2.252	2.511	3.036	3.397
Artificial Life	1064-5462	1.93	1.585	2.282	2.122	1.96	1.164
Artificial Organs	0160-564X	1.87	1.964	2	1.719	1.827	2.131
Arzneimittelforschung-Drug Research	0004-4172	0.507	0.559	0.722	0.632	0.691	0.713
Asaio Journal	1058-2916	1.385	1.491	1.394	1.221	1.389	1.631
Ashrae Journal	0001-2491	0.124	0.26	0.392	0.397	0.188	0.252
Asia Life Sciences	0117-3375	0.18	0.18	0.239	0.189	0.176	-
Asia-Pacific Journal of Atmospheric Sciences	1976-7633	0.78	0.869	0.42	0.855	0.355	-
Asia-Pacific Journal Of Chemical Engineering	1932-2135	0.623	0.797	0.758	-	-	-
Asia Pacific Journal Of Clinical Nutrition	0964-7058	1.36	1.055	1.133	1.438	1.214	0.817
Asia-Pacific Journal of Clinical Oncology	1743-7555	1.058	0.907	0.585	0.296	0.232	-
Asia-Pacific Journal Of Operational Research	0217-5959	0.22	0.303	0.25	0.303	0.426	0.304
Asia-Pacific Journal of Public Health	1010-5395	1.111	1.057	1.056	0.988	0.763	-
Asia-Pacific Psychiatry	1758-5864	0.422	0.467	0.438	1.2	-	-
Asian-Australasian Journal Of Animal Sciences	1011-2367	0.563	0.643	0.579	0.487	-	-
Asian Biomedicine	1905-7415	-	0.282	0.256	0.248	0.333	0.872
Asian Herpetological Research	2095-0357	0.671	0.681	0.294	-	-	-
Asian Journal Of Andrology	1008-682X	2.53	2.14	1.521	1.549	1.688	2.059
Asian Journal of Animal and Veterinary Advances	1683-9919	-	-	0.869	0.235	-	-
Asian Journal Of Chemistry	0970-7077	0.355	0.253	0.266	0.247	0.213	0.268
Asian Journal Of Control	1561-8625	-	1.411	1.034	0.578	0.6	0.562
Asian Journal of Mathematics	1093-6106	0.421	0.596	0.408	0.458	0.362	0.772
Asian Journal of Organic Chemistry	2193-5807	2.292	-	-	-	-	-
Asian Journal Of Surgery	1015-9584	0.758	0.543	0.575	0.652	0.524	0.675
Asian Myrmecology	1985-1944	0.625	0.25	0.625	0.867	-	-
Asian Nursing Research	1976-1317	0.418	0.44	0.071	0.133	-	-
Asian Pacific Journal Of Allergy And Immunology	0125-877X	1.255	0.791	0.649	0.762	0.562	0.569
Asian Pacific Journal of Cancer Prevention	1513-7368	1.5	1.271	0.659	1.24	1.108	-
Asian Pacific Journal of Tropical Medicine	1995-7645	0.926	0.502	0.371	0.172	-	-
Aslib Proceedings	0001-253X	0.575	0.432	0.635	0.6	0.595	0.493
ASN Neuro	1759-0914	4.436	3.638	3.75	3.833	-	-
Assay And Drug Development Technologies	1540-658X	2.075	1.896	1.727	2.7	2.713	2.398
Assembly Automation	0144-5154	0.711	0.603	0.584	0.645	0.562	0.382
Assist Inferm Ric	1592-5986	-	0.4	0.355	0.135	0.205	-
AStA-Advances in Statistical Analysis	1863-8171	0.756	0.956	0.438	0.686	0.5	-
Asterisque	0303-1179	0.896	1.017	0.594	-	0.372	0.321
Astin Bulletin	0515-0361	0.612	0.698	0.486	0.705	0.731	0.902
