name,DS100,"UIC (IBNR)",Latitude,Longitude
Althof,WAH,8011031,54.090442,11.922341
Altingen(Württ),TAG,8070591,48.561927,8.908852
"Altmarkt/Regierungspräsidium, Kassel",FKALR,712165
Altmittweida,DAMD,8011033,50.968348,12.95969
Altmorschen,FAMO,8000553,51.067275,9.610756
Altmügeln,DAMG,8070697,51.237787,13.040356
Altnau,XSAT,8506125,47.6213657537063,9.26589677407834
Altomünster,MAMT,8000556,48.384918,11.255133
Altoschatz-Rosenthal,DAOR,8070689,51.287838,13.098595
Altranft,BART,8011034,52.763368,14.082107
Altshausen,TAT,8000559,47.930838,9.551478
Altstädten(Allgäu),MATS,8000561,47.48855,10.280907
"Altstätten SG",XSAS,8506319,47.3742291734075,9.55651096480567
Alttann,TATN,8000562,47.841214,9.793037
Altötting,MAT,8000555,48.221242,12.67479
Alveslohe,AAV,8070185,53.791456,9.916375
"Alzenau Burg",FAZB,8077275,50.087928,9.07434
"Alzenau Nord",FAZUN,8077274,50.089443,9.051385
Alzenau(Unterfr),FAZU,8007275,50.088716,9.065603
Alzey,FALZ,8000007,49.7502,8.109749
"Alzey Süd",FAZS,8000558,49.738134,8.118732
"Alzey West",FAZW,8007474,49.740978,8.107255
"Am Kupferhammer, Kassel",FKBHA,719498
"Am Stern, Kassel",FKASA,715108
"Am Weinberg, Kassel",FKNZW,712236
Amberg,NAM,8000566,49.447616,11.862902
Amberieu,XFAE,8700045
Amerang,MAMG,8070802,47.985835,12.306297
Amersfoort,XNAM,8400055,52.153888702393,5.3705554008484
"Amersfoort Schothorst",ONAMS,8400054,52.174822137451,5.4038887023926
"Amersfoort Vathorst",XNAMV,8400031,52.192779541016,5.4338889122009
Ammern,UAMM,8011029,51.233346,10.458086
Amorbach,NAMB,8000575,49.645609,9.223147
Ampfing,MAPF,8000576,48.253949,12.410919
Amsdorf,LAMS,8011038,51.463561,11.71979
"Amsterdam Amstel",XNAA,8400057,52.346668243408,4.9177780151367
"Amsterdam Bijlmer ArenA",XNAB,8400074,52.3122215271,4.9469442367554
"Amsterdam Centraal",XNAC,8400058,52.378887176514,4.9002776145935
"Amsterdam Holendrecht",PNABH,8400076,52.29844,6.7580556869507
"Amsterdam Lelylaan",ONAL,8400079,52.357776641846,4.8338890075684
"Amsterdam Muiderpoort",ONAM,8400060,52.360553741455,4.9311113357544
"Amsterdam RAI",ONAMR,8400056,52.337223052979,4.8902778625488
"Amsterdam Science Park",PNABJ,8400083,52.35526,6.7355556488037
"Amsterdam Sloterdijk",XNAS,8400059,52.388889312744,4.8377776145935
"Amsterdam Zuid",XNAZ,8400061,52.338889,4.872356
"Amstetten NÖ",XAAS,8100012
