HOST_NAME,PERCENT_TOTAL_TIME_UP,TOTAL_TIME_DOWN,TOTAL_TIME_DOWN_HMS,TOTAL_TIME_UNREACHABLE,TOTAL_TIME_UNREACHABLE_HMS,AVAIL_URL,TREND_URL
Newcastle_DEST_router,99.932%,1391,25m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Newcastle_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Newcastle_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Minister_Nelson_DEST_router_HSRP_A,99.942%,1191,20m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Minister_Nelson_DEST_router_HSRP_A&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Minister_Nelson_DEST_router_HSRP_A&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Morwell_Optus_router_PE_interface,99.946%,1096,20m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Morwell_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Morwell_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
DARSW000,99.957%,888,15m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=DARSW000&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=DARSW000&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Hobart_State_Office_DEST_router,99.967%,680,10m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Hobart_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Hobart_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Morwell_DEST_router,99.971%,10, ,575,10m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Morwell_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Morwell_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Mildura_Optus_router_PE_interface,99.984%,332,5m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Mildura_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Mildura_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Mildura_DEST_router,99.984%,0, ,331,5m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Mildura_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Mildura_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
acisp052,99.987%,260,5m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=acisp052&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=acisp052&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Orange_DEST_router,99.985%,251,5m  ,47, ,http://nms/nagios/cgi-bin/avail.cgi?host=Orange_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Orange_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
BNESW400,99.991%,192,5m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=BNESW400&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=BNESW400&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Minister_Nelson_Lindfield_Optus_router_PE_interface_ethernet,99.991%,190,5m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Minister_Nelson_Lindfield_Optus_router_PE_interface_ethernet&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Minister_Nelson_Lindfield_Optus_router_PE_interface_ethernet&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Gympie_DEST_router,99.992%,160,5m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Gympie_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Gympie_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Darwin_State_Office_Optus_router_PE_interface,99.995%,100, ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Darwin_State_Office_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Darwin_State_Office_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Brisbane_State_Office_DEST_router,99.997%,70, ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Brisbane_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Brisbane_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Orange_Optus_router_PE_interface,99.998%,47, ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Orange_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Orange_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
