CODE POSTAL  VILLE                              CODE PAYS  N° INSEEBUREAU DISTRIBUTEUR
01570        FEILLENS                           100        01159   FEILLENS
01210        FERNEY VOLTAIRE                    100        01160   FERNEY VOLTAIRE
01260        FITIGNIEU                          100        01161   SUTRIEU
01350        FLAXIEU                            100        01162   FLAXIEU
01340        FOISSIAT                           100        01163   FOISSIAT
01090        AMAREINS FRANCHELEINS CESSEINS     100        01165   AMAREINS FRANCHELEINS
01480        FRANS                              100        01166   FRANS
01140        GARNERANS                          100        01167   GARNERANS
01090        GENOUILLEUX                        100        01169   GENOUILLEUX
01460        GEOVREISSIAT                       100        01170   GEOVREISSIAT
01100        GEOVREISSET                        100        01171   GEOVREISSET
01250        GERMAGNAT                          100        01172   GERMAGNAT
01170        GEX                                100        01173   GEX
01130        GIRON                              100        01174   GIRON
01190        GORREVOD                           100        01175   GORREVOD
01260        LE GRAND ABERGEMENT                100        01176   LE GRAND ABERGEMENT
01250        GRAND CORENT                       100        01177   GRAND CORENT
01580        GRANGES                            100        01178   MATAFELON GRANGES
01290        GRIEGES                            100        01179   GRIEGES
01220        GRILLY                             100        01180   GRILLY
01810        GROISSIAT                          100        01181   GROISSIAT
01680        GROSLEE                            100        01182   GROSLEE
01090        GUEREINS                           100        01183   GUEREINS
01250        HAUTECOURT ROMANECHE               100        01184   HAUTECOURT ROMANECHE
01110        HAUTEVILLE LOMPNES                 100        01185   HAUTEVILLE LOMPNES
01110        HOSTIAS                            100        01186   HOSTIAS
01260        HOTONNES                           100        01187   HOTONNES
01140        ILLIAT                             100        01188   ILLIAT
01200        INJOUX GENISSIAT                   100        01189   INJOUX GENISSIAT
01680        INNIMOND                           100        01190   INNIMOND
01430        IZENAVE                            100        01191   IZENAVE
01580        IZERNORE                           100        01192   IZERNORE
01300        IZIEU                              100        01193   IZIEU
01480        JASSANS RIOTTIER                   100        01194   JASSANS RIOTTIER
01250        JASSERON                           100        01195   JASSERON
01340        JAYAT                              100        01196   JAYAT
01250        JOURNANS                           100        01197   JOURNANS
01800        JOYEUX                             100        01198   JOYEUX
01640        JUJURIEUX                          100        01199   JUJURIEUX
01450        LABALME                            100        01200   LABALME
01150        LAGNIEU                            100        01202   LAGNIEU
01290        LAIZ                               100        01203   LAIZ
01130        LALLEYRIAT                         100        01204   LALLEYRIAT
01200        LANCRANS                           100        01205   LANCRANS
01430        LANTENAY                           100        01206   LANTENAY
01330        LAPEYROUSE                         100        01207   LAPEYROUSE
01350        LAVOURS                            100        01208   LAVOURS
01200        LEAZ                               100        01209   LEAZ
01410        LELEX                              100        01210   LELEX
01240        LENT                               100        01211   LENT
01560        LESCHEROUX                         100        01212   LESCHEROUX
01150        LEYMENT                            100        01213   LEYMENT
01450        LEYSSARD                           100        01214   LEYSSARD
01420        LHOPITAL                           100        01215   LHOPITAL
01680        LHUIS                              100        01216   LHUIS
01260        LILIGNOD                           100        01217   CHAMPAGNE EN VALROMEY
01260        LOCHIEU                            100        01218   LOCHIEU
01680        LOMPNAS                            100        01219   LOMPNAS
01260        LOMPNIEU                           100        01221   LOMPNIEU
01800        LOYES                              100        01223   VILLIEU LOYES MOLLON
01360        LOYETTES                           100        01224   LOYETTES
01090        LURCY                              100        01225   LURCY
