aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
,"Prostrate Banksia",50cm,Plant,50,50,50,50,Banksia.blechnifolia,2018-11-12,Yes,"Banksia blechnifolia","<a href='http://savage.net.au/Flowers/Banksia.blechnifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Banksia.blechnifolia.0.jpg' alt = ""Banksia blechnifolia""></a>",50cm
,"Cherry Candles",,Plant,,,,,Banksia.spinulosa,2018-11-12,Yes,"Banksia spinulosa","<a href='http://savage.net.au/Flowers/Banksia.spinulosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Banksia.spinulosa.0.jpg' alt = ""Banksia spinulosa""></a>",
"American cress, bank cress, black wood cress, Belle Isle cress, Bermuda cress, creasy greens, early wintercress, early yellowrocket, scurvy cress and upland cress","Land cress",20cm,Herb,20,20,20,20,Barbarea.verna,2018-11-12,Yes,"Barbarea verna","<a href='http://savage.net.au/Flowers/Barbarea.verna.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Barbarea.verna.0.jpg' alt = ""Barbarea verna""></a>",20cm
,"White Cane Begonia",,Tree,,,,,Begonia.hybrid,2018-11-12,Yes,"Begonia hybrid","<a href='http://savage.net.au/Flowers/Begonia.hybrid.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Begonia.hybrid.0.jpg' alt = ""Begonia hybrid""></a>",
"Perpetual Spinach","Spinach Beet",45cm,,45,35,45,35,Beta.vulgaris,,Yes,"Beta vulgaris",,35cm
Silverbeet,"Rainbow Chard",30cm,Vegetable,,,,,,2018-11-12,Yes,"Beta vulgaris 1","<a href='http://savage.net.au/Flowers/Beta.vulgaris.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Beta.vulgaris.1.0.jpg' alt = ""Beta vulgaris 1""></a>",30cm
"Perpetual Spinach","Spinach Beet",45cm,Plant,,,,,,2018-11-12,Yes,"Beta vulgaris 2","<a href='http://savage.net.au/Flowers/Beta.vulgaris.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Beta.vulgaris.2.0.jpg' alt = ""Beta vulgaris 2""></a>",35cm
"'Mohave Orange', Xerochrysum",Bracteantha,,Plant,,,,,Bracteantha,2018-11-12,Yes,Bracteantha,"<a href='http://savage.net.au/Flowers/Bracteantha.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Bracteantha.0.jpg' alt = ""Bracteantha""></a>",
"Red Komatsuma","Red Japanese Spinach",45cm,Plant,45,30,45,30,Brassica.rapa.var.perviridis.red,2018-11-12,Yes,"Brassica rapa var. perviridis 'Red'","<a href='http://savage.net.au/Flowers/Brassica.rapa.var.perviridis.red.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Brassica.rapa.var.perviridis.red.0.jpg' alt = ""Brassica rapa var. perviridis 'Red'""></a>",30cm
,"White Anzac",,Plant,,,,,,2018-12-16,,"Callistemon citrinus","<a href='http://savage.net.au/Flowers/Callistemon.citrinus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Callistemon.citrinus.0.jpg' alt = ""Callistemon citrinus""></a>",
"'Little John'",Bottlebrush,,Plant,,,,,Callistemon.viminalis.hybrid,2018-11-12,Yes,"Callistemon viminalis hybrid","<a href='http://savage.net.au/Flowers/Callistemon.viminalis.hybrid.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Callistemon.viminalis.hybrid.0.jpg' alt = ""Callistemon viminalis hybrid""></a>",
,Camellia,,Plant,,,,,Camellia,2018-11-12,Yes,Camellia,"<a href='http://savage.net.au/Flowers/Camellia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Camellia.0.jpg' alt = ""Camellia""></a>",
,"Adriatic bellflower",,Plant,,,,,Campanula.garganica,2018-11-12,Yes,"Campanula garganica","<a href='http://savage.net.au/Flowers/Campanula.garganica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Campanula.garganica.0.jpg' alt = ""Campanula garganica""></a>",
,"Serbian bellflower",25cm,Plant,25,100,25,100,Campanula.poscharskyana,2018-11-12,Yes,"Campanula poscharskyana","<a href='http://savage.net.au/Flowers/Campanula.poscharskyana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Campanula.poscharskyana.0.jpg' alt = ""Campanula poscharskyana""></a>",100cm
"Plumed cockscomb, Silver cock's comb",Celosia,,Plant,,,,,Celosia,2018-11-12,Yes,Celosia,"<a href='http://savage.net.au/Flowers/Celosia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Celosia.0.jpg' alt = ""Celosia""></a>",
"Arthritis Herb, Asiatic pennywort, centella, Gotu Kola, Indian pennywort",Pennywort,,Plant,,,,,Centella.asiatica,2018-11-12,Yes,"Centella asiatica","<a href='http://savage.net.au/Flowers/Centella.asiatica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Centella.asiatica.0.jpg' alt = ""Centella asiatica""></a>",
"Eastern redbud","Forest Pansy",,Plant,,,,,Cercis.canadensis,2018-11-12,Yes,"Cercis canadensis","<a href='http://savage.net.au/Flowers/Cercis.canadensis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Cercis.canadensis.0.jpg' alt = ""Cercis canadensis""></a>",
,"Heart-Leaf Flame Pea",1-2m,Plant,200,200,100,100,Chorizema.cordatum,2018-11-12,Yes,"Chorizema cordatum","<a href='http://savage.net.au/Flowers/Chorizema.cordatum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Chorizema.cordatum.0.jpg' alt = ""Chorizema cordatum""></a>",1-2m
