aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
"Matted bush-tree","Burnt Orange",,Plant,,,,,Pultenaea.pedunculata,2018-11-12,Yes,"Pultenaea pedunculata","<a href='http://savage.net.au/Flowers/Pultenaea.pedunculata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pultenaea.pedunculata.0.jpg' alt = ""Pultenaea pedunculata""></a>",
Rose,"Rose 1",5m,Plant,500,300,500,300,Rosa.1,2018-11-12,Yes,Rosa,"<a href='http://savage.net.au/Flowers/Rosa.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.1.0.jpg' alt = ""Rosa 1""></a>",3m
Rose,"Rose 2",5m,Plant,500,200,500,200,Rosa.2,2018-11-12,Yes,Rosa,"<a href='http://savage.net.au/Flowers/Rosa.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.2.0.jpg' alt = ""Rosa 2""></a>",2m
Rose,"Rose 3",1.2m,Plant,120,100,120,100,Rosa.3,2018-11-12,Yes,Rosa,"<a href='http://savage.net.au/Flowers/Rosa.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.3.0.jpg' alt = ""Rosa 3""></a>",1m
Rose,"Rose 4",,Plant,,,,,Rosa.4,2018-11-12,Yes,Rosa,"<a href='http://savage.net.au/Flowers/Rosa.4.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosa.4.0.jpg' alt = ""Rosa 4""></a>",
Anthos,Rosemary,,Plant,,,,,Rosmarinus.officinalis,2018-11-12,Yes,"Rosmarinus officinalis","<a href='http://savage.net.au/Flowers/Rosmarinus.officinalis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rosmarinus.officinalis.0.jpg' alt = ""Rosmarinus officinalis""></a>",
"Clerodendrum myricoides, Clerodendrum myricoides 'Ugandense'","Butterfly Bush",,Tree,,,,,Rotheca.myricoides,2018-11-12,Yes,"Rotheca myricoides","<a href='http://savage.net.au/Flowers/Rotheca.myricoides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Rotheca.myricoides.0.jpg' alt = ""Rotheca myricoides""></a>",
"Sacred sage, white sage","Bee sage",1m,Herb,100,100,100,100,Salvia.apiana,2018-11-12,Yes,"Salvia apiana","<a href='http://savage.net.au/Flowers/Salvia.apiana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Salvia.apiana.0.jpg' alt = ""Salvia apiana""></a>",1m
Rosy-leaf,Bethellii,1m,,100,100,100,100,Salvia.involucrata.2,,Yes,"Salvia involucrata",,1m
,Sage,1m,,100,100,100,100,Salvia.involucrata.3,,Yes,"Salvia involucrata",,1m
"Garden sage","Common sage",20cm,,20,20,20,20,Salvia.officinalis,,Yes,"Salvia officinalis",,20cm
,"Siegfredia darwinioides",,,,,,,Siegfredia.darwinioides,,Yes,"Siegfredia darwinioides",,
,"Red Spinach",1.2m,,120,30,120,30,Spinacia.oleracea,,Yes,"Spinacia oleracea",,30cm
"Japanese meadowsweet","Japanese Spiraea",,,,,,,Spiraea.japonica,,Yes,"Spiraea japonica",,
"Orange Browallia","Marmalade Bush",,,,,,,Streptosolen.jamesonii,,Yes,"Streptosolen jamesonii",,
,Goldfussia,,,,,,,Strobilanthes.anisophyllus,,Yes,"Strobilanthes anisophyllus",,
"Aztec marigold, 'Jezebel', Mexican marigold",Marigold,,,,,,,Tagetes.erecta,,Yes,"Tagetes erecta",,
,"Passionfruit Daisy",1.5-2m,,200,,150,,Tagetes.sp,,Yes,"Tagetes sp",,
"Athel pine, Athel tamarisk, Athel tree and saltcedar","Tamarix aphylla",18m,,1800,500,1800,500,Tamarix.aphylla,,Yes,"Tamarix aphylla",,5m
,"Silver lace bush",1m,,100,50,100,50,Tanacetum.ptarmiciflorum,,Yes,"Tanacetum ptarmiciflorum",,50cm
"Bitter buttons, cow bitter, common tansy, golden buttons",Tansy,1m,,100,100,100,100,Tanacetum.vulgare,,Yes,"Tanacetum vulgare",,1m
,"Shady Lady® Crimson",3m,,,,,,,,Yes,"Telopea speciosissima x oreades",,1.5m
"Stypandra caespitosa","Thelionema caespitosum",30-90cm,,90,50,30,30,Thelionema.caespitosum,,Yes,"Thelionema caespitosum",,30-50cm
"Glory trees","Glory Bush",,,,,,,Tibouchina.urvilleana,,Yes,"Tibouchina urvilleana",,
"Nose-tweaker, Nose-twister",Nasturtium,1-2m,,200,45,100,45,Tropaeolum.majus,,Yes,"Tropaeolum majus",,45cm
"Common cornsalad, doucette, feldsalat, fetticus, field salad, lamb's lettuce, mâche, nut lettuce, raiponce, rapunzel","Corn Salad",20cm,,20,10,20,10,Valerianella.locusta,,Yes,"Valerianella locusta",,10cm
"Asparagus bean, bodi, bora, Chinese long bean, long-podded cowpea, pea bean, yardlong bean","Snake bean",46cm,,46,10,46,10,Vigna.unguiculata.subsp.sesquipedalis,,Yes,"Vigna unguiculata subsp. sesquipedalis",,10cm
Violet,"Viola 3",,,,,,,Viola,,Yes,Viola,,
"Come-and-cuddle-me, Heart's delight, Heartsease, Heart's ease, Jack-jump-up-and-kiss-me, Johnny jump up, Love-in-idleness, Three faces in a hood, Tickle-my-fancy, Wild pansy, Yellow Pansy","Viola 1",,,,,,,Viola.tricolor,,Yes,"Viola tricolor",,
"Garden pansy, Pansy","Viola 2",,,,,,,Viola.x.wittrockiana,,Yes,"Viola x wittrockiana",,
,Wisteria,,,,,,,Wisteria,,Yes,Wisteria,,
"Calla Lily","Golden arum lily",,,,,,,Zantedeschia.elliottiana,,Yes,"Zantedeschia elliottiana",,
