common_name,note
"Washington Navel Orange","Warning: The buds are mercilessly predated by possums"
"Washington Navel Orange","Stop Press 2016-06-25: I finally picked an orange, and it was delicious!"
"Washington Navel Orange","It was not as sweet as commercial oranges, of course, which are bred to be very sweet"
"Washington Navel Orange","Pruning: No"
"Washington Navel Orange","Feeding: Use a complete fertilizer in late winter and late summer"
"Washington Navel Orange","See also <a href = '/Flowers/Lisbon.lemon.html'>Lisbon Lemon</a>"
"Washington Navel Orange","See also <a href = '/Flowers/Meyer.lemon.html'>Meyer Lemon</a>"
"Washington Navel Orange","See also <a href = '/Flowers/Tahati.lime.html'>Tahiti Lime</a>"
"Convolvulus 1","A bullet-proof small shrub for dry and sunny spots"
"Convolvulus 1","Forms a small mounded shrub with grey foliage covered in large white flowers throughout the warmer months"
"Convolvulus 1","Very low maintenance"
"Convolvulus 1","Supplier: Rippon Lea Estate"
"Convolvulus 2","A tough evergreen shrob that forms a nice groundcover, or good for trailing over walls or hanging baskets"
"Convolvulus 2","Produces lots of showy blue flowers in the warmer months"
"Convolvulus 2","Sun or shade"
"Convolvulus 2","Supplier: Rippon Lea Estate"
Coriander,Herb
Coriander,"Harvest from 4 weeks"
Coriander,"Plant 25cm apart"
Coriander,"Companions: Cabbage, Carrots and Dill"
"Corn Salad","A fast-maturing, sharp-flavoured annual herb that grows year round"
"Corn Salad","The edible leaves make a fine addition to Winter salads"
"Corn Salad","Harvest young leaves as required or use whole plants while still young"
"Corn Salad","Grow in a sunny to partly shaded position in moist, well drained soil"
"Corn Salad","Provide reqular water"
"Corn Salad","Supplier: Botanical Creations"
"Corn Salad","Status: Defunct"
"Correa - Orange form","Evergreen Australian native shrub"
"Correa - Orange form","This compact Correa produces tublar bright orange flowers in Autumn to Spring"
"Correa - Orange form","Leaves are narrow and green"
"Correa - Orange form","Performs best in moist, well-drained soil in part sun/part shade"
"Correa - Orange form","This Correa tolerates minor frost"
"Correa - Orange form","It is tolerant of coastal conditions"
"Correa - Orange form","Mulch well to suppress weeds and conserve soil moisture"
"Correa - Orange form","Tip prune to retain shape and keep compact"
"Correa - Orange form","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Corymbia ficifolia","Australian native flowering gum"
"Corymbia ficifolia","These trees have a round shape with deep green foliage almost to the ground"
"Corymbia ficifolia","Given the small size, best for small gardens"
"Corymbia ficifolia","Flowers: Big, showy, bright organge blooms throughout Summer"
"Corymbia ficifolia","Sometimes repeat flowers in Autumn"
"Corymbia ficifolia","Expect to see big, showy gum nuts"
"Corymbia ficifolia","Bird-attracting, dry hardy and virtually maintenance-free"
"Corymbia ficifolia","Prune well"
Crowea,"After flowering, prune by 1/3rd"
"Dampiera trigona",https://en.wikipedia.org/wiki/Dampiera_linearis
"Dampiera trigona","Thumbnail (Dampiera linearis actually): By Melburnian - Own work, CC BY 2.5 ..."
"Dampiera trigona",https://commons.wikimedia.org/w/index.php?curid=1598219
"Dampiera trigona","Status: Defunct"
Daphne,"This plant is probably Jacqueline Postill"
Daphne,"Flowering: 2012-07-07, in Winter (Melbourne, Victoria, Australia)"
Daphne,"The aroma of the flowers is legendary"
Daphne,"Pruning: No"
Daphne,"Feeding: No"
Delphinium,"Stunning perennial with blue flashes of flowers thru warmer months"
Delphinium,"Thrives in a sunny position"
Delphinium,"Toxic to humans and animals"
Delphinium,"Thumbnail Â© Royal Botanic Gardens, Melbourne"
Delphinium,"Supplier: Rippon Lea Estate"
"Dianella prunina","An elegant clumping ornamental Australian flax with distinctive blue/purple foliage"
"Dianella prunina","Grows to an average size of 50cm across, with graceful flower stems reaching over 1m in height"
"Dianella prunina","Can be used for mass planting, foliage or accent grassy gardens, adding a unique color perspective to any garden"
"Dianella prunina","Tolerates a variety of climartic conditions"
"Dianella prunina","Full sun to part shade"
"Dianella prunina","Very hardy, drought and frost tolerant"
"Dianella prunina","Avoid prolonged wet conditions"
"Dianella prunina","When planting ensure the base of the plant is not covered with mulch or soil"
"Dianella prunina","Plant in a well mulched garden"
"Dianella prunina","Feritilize with a slow release fertilizer after 2 months, and then only if required"
"Dianella prunina","Remove older leaves as required to keep plant looking good"
"Dianella prunina","For a better foliage specimen, remove flower stems before flowering"
"Dianella prunina","Once established do not water too much"
"Dianella prunina","I am a Fuss Pot!"
"Dianella prunina","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Diplarrena latifolia","Tasmanian native iris-like foliage"
"Diplarrena latifolia","White flowers marked purple"
"Diplarrena latifolia","Moist well-drained heavy soil in some shade"
"Diplarrena latifolia","Frost resistant"
"Diplarrena latifolia","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Dwarf Crown of Thorns","A dwarf form of the Crown of Thorns plant"
