cep,27.07,Aug  5,2.25
exbd,6.71,Sep 11,1.72
ofc,4.93,Sep 26,1.39
crrc,5.34,Aug  6,0.80
cuz,10.59,Aug  7,1.48
cr,4.16,Aug 27,0.74
xtxi,9.80,Jul 31,1.24
xtex,15.08,Jul 31,2.45
wst,1.44,Oct 20,0.57
brkl,7.21,Jul 29,0.74
cv,4.25,Jul 29,0.92
isil,4.10,Aug  8,0.46
iwa,10.04,Sep 26,1.62
sjm,2.70,Aug 13,1.24
jtx,5.95,Sep 25,0.72
jny,6.48,Aug 13,0.56
kbh,7.56,Jul  8,1.00
kelya,4.01,Aug 27,0.54
krc,7.58,Sep 26,2.29
kmb,3.97,Sep  3,2.27
kim,8.61,Oct  1,1.64
krg,13.97,Oct  3,0.82
knl,4.01,Sep 11,0.48
kcap,34.24,Oct  7,1.57
kft,3.87,Sep 22,1.10
lg,3.04,Sep  9,1.50
boot,8.65,Aug 20,1.38
lanc,3.51,Sep  8,1.12
lnce,3.06,Aug  7,0.64
ldr,3.66,Sep 10,2.00
leg,6.20,Sep 11,1.00
lxp,55.09,Sep 26,3.46
lry,11.78,Sep 29,2.50
lltc,4.04,Aug 13,0.81
lo,1.49,Aug 28,0.92
lyts,10.85,Aug 28,0.60
mac,12.68,Aug 19,3.20
cli,12.67,Oct  1,2.56
mic,27.54,Sep  2,2.54
mgg,7.21,Aug  4,1.26
mmp,8.35,Aug  4,2.66
mga,4.58,Aug 27,1.44
msfg,3.74,Sep  3,0.57
mfc,4.73,Aug 15,0.98
mwe,11.39,Jul 31,2.35
mmlp,12.32,Jul 30,2.84
mas,8.57,Oct  8,0.93
mbfi,2.59,Aug 13,0.72
taxi,9.05,Aug 13,0.76
meg,13.59,Aug 27,0.92
mpw,15.02,Sep 16,1.08
mcy,4.58,Sep 11,2.26
mdp,4.62,Aug 27,0.83
meoh,5.02,Sep 12,0.59
mchp,6.03,Aug  5,1.30
mbrg,4.98,Oct  6,0.76
mofg,2.44,Aug 27,0.31
msw,10.48,Sep 26,0.76
molx,3.54,Sep 26,0.49
mfsf,6.90,Sep 10,0.63
ncmi,9.92,Aug 19,0.61
nfp,13.46,Sep 12,0.84
npbc,4.83,Jul 30,0.68
nhp,5.97,Aug 13,1.73
