言う,818,818,1000,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,言う,言う,申す
扱う,818,818,1000,動詞,自立,*,*,五段・ワ行促音便,基本形,扱う,扱う,扱う,計らう
言お,821,821,1000,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,言お,言お,言お,申そ
扱お,821,821,1000,動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,扱お,扱お,扱お,計らおう
言わ,824,824,1000,動詞,自立,*,*,五段・ワ行促音便,未然形,言わ,言わ,言わ,申さ
扱わ,824,824,1000,動詞,自立,*,*,五段・ワ行促音便,未然形,扱わ,扱わ,扱わ,計らわ
言っ,830,830,1000,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言っ,言っ,言っ,申し
扱っ,830,830,1000,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,扱っ,扱っ,扱っ,計らっ
言い,833,833,1000,動詞,自立,*,*,五段・ワ行促音便,連用形,言い,言い,言い,申し
扱い,833,833,1000,動詞,自立,*,*,五段・ワ行促音便,連用形,扱い,扱い,扱い,計らい
れる,-1,-1,1000,動詞,接尾,*,*,一段,基本形,れる,れる,れる,れ申される
いる,-1,-1,1000,動詞,非自立,*,*,一段,基本形,いる,いる,いる,おる
なさい,1237,1237,1000,動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,なさい,なさい,なさい,なされ
どうして,-1,-1,1000,副詞,一般,*,*,*,*,どうして,どうして,どうして,なぜに
どうぞ,-1,-1,1000,副詞,一般,*,*,*,*,どうぞ,どうぞ,どうぞ,なにとぞ
何で,-1,-1,1000,副詞,一般,*,*,*,*,何で,何で,何で,何ゆえ
なんで,-1,-1,1000,副詞,一般,*,*,*,*,なんで,なんで,なんで,何ゆえ
やがて,-1,-1,1000,副詞,一般,*,*,*,*,やがて,やがて,やがて,いずれ
非常に,-1,-1,1000,副詞,一般,*,*,*,*,非常に,非常に,非常に,甚だ
いつも,-1,-1,1000,副詞,一般,*,*,*,*,いつも,いつも,いつも,常々
決して,-1,-1,1000,副詞,一般,*,*,*,*,決して,決して,決して,ゆめゆめ
どうか,-1,-1,1000,副詞,一般,*,*,*,*,どうか,どうか,どうか,どうか,なにとぞ
しばらく,-1,-1,1000,副詞,助詞類接続,*,*,*,*,しばらく,しばらく,しばらく,暫し
そうで,-1,-1,1000,副詞,助詞類接続,*,*,*,*,そうで,そうで,そうで,左様
ちょっと,-1,-1,1000,副詞,助詞類接続,*,*,*,*,ちょっと,ちょっと,ちょっと,ちと
なぜ,-1,-1,1000,副詞,助詞類接続,*,*,*,*,なぜ,なぜ,なぜ,何ゆえ
何故,-1,-1,1000,副詞,助詞類接続,*,*,*,*,何故,何故,何故,何ゆえ
ゆっくり,-1,-1,1000,副詞,助詞類接続,*,*,*,*,ゆっくり,ゆっくり,ゆっくり,ゆるり
どう,-1,-1,1000,副詞,助詞類接続,*,*,*,*,どう,どう,どう,如何
すぐ,-1,-1,1000,副詞,助詞類接続,*,*,*,*,すぐ,すぐ,すぐ,早急
これから,-1,-1,1000,副詞,助詞類接続,*,*,*,*,これから,これから,これから,今後
いろいろ,-1,-1,1000,副詞,助詞類接続,*,*,*,*,いろいろ,いろいろ,いろいろ,諸々
アホ,-1,-1,1000,名詞,一般,*,*,*,*,アホ,アホ,アホ,腑抜け
あほ,-1,-1,1000,名詞,一般,*,*,*,*,あほ,あほ,あほ,腑抜け
娘,-1,-1,1000,名詞,一般,*,*,*,*,娘,娘,娘,ギャル
娘,-1,-1,1000,名詞,一般,*,*,*,*,娘,娘,娘,女の子
母,-1,-1,1000,名詞,一般,*,*,*,*,母,母,母,母上
お母さん,-1,-1,1000,名詞,一般,*,*,*,*,お母さん,お母さん,お母さん,母上
母さん,-1,-1,1000,名詞,一般,*,*,*,*,母さん,母さん,母さん,母上
ママ,-1,-1,1000,名詞,一般,*,*,*,*,ママ,ママ,ママ,母上
父,-1,-1,1000,名詞,一般,*,*,*,*,父,父,父,父上
お父さん,-1,-1,1000,名詞,一般,*,*,*,*,お父さん,お父さん,お父さん,父上
父さん,-1,-1,1000,名詞,一般,*,*,*,*,父さん,父さん,父さん,父上
パパ,-1,-1,1000,名詞,一般,*,*,*,*,パパ,パパ,パパ,父上
自分,-1,-1,1000,名詞,一般,*,*,*,*,自分,自分,自分,身ども
コギャル,-1,-1,1000,名詞,一般,*,*,*,*,コギャル,コギャル,コギャル,小娘
若者,-1,-1,1000,名詞,一般,*,*,*,*,若者,若者,若者,若人
方がた,-1,-1,1000,名詞,一般,*,*,*,*,方がた,方がた,方がた,者共
方々,-1,-1,1000,名詞,一般,*,*,*,*,方々,方々,方々,者共
バカ,-1,-1,1000,名詞,一般,*,*,*,*,バカ,バカ,バカ,たわけ
ばか,-1,-1,1000,名詞,一般,*,*,*,*,ばか,ばか,ばか,たわけ
馬鹿,-1,-1,1000,名詞,一般,*,*,*,*,馬鹿,馬鹿,馬鹿,たわけ
ガキ,-1,-1,1000,名詞,一般,*,*,*,*,ガキ,ガキ,ガキ,こわっぱ
