1956	GO:0005783 	 endoplasmic reticulum 
2131	GO:0005783 	 endoplasmic reticulum 
2132	GO:0005783 	 endoplasmic reticulum 
23645	GO:0005783 	 endoplasmic reticulum 
2052	GO:0005783 	 endoplasmic reticulum 
224	GO:0005783 	 endoplasmic reticulum 
6400	GO:0005783 	 endoplasmic reticulum 
25800	GO:0005783 	 endoplasmic reticulum 
7450	GO:0005783 	 endoplasmic reticulum 
8985	GO:0005783 	 endoplasmic reticulum 
50999	GO:0005783 	 endoplasmic reticulum 
267	GO:0005783 	 endoplasmic reticulum 
9415	GO:0005783 	 endoplasmic reticulum 
3703	GO:0005783 	 endoplasmic reticulum 
10523	GO:0005783 	 endoplasmic reticulum 
10558	GO:0005783 	 endoplasmic reticulum 
3028	GO:0005783 	 endoplasmic reticulum 
4256	GO:0005783 	 endoplasmic reticulum 
22862	GO:0005783 	 endoplasmic reticulum 
6890	GO:0005783 	 endoplasmic reticulum 
6720	GO:0005783 	 endoplasmic reticulum 
1595	GO:0005783 	 endoplasmic reticulum 
1861	GO:0005783 	 endoplasmic reticulum 
9632	GO:0005783 	 endoplasmic reticulum 
9871	GO:0005783 	 endoplasmic reticulum 
6722	GO:0005783 	 endoplasmic reticulum 
9817	GO:0005783 	 endoplasmic reticulum 
10897	GO:0005783 	 endoplasmic reticulum 
2531	GO:0005783 	 endoplasmic reticulum 
2182	GO:0005783 	 endoplasmic reticulum 
10237	GO:0005783 	 endoplasmic reticulum 
1545	GO:0005783 	 endoplasmic reticulum 
3423	GO:0005783 	 endoplasmic reticulum 
10613	GO:0005783 	 endoplasmic reticulum 
1739	GO:0005783 	 endoplasmic reticulum 
3156	GO:0005783 	 endoplasmic reticulum 
9217	GO:0005783 	 endoplasmic reticulum 
6782	GO:0005783 	 endoplasmic reticulum 
11161	GO:0005783 	 endoplasmic reticulum 
3304	GO:0005783 	 endoplasmic reticulum 
5352	GO:0005783 	 endoplasmic reticulum 
9926	GO:0005783 	 endoplasmic reticulum 
3709	GO:0005783 	 endoplasmic reticulum 
8813	GO:0005783 	 endoplasmic reticulum 
4864	GO:0005783 	 endoplasmic reticulum 
10282	GO:0005783 	 endoplasmic reticulum 
5770	GO:0005783 	 endoplasmic reticulum 
3459	GO:0005783 	 endoplasmic reticulum 
8974	GO:0005783 	 endoplasmic reticulum 
10682	GO:0005783 	 endoplasmic reticulum 
6786	GO:0005783 	 endoplasmic reticulum 
9780	GO:0005783 	 endoplasmic reticulum 
51763	GO:0005783 	 endoplasmic reticulum 
10162	GO:0005783 	 endoplasmic reticulum 
22908	GO:0005783 	 endoplasmic reticulum 
10427	GO:0005783 	 endoplasmic reticulum 
6845	GO:0005783 	 endoplasmic reticulum 
2542	GO:0005783 	 endoplasmic reticulum 
4189	GO:0005783 	 endoplasmic reticulum 
5279	GO:0005783 	 endoplasmic reticulum 
10330	GO:0005783 	 endoplasmic reticulum 
54788	GO:0005783 	 endoplasmic reticulum 
4938	GO:0005783 	 endoplasmic reticulum 
7466	GO:0005783 	 endoplasmic reticulum 
9852	GO:0005783 	 endoplasmic reticulum 
10269	GO:0005783 	 endoplasmic reticulum 
857	GO:0005783 	 endoplasmic reticulum 
9900	GO:0005783 	 endoplasmic reticulum 
7869	GO:0005783 	 endoplasmic reticulum 
27429	GO:0005783 	 endoplasmic reticulum 
10059	GO:0005783 	 endoplasmic reticulum 
9052	GO:0005783 	 endoplasmic reticulum 
9517	GO:0005783 	 endoplasmic reticulum 
10952	GO:0005783 	 endoplasmic reticulum 
9197	GO:0005783 	 endoplasmic reticulum 
1388	GO:0005783 	 endoplasmic reticulum 
9695	GO:0005783 	 endoplasmic reticulum 
3998	GO:0005783 	 endoplasmic reticulum 
729030	GO:0005783 	 endoplasmic reticulum 
6811	GO:0005783 	 endoplasmic reticulum 
22920	GO:0005783 	 endoplasmic reticulum 
2286	GO:0005783 	 endoplasmic reticulum 
8624	GO:0005783 	 endoplasmic reticulum 
10016	GO:0005783 	 endoplasmic reticulum 
9743	GO:0005783 	 endoplasmic reticulum 
5663	GO:0005783 	 endoplasmic reticulum 
1588	GO:0005783 	 endoplasmic reticulum 
7162	GO:0005783 	 endoplasmic reticulum 
23480	GO:0005783 	 endoplasmic reticulum 
6252	GO:0005783 	 endoplasmic reticulum 
27095	GO:0005783 	 endoplasmic reticulum 
819	GO:0005783 	 endoplasmic reticulum 
79053	GO:0005783 	 endoplasmic reticulum 
9694	GO:0005783 	 endoplasmic reticulum 
5320	GO:0005783 	 endoplasmic reticulum 
3162	GO:0005783 	 endoplasmic reticulum 
8694	GO:0005783 	 endoplasmic reticulum 
4925	GO:0005783 	 endoplasmic reticulum 
596	GO:0005783 	 endoplasmic reticulum 
3708	GO:0005783 	 endoplasmic reticulum 
9933	GO:0005783 	 endoplasmic reticulum 
10908	GO:0005783 	 endoplasmic reticulum 
412	GO:0005783 	 endoplasmic reticulum 
9600	GO:0005783 	 endoplasmic reticulum 
7428	GO:0005783 	 endoplasmic reticulum 
10954	GO:0005783 	 endoplasmic reticulum 
23011	GO:0005783 	 endoplasmic reticulum 
1774	GO:0005783 	 endoplasmic reticulum 
22846	GO:0005783 	 endoplasmic reticulum 
22926	GO:0005783 	 endoplasmic reticulum 
11015	GO:0005783 	 endoplasmic reticulum 
8459	GO:0005783 	 endoplasmic reticulum 
1203	GO:0005783 	 endoplasmic reticulum 
3291	GO:0005783 	 endoplasmic reticulum 
4258	GO:0005783 	 endoplasmic reticulum 
6253	GO:0005783 	 endoplasmic reticulum 
27067	GO:0005783 	 endoplasmic reticulum 
79071	GO:0005783 	 endoplasmic reticulum 
3995	GO:0005783 	 endoplasmic reticulum 
5664	GO:0005783 	 endoplasmic reticulum 
9088	GO:0005783 	 endoplasmic reticulum 
11322	GO:0005783 	 endoplasmic reticulum 
10484	GO:0005783 	 endoplasmic reticulum 
9746	GO:0005783 	 endoplasmic reticulum 
341	GO:0005783 	 endoplasmic reticulum 
5287	GO:0005783 	 endoplasmic reticulum 
22845	GO:0005783 	 endoplasmic reticulum 
3283	GO:0005783 	 endoplasmic reticulum 
54575	GO:0005783 	 endoplasmic reticulum 
9619	GO:0005783 	 endoplasmic reticulum 
4033	GO:0005783 	 endoplasmic reticulum 
6715	GO:0005783 	 endoplasmic reticulum 
491	GO:0005783 	 endoplasmic reticulum 
9482	GO:0005783 	 endoplasmic reticulum 
4690	GO:0005783 	 endoplasmic reticulum 
5653	GO:0005783 	 endoplasmic reticulum 
5743	GO:0005783 	 endoplasmic reticulum 
6891	GO:0005783 	 endoplasmic reticulum 
4118	GO:0005783 	 endoplasmic reticulum 
9183	GO:0005783 	 endoplasmic reticulum 
10536	GO:0005783 	 endoplasmic reticulum 
7357	GO:0005783 	 endoplasmic reticulum 
662	GO:0005783 	 endoplasmic reticulum 
4939	GO:0005783 	 endoplasmic reticulum 
79090	GO:0005783 	 endoplasmic reticulum 
2781	GO:0005783 	 endoplasmic reticulum 
1573	GO:0005783 	 endoplasmic reticulum 
5281	GO:0005783 	 endoplasmic reticulum 
55973	GO:0005783 	 endoplasmic reticulum 
9883	GO:0005783 	 endoplasmic reticulum 
338	GO:0005783 	 endoplasmic reticulum 
7444	GO:0005783 	 endoplasmic reticulum 
5742	GO:0005783 	 endoplasmic reticulum 
11005	GO:0005783 	 endoplasmic reticulum 
538	GO:0005783 	 endoplasmic reticulum 
5110	GO:0005783 	 endoplasmic reticulum 
7957	GO:0005783 	 endoplasmic reticulum 
4306	GO:0005783 	 endoplasmic reticulum 
5277	GO:0005783 	 endoplasmic reticulum 
9986	GO:0005783 	 endoplasmic reticulum 
10675	GO:0005783 	 endoplasmic reticulum 
2677	GO:0005783 	 endoplasmic reticulum 
3290	GO:0005783 	 endoplasmic reticulum 
590	GO:0005783 	 endoplasmic reticulum 
487	GO:0005783 	 endoplasmic reticulum 
9488	GO:0005783 	 endoplasmic reticulum 
1586	GO:0005783 	 endoplasmic reticulum 
79868	GO:0005783 	 endoplasmic reticulum 
10125	GO:0005783 	 endoplasmic reticulum 
10439	GO:0005783 	 endoplasmic reticulum 
218	GO:0005783 	 endoplasmic reticulum 
2326	GO:0005783 	 endoplasmic reticulum 
4547	GO:0005783 	 endoplasmic reticulum 
8630	GO:0005783 	 endoplasmic reticulum 
1040	GO:0005783 	 endoplasmic reticulum 
4036	GO:0005783 	 endoplasmic reticulum 
1543	GO:0005783 	 endoplasmic reticulum 
957	GO:0005783 	 endoplasmic reticulum 
1577	GO:0005783 	 endoplasmic reticulum 
11001	GO:0005783 	 endoplasmic reticulum 
2330	GO:0005783 	 endoplasmic reticulum 
1852	GO:0005783 	 endoplasmic reticulum 
444	GO:0005783 	 endoplasmic reticulum 
27233	GO:0005783 	 endoplasmic reticulum 
1047	GO:0005783 	 endoplasmic reticulum 
1384	GO:0005783 	 endoplasmic reticulum 
9487	GO:0005783 	 endoplasmic reticulum 
1056	GO:0005783 	 endoplasmic reticulum 
338324	GO:0005783 	 endoplasmic reticulum 
1551	GO:0005783 	 endoplasmic reticulum 
13	GO:0005783 	 endoplasmic reticulum 
