Serial#,Sequence#,EventTag,Battery,Event_Time,Satellite_Time,Guardian_Time,Longitude,Latitude,Altitude,Speed,Heading,HDOP,Fix_Type,Digital_Prev,Digital_Curr,Analog_1,Scalar_1,Analog_2,Scalar_2,Analog_3,Scalar_3,User_Data_Len,User_Data_Hex,User_Data_ASCII,Translator
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 15:42:05,2007-04-25 15:41:55,16.96536,77.00520,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 15:22:39,2007-04-25 15:22:30,16.97828,76.99730,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 14:57:12,2007-04-25 14:57:03,16.99403,76.98816,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 13:07:32,2007-04-25 13:07:21,17.02718,76.96516,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 12:07:30,2007-04-25 12:07:21,17.05945,76.94264,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 10:57:47,2007-04-25 10:57:37,17.07836,76.92051,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 10:38:06,2007-04-25 10:37:57,17.08632,76.91534,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 09:55:10,2007-04-25 09:54:59,17.11400,76.91168,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 09:42:27,2007-04-25 09:42:17,17.11380,76.91052,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-24 19:39:46,2007-04-24 19:39:37,17.11374,76.91057,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
