release,date,author,status,maturity,version,first,distribution,abstract
News-Newsrc-1.00,1996-01-29T21:23:26,SWMCD,backpan,released,1.00,1,News-Newsrc,"manage newsrc files"
PGP-0.2alpha,1996-01-29T22:23:41,GEHIC,backpan,released,0.2,,PGP,"perl module to work with PGP messages"
File-Lock-0.9,1996-01-31T03:53:01,KJALB,latest,released,0.9,,File-Lock,
sybperl-2.03,1996-01-31T16:38:50,MEWP,backpan,released,2.03,,sybperl,"Sybase extensions to Perl"
DBD-Sybase-0.01,1996-02-02T14:43:33,MEWP,backpan,released,0.01,1,DBD-Sybase,
perl5.002b3,1996-02-03T07:48:14,LWALL,backpan,released,5.002,,perl,"access Perl configuration information"
EventServer-2.3,1996-02-07T17:46:23,JACKS,backpan,released,2.3,1,EventServer,"the all singing, all dancing server. Handles i/o driven clients, timer driven clients, and interrupt driven clients, all at the same time. Allows user defined events also. If there are any more types of clients, please tell me."
Getopt-Mixed-1.008,1996-02-09T03:28:49,CJM,backpan,released,1.008,,Getopt-Mixed,"getopt processing with both long and short options"
Safe-2.01,1996-02-10T20:04:44,TIMB,backpan,released,2.01,,Safe,"Compile and execute code in restricted compartments"
llg-1.07,1996-02-12T14:28:35,YVESP,backpan,released,1.07,1,llg,"Lexical analyser generator (Alpha 1.07)."
DBI-0.67,1996-02-15T22:07:00,TIMB,backpan,released,0.67,,DBI,
OpenGL-0.4,1996-02-16T05:15:00,STANM,cpan,released,0.4,,OpenGL,
MLDBM-1.20,1996-02-17T01:41:47,GSAR,backpan,released,1.20,,MLDBM,"store multi-level hash structure in single level tied hash"
Usage-0.10,1996-02-17T11:38:34,JACKS,backpan,released,0.10,1,Usage,
BSD-Resource-1.03,1996-02-17T14:18:25,JHI,backpan,released,1.03,1,BSD-Resource,"BSD process resource limit and priority functions"
ConfigReader-0.5,1996-02-19T16:44:54,AMW,latest,released,0.5,1,ConfigReader,"Read directives from a configuration file."
Math-VecStat-0.03,1996-02-20T08:18:53,JARW,backpan,released,0.03,,Math-VecStat,"Some basic numeric stats on vectors"
Sybase-BCP-0.01,1996-02-20T13:01:46,MEWP,backpan,released,0.01,1,Sybase-BCP,"Simple front end to the Sybase BCP API"
Statistics-LTU-2.7,1996-02-20T15:52:42,TOMFA,backpan,released,2.7,1,Statistics-LTU,"An implementation of Linear Threshold Units"
Set-IntSpan-1.01,1996-02-22T20:49:28,SWMCD,backpan,released,1.01,,Set-IntSpan,"Manages sets of integers"
PGPLOT1.0b_src,1996-02-23T06:30:00,KGB,backpan,released,1.0,1,PGPLOT,
PGPLOT1.0a_src,1996-02-23T06:30:00,KGB,backpan,released,1.0,1,PGPLOT,
News-Newsrc-1.01,1996-02-23T09:00:13,SWMCD,backpan,released,1.01,,News-Newsrc,"manage newsrc files"
DateCalc-1.4,1996-02-26T16:33:45,STBEY,backpan,released,1.4,,DateCalc,
ShowTable-1.12,1996-02-29T17:22:41,AKSTE,backpan,released,1.12,1,ShowTable,"Show data in nicely formatted columns"
Sys-OutPut-1.5,1996-03-01T02:58:39,AKSTE,backpan,released,1.5,1,Sys-OutPut,"Perl module to help make output easier."
makepatch-1.10,1996-03-01T11:22:22,JV,backpan,released,1.10,1,makepatch,
perlpdf-5.002,1996-03-02T10:29:13,BMIDD,backpan,released,5.002,1,perlpdf,
CGI_Imagemap-1.00,1996-03-02T11:01:57,MIKEH,cpan,released,1.00,1,CGI_Imagemap,"imagemap behavior for CGI programs"
XSTEST-19960302,1996-03-02T20:10:41,DMR,latest,released,19960302,1,XSTEST,
Text-German-0.02,1996-03-05T08:39:00,ULPFR,cpan,released,0.02,1,Text-German,
perlindex-1.107,1996-03-10T11:07:00,ULPFR,cpan,released,1.107,1,perlindex,"index and query perl manual pages"
Table-1.02,1996-03-10T12:32:00,GUYDX,cpan,released,1.02,,Table,
Net-SMTP-1.07,1996-03-11T07:35:38,GBARR,backpan,released,1.07,,Net-SMTP,"Simple Mail transfer Protocol Client"
Quota-0_2a,1996-03-12T15:42:50,TOMZO,backpan,released,0_2,,Quota,
MD5-1.5.3,1996-03-14T11:34:22,NWINT,cpan,released,v1.5.3,,MD5,"Perl interface to the RSA Data Security Inc. MD5 Message-Digest Algorithm"
DateCalc-1.5,1996-03-14T13:24:02,STBEY,backpan,released,1.5,,DateCalc,
TermReadKey-2.05,1996-03-14T23:24:57,KJALB,backpan,released,2.05,,TermReadKey,"provide auto-configuration utilities"
Curses-a9,1996-03-17T04:46:21,WPS,cpan,released,0,1,Curses,"terminal screen handling and optimization"
HTTPD-Tools-0.52,1996-03-21T00:00:08,DOUGM,backpan,released,0.52,1,HTTPD-Tools,"Batch updates for HTTP server user databases"
Opcode-1.00,1996-03-22T03:00:10,TIMB,backpan,released,1.00,1,Opcode,"Disable named opcodes when compiling perl code"
DBD-mSQL-0.60pl10,1996-03-24T21:49:00,ADESC,backpan,released,0.60,1,DBD-mSQL,
Math-ematica-1.006,1996-03-25T20:30:00,ULPFR,cpan,released,1.006,1,Math-ematica,"Communicate to Mathematica via MathLink"
former-0.2beta,1996-03-27T20:09:20,GEHIC,latest,released,0.2,1,former,"Generic CGI script for processing forms"
Net-Country-0.1,1996-03-28T07:41:00,ULPFR,cpan,released,0.1,1,Net-Country,
sybperl-2.05,1996-03-28T23:44:04,MEWP,backpan,released,2.05,,sybperl,"Simple front end to the Sybase BCP API"
Set-Scalar-0.002,1996-03-29T17:03:10,JHI,backpan,released,0.002,1,Set-Scalar,"the basic set operations for Perl scalar/reference data"
perlhtml-5.002,1996-04-02T09:15:50,BMIDD,backpan,released,5.002,1,perlhtml,
Tk-JPEG-b11,1996-04-02T23:15:36,NI-S,backpan,released,0,1,Tk-JPEG,
File-Tools-2.0,1996-04-04T02:46:37,ASHER,backpan,released,2.0,1,File-Tools,"Copy files or filehandles"
CGI-modules-2.75,1996-04-05T07:58:00,LDS,backpan,released,2.75,,CGI-modules,"HTTP CGI Base Class with Handling of Multipart Forms"
GetoptLong-2.3,1996-04-05T19:11:02,JV,backpan,released,2.3,,GetoptLong,"extended processing of command line options"
Alias-2.1,1996-04-06T21:37:32,GSAR,backpan,released,2.1,,Alias,"aspirations for Alias"
Msql-RDBMS-0.10,1996-04-07T22:55:32,BJEPS,cpan,released,0.10,1,Msql-RDBMS,"Relational Database Management System for Msql"
OS2-PrfDB-0_01,1996-04-09T03:29:00,ILYAZ,cpan,released,0_01,1,OS2-PrfDB,"Perl extension for access to OS/2 setting database."
Tie-Dir-1.00,1996-04-09T08:13:46,GBARR,cpan,released,1.00,1,Tie-Dir,"class definition for reading directories via a tied hash"
MD5-1.6,1996-04-09T12:23:01,NWINT,cpan,released,1.6,,MD5,
Data-Dumper-2.00b,1996-04-09T15:54:26,GSAR,backpan,released,2.00,,Data-Dumper,"release history for Data::Dumper"
Data-Dumper-2.01b,1996-04-10T04:25:17,GSAR,backpan,released,2.01,,Data-Dumper,"release history for Data::Dumper"
Tk-b11.02,1996-04-10T22:08:38,NI-S,backpan,released,11.02,,Tk-b,"Use MakeMaker's uninstalled version of a package"
Data-Dumper-2.02b,1996-04-13T07:14:35,GSAR,backpan,released,2.02,,Data-Dumper,"release history for Data::Dumper"
DBD-Informix-0.20pl1,1996-04-17T06:45:00,ADESC,backpan,released,0.20,1,DBD-Informix,
C-Scan-0_1,1996-04-18T10:13:00,ILYAZ,backpan,released,0_1,,C-Scan,"scan C language files for easily recognized constructs."
One_Penguin-pre2,1996-04-18T15:08:53,FSG,cpan,released,0,1,One_Penguin,
OS2-ExtAttr-0_01,1996-04-22T00:59:00,ILYAZ,cpan,released,0_01,1,OS2-ExtAttr,"Perl access to extended attributes."
DBI-0.68,1996-04-22T10:22:00,TIMB,backpan,released,0.68,,DBI,
Filter-1.09,1996-04-22T14:34:43,PMQS,cpan,released,1.09,,Filter,
Proc-Forkfunc-96.042201,1996-04-22T18:49:00,MUIR,latest,released,96.042201,1,Proc-Forkfunc,"fork off a function"
File-Slurp-96.042202,1996-04-22T21:18:00,MUIR,backpan,released,96.042202,1,File-Slurp,"single call read & write file routines; read directories"
OS2-FTP-0_10,1996-04-23T00:29:00,ILYAZ,latest,released,0_10,1,OS2-FTP,
OS2-UPM-0_10,1996-04-23T00:30:00,ILYAZ,latest,released,0_10,1,OS2-UPM,
File-Flock-96.042302,1996-04-24T04:34:00,MUIR,backpan,released,96.042302,1,File-Flock,"file locking with flock"
Tie-Dir-1.02,1996-04-26T13:24:56,GBARR,latest,released,1.02,,Tie-Dir,"class definition for reading directories via a tied hash"
NNTPClient-0.26,1996-04-26T17:20:48,RVA,cpan,released,0.26,1,NNTPClient,"Perl 5 module to talk to NNTP (RFC977) server"
SNMP-1.6,1996-04-27T10:29:00,GSM,backpan,released,1.6,,SNMP,
Comm.pl-1.5beta,1996-04-29T19:16:52,ERICA,backpan,released,1.5,,Comm.pl,
weblint-1.015,1996-04-29T20:44:00,NEILB,backpan,released,1.015,,weblint,
Wais-2.109,1996-04-30T06:01:00,ULPFR,backpan,released,2.109,,Wais,"access to freeWAIS-sf libraries"
MIME-parser-1.9,1996-04-30T16:28:13,ERYQ,backpan,released,1.9,,MIME-parser,"Encode string using quoted-printable encoding"
CookBookA-19960430,1996-04-30T23:01:56,DMR,latest,released,19960430,1,CookBookA,"A data debugging tool for the XS programmer"
CookBookB-19960430,1996-04-30T23:03:30,DMR,latest,released,19960430,1,CookBookB,"A data debugging tool for the XS programmer"
ngb-101,1996-05-01T12:17:16,JAMCC,cpan,released,101,1,ngb,
perlmenu.v3.3,1996-05-01T12:29:04,SKUNZ,backpan,released,v3.3,1,perlmenu,
Search-0.2,1996-05-01T21:16:44,MIKEH,backpan,released,0.2,1,Search,"provide framework for multiple searches"
FreezeThaw-0_2,1996-05-02T14:43:00,ILYAZ,backpan,released,0_2,,FreezeThaw,"converting Perl structures to strings and back."
Ioctl-0_7,1996-05-03T12:53:29,KJALB,cpan,released,0_7,,Ioctl,
Neural-0.03,1996-05-03T23:06:38,LUKKA,backpan,released,0.03,1,Neural,"Fast, compact vectors using arrays of double."
NTodbc_v960503,1996-05-06T03:17:13,DAVEROTH,backpan,released,v960503,1,NTodbc,
MakeMaker-5.32,1996-05-06T06:58:26,ANDK,backpan,released,5.32,,MakeMaker,"methods to override UN*X behaviour in ExtUtils::MakeMaker"
Devel-embed-1_02,1996-05-06T20:53:43,DOUGM,backpan,released,1_02,1,Devel-embed,"Utilities for embedding Perl in C/C++ applications"
Opcode-1.01,1996-05-07T05:51:17,TIMB,backpan,released,1.01,,Opcode,"Disable named opcodes when compiling perl code"
ftp_eg,1996-05-07T13:59:24,GBARR,backpan,released,0,1,ftp_eg,
perlhlp,1996-05-07T19:02:47,RURBAN,cpan,released,0,1,perlhlp,
DBD-Oracle-0.30,1996-05-07T19:42:00,TIMB,backpan,released,0.30,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
DBD-Oracle-0.29,1996-05-07T19:42:00,TIMB,backpan,released,0.29,1,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
DBI-0.69,1996-05-07T19:46:00,TIMB,backpan,released,0.69,,DBI,
IO-1.07,1996-05-08T12:50:08,GBARR,backpan,released,1.07,1,IO,"supply seek based methods for I/O objects"
ARSperl-1.2.2,1996-05-08T18:04:28,JMURPHY,backpan,released,v1.2.2,1,ARSperl,
NTodbc_v960508,1996-05-08T23:23:02,DAVEROTH,backpan,released,v960508,,NTodbc,
libwww-perl-5b13,1996-05-09T22:43:16,GAAS,backpan,released,5,1,libwww-perl,"libwww-perl cookbook"
NISPlus-0.04-alpha,1996-05-12T14:10:21,RIK,cpan,released,0.04,,NISPlus,
Time-modules-96.051301,1996-05-13T05:34:00,MUIR,backpan,released,96.051301,1,Time-modules,"simply report the number of days in a month"
Compiler-a1,1996-05-13T11:39:00,MICB,backpan,released,0,1,Compiler,
NTodbc_v960513,1996-05-13T20:52:50,DAVEROTH,backpan,released,v960513,,NTodbc,
Text-Tabs+Wrap-96.051501,1996-05-16T03:32:00,MUIR,backpan,released,96.051501,,Text-Tabs+Wrap,"line wrapping to form simple paragraphs"
GD-1.00,1996-05-17T08:12:00,LDS,backpan,released,1.00,1,GD,"Interface to Gd Graphics Library"
DBD-DB2-0.55,1996-05-17T17:44:20,MHM,backpan,released,0.55,,DBD-DB2,
Set-Scalar-0_003,1996-05-17T20:00:54,JHI,backpan,released,0_003,,Set-Scalar,"the basic set operations for Perl scalar/reference data"
Net-FTP-1.18_1,1996-05-20T09:28:43,GBARR,backpan,developer,1.18_1,,Net-FTP,"TEMPORARY Socket filedescriptor class, so Net::FTP still works while IO::Socket is having a re-fit <GBARR>"
Resources-1.00b,1996-05-20T21:37:56,FRANCOC,backpan,released,1.00,1,Resources,"handling application defaults in Perl."
DBD-Oracle-0.31,1996-05-20T21:55:00,TIMB,backpan,released,0.31,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
etext0.5.3,1996-05-20T23:09:00,ILYAZ,backpan,released,v0.5.3,,etext,"Perl module for parsing of TeX."
mod_perl-0.60a1,1996-05-21T02:07:05,DOUGM,backpan,released,0.60,1,mod_perl,"Perl interface to the Apache server API"
mod_auth_dbi-0.50a1,1996-05-21T02:08:45,DOUGM,backpan,released,0.50,1,mod_auth_dbi,
etext0.5.4,1996-05-21T02:32:00,ILYAZ,backpan,released,v0.5.4,,etext,"Perl module for parsing of TeX."
Resources-1.01b,1996-05-21T04:58:41,FRANCOC,backpan,released,1.01,,Resources,"handling application defaults in Perl."
mod_perl-0.60a2,1996-05-21T20:51:37,DOUGM,backpan,released,0.60,1,mod_perl,"Perl interface to the Apache server API"
TimeDate-1.02,1996-05-22T16:03:54,GBARR,backpan,released,1.02,1,TimeDate,"miscellaneous timezone manipulations routines"
Crypt-DES-1.0,1996-05-22T19:21:34,GARY,backpan,released,1.0,1,Crypt-DES,"Perl interface to DES block cipher"
Crypt-MD5-1.6,1996-05-22T19:23:13,GARY,backpan,released,1.6,1,Crypt-MD5,"Perl interface to the RSA Data Security Inc. MD5 Message-Digest Algorithm"
Crypt-IDEA-1.0,1996-05-22T19:23:16,GARY,cpan,released,1.0,1,Crypt-IDEA,"Perl interface to IDEA block cipher"
Math-PRSG-1.0,1996-05-22T19:24:59,GARY,latest,released,1.0,1,Math-PRSG,"Perl interface to pseudo random sequence generator function."
Math-BigInteger-1.0,1996-05-22T19:25:04,GARY,cpan,released,1.0,1,Math-BigInteger,"Arbitrary length integer extension module for Perl"
Crypt-SHA-1.6,1996-05-22T19:25:07,GARY,backpan,released,1.6,1,Crypt-SHA,"Perl interface to the NIST Secure Hash Algorithm"
Math-TrulyRandom-1.0,1996-05-22T19:26:52,GARY,latest,released,1.0,1,Math-TrulyRandom,"Perl interface to a truly random number generator function"
CGI.pm-2.20,1996-05-22T22:30:00,LDS,backpan,released,2.20,,CGI,"Simple Common Gateway Interface Class"
Pconvert-1.03,1996-05-23T12:41:00,ULPFR,backpan,released,1.03,1,Pconvert,"convert file formats"
Logfile-0.112,1996-05-23T13:23:00,ULPFR,backpan,released,0.112,1,Logfile,"Perl extension for generating reports from logfiles"
Proc-Simple-1.12,1996-05-23T16:36:24,MSCHILLI,backpan,released,1.12,,Proc-Simple,"launch and control background processes"
ptkFAQ-0_03,1996-05-23T22:13:17,PVHP,latest,released,0_03,1,ptkFAQ,"Perl extension for testing Xlib extensibility."
Win32GD_v960514,1996-05-25T16:14:30,DAVEROTH,backpan,released,v960514,1,Win32GD,"Interface to Gd Graphics Library"
DateCalc-2.0,1996-05-25T19:35:42,STBEY,backpan,released,2.0,,DateCalc,
libwww-perl-5.00,1996-05-26T14:01:51,GAAS,backpan,released,5.00,1,libwww-perl,"libwww-perl cookbook"
DateCalc-2.1,1996-05-26T19:54:24,STBEY,backpan,released,2.1,,DateCalc,"Date Calculations"
Win32GD_v960527,1996-05-27T20:16:41,DAVEROTH,backpan,released,v960527,,Win32GD,"Interface to Gd Graphics Library"
hbp_403,1996-05-28T05:02:15,JDALLMAN,cpan,released,403,1,hbp,
Win32odbc_v960528,1996-05-28T18:03:46,DAVEROTH,cpan,released,v960528,1,Win32odbc,
Agent-2.91,1996-05-28T23:30:29,JDUNCAN,backpan,released,2.91,,Agent,"supplies agentspace methods for perl5."
MsqlPerl-1.05,1996-05-29T17:19:13,ANDK,backpan,released,1.05,,MsqlPerl,"interactive shell with readline for msql"
CGI.pm-2.21,1996-05-31T05:31:00,LDS,backpan,released,2.21,,CGI,"Simple Common Gateway Interface Class"
mvend103,1996-05-31T19:43:59,MIKEH,backpan,released,103,1,mvend,"WWW Catalog Ordering"
MsqlPerl-1.07,1996-06-01T21:20:56,ANDK,backpan,released,1.07,,MsqlPerl,"interactive shell with readline for msql"
futils.02Jun96,1996-06-03T03:44:59,JOCASA,backpan,released,96,1,futils.02Jun,
HyperCal_2.3,1996-06-03T13:33:40,RBOW,backpan,released,2.3,1,HyperCal,
Stream-1.00,1996-06-03T13:56:35,GARY,latest,released,1.00,1,Stream,
conference_1.4,1996-06-03T16:26:37,RBOW,backpan,released,1.4,1,conference,
Set-IntSpan-1.02,1996-06-03T19:14:14,SWMCD,backpan,released,1.02,,Set-IntSpan,"Manages sets of integers"
Class-Eroot-19960603,1996-06-03T20:17:52,DMR,latest,released,19960603,1,Class-Eroot,"struct/member template builder"
Cdk-ext-4.7.0,1996-06-03T21:27:22,GLOVER,cpan,released,v4.7.0,1,Cdk-ext,
traceFunc-0.1,1996-06-03T21:44:58,JOEHIL,latest,released,0.1,1,traceFunc,"trace function calls as they happen."
Logfile-0.113,1996-06-04T12:41:00,ULPFR,backpan,released,0.113,,Logfile,"Perl extension for generating reports from logfiles"
Net-FTP-1.18_2,1996-06-05T10:31:49,GBARR,backpan,developer,1.18_2,,Net-FTP,"FTP Client class"
DBD-Oracle-0.32,1996-06-05T14:56:00,TIMB,backpan,released,0.32,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
POP3Client-1_14,1996-06-06T14:15:08,SDOWD,backpan,released,1_14,,POP3Client,"Perl 5 module to talk to a POP3 (RFC1081) server"
Jeeves1.0,1996-06-06T20:55:02,SRIRAM,cpan,released,1.0,1,Jeeves,
MIME-parser-1.10,1996-06-07T06:29:49,ERYQ,backpan,released,1.10,1,MIME-parser,"Encode string using quoted-printable encoding"
Date-GetDate-2.00,1996-06-09T12:25:00,TOMC,backpan,released,2.00,,Date-GetDate,
Socket-1.5,1996-06-09T12:32:00,TOMC,cpan,released,1.5,,Socket,
Tk-FileDialog-1.3,1996-06-09T20:35:28,BPOWERS,latest,released,1.3,1,Tk-FileDialog,"A highly configurable File Dialog widget for Perl/Tk."
Sybase-Login-1.2,1996-06-09T20:37:20,BPOWERS,backpan,released,1.2,1,Sybase-Login,"A highly configurable Login widget for Sybperl and Perl/Tk"
Tk-WaitBox-1.2,1996-06-09T20:57:11,BPOWERS,cpan,released,1.2,1,Tk-WaitBox,"An Object Oriented Wait Dialog for Perl/Tk, of the Please Wait variety."
Resources-1.02,1996-06-09T21:49:00,FRANCOC,backpan,released,1.02,,Resources,"handling application defaults in Perl."
Set-IntSpan-1.03,1996-06-09T22:11:05,SWMCD,backpan,released,1.03,,Set-IntSpan,"Manages sets of integers"
DBD-DB2-0.57,1996-06-10T04:54:52,MHM,backpan,released,0.57,,DBD-DB2,
Win32Pipe_v960610,1996-06-10T07:33:31,DAVEROTH,cpan,released,v960610,1,Win32Pipe,
Resources-1.03,1996-06-10T21:34:09,FRANCOC,cpan,released,1.03,,Resources,"handling application defaults in Perl."
ExtUtils-embed-1.03,1996-06-11T02:48:29,DOUGM,backpan,released,1.03,1,ExtUtils-embed,"Utilities for embedding Perl in C/C++ applications"
Tie-Watch-0.92,1996-06-11T04:40:47,LUSOL,backpan,released,0.92,1,Tie-Watch,"place watchpoints on Perl variables."
Win32GD_v960611,1996-06-11T10:45:04,DAVEROTH,cpan,released,v960611,,Win32GD,"Interface to Gd Graphics Library"
DBD-DB2-0.58,1996-06-12T18:04:53,MHM,backpan,released,0.58,,DBD-DB2,
Pconvert-1.04,1996-06-13T12:48:00,ULPFR,cpan,released,1.04,,Pconvert,"convert file formats"
conference_2.0,1996-06-13T13:11:58,RBOW,backpan,released,2.0,,conference,
Time-modules-96.061301,1996-06-13T16:17:00,MUIR,backpan,released,96.061301,,Time-modules,"simply report the number of days in a month"
postcard,1996-06-13T18:05:57,RBOW,backpan,released,0,1,postcard,
Tie-Watch-0.93,1996-06-15T01:08:37,LUSOL,backpan,released,0.93,,Tie-Watch,"place watchpoints on Perl variables."
Curses-1.0,1996-06-15T02:09:09,WPS,cpan,released,1.0,,Curses,"terminal screen handling and optimization"
DBI-0.70,1996-06-16T21:08:00,TIMB,backpan,released,0.70,,DBI,
CGI-Out-96.061703,1996-06-17T18:50:00,MUIR,backpan,released,96.061703,,CGI-Out,"buffer output when building CGI programs"
CGI-Out-96.061704,1996-06-17T21:38:00,MUIR,backpan,released,96.061704,,CGI-Out,"buffer output when building CGI programs"
ExtUtils-embed-1.04,1996-06-18T19:31:12,DOUGM,backpan,released,1.04,,ExtUtils-embed,"Utilities for embedding Perl in C/C++ applications"
mod_perl-0.60a4,1996-06-18T19:41:55,DOUGM,backpan,released,0.60,1,mod_perl,"Perl interface to the Apache server API"
DBD-Oracle-0.33,1996-06-18T23:17:00,TIMB,backpan,released,0.33,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
MakeMaker-5.33,1996-06-18T23:55:24,ANDK,backpan,released,5.33,,MakeMaker,"methods used by ExtUtils::MakeMaker"
DBD-DB2-0.59,1996-06-21T14:10:35,MHM,backpan,released,0.59,,DBD-DB2,
Mmap-a2,1996-06-21T15:21:00,MICB,latest,released,0,1,Mmap,"uses mmap to map in a file as a perl variable"
DBD-Oracle-0.34,1996-06-22T00:14:00,TIMB,backpan,released,0.34,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
DBD-Oracle-0.35,1996-06-22T00:15:00,TIMB,backpan,released,0.35,,DBD-Oracle,"Perl access to Oracle databases for old oraperl scripts"
libnet-1.00,1996-06-24T07:06:38,GBARR,backpan,released,1.00,1,libnet,"OO interface to users netrc file"
IO-1.08,1996-06-24T07:36:40,GBARR,backpan,released,1.08,,IO,"supply object methods for filehandles"
SortVersions-1_0,1996-06-24T09:36:47,KJALB,cpan,released,1_0,,SortVersions,"a perl 5 module for sorting of revision-like numbers"
MIME-parser-1.11,1996-06-24T19:17:52,ERYQ,backpan,released,1.11,,MIME-parser,"class for parsed-and-decoded MIME message"
TimeDate-1.03,1996-06-25T11:43:37,GBARR,backpan,released,1.03,1,TimeDate,"miscellaneous timezone manipulations routines"
Compress-Zlib-0.4,1996-06-25T14:24:27,PMQS,cpan,released,0.4,,Compress-Zlib,"Interface to zlib compression library"
Filter-1.10,1996-06-25T15:16:36,PMQS,cpan,released,1.10,,Filter,"template for a decrypt source filter"
mod_perl-0.60a5,1996-06-25T15:49:56,DOUGM,backpan,released,0.60,1,mod_perl,"Perl interface to the Apache server API"
DateCalc-2.2,1996-06-26T14:28:54,STBEY,backpan,released,2.2,,DateCalc,"Date Calculations"
MsqlPerl-1.08,1996-06-27T01:19:00,ANDK,backpan,released,1.08,,MsqlPerl,"interactive shell with readline for msql"
Pvm-0.9,1996-06-27T10:52:04,EWALKER,latest,released,0.9,1,Pvm,"Perl extension for the Parallel Virtual Machine (PVM) Message Passing System"
DProf-19960626,1996-06-27T16:42:18,DMR,backpan,released,19960626,1,DProf,"a Perl code profiler"
Sprite-3.1,1996-06-28T04:28:48,SHGUN,cpan,released,3.1,1,Sprite,"Perl 5.0 module to manipulate text delimited databases."
Test-Harness-1.09,1996-06-28T21:50:15,ANDK,backpan,released,1.09,1,Test-Harness,"run perl standard test scripts with statistics"
Term-ReadLine-0.91,1996-07-01T03:50:00,ILYAZ,backpan,released,0.91,,Term-ReadLine,"Perl interface to various readline packages. If no real package is found, substitutes stubs instead of basic functions."
p9p0.11,1996-07-01T20:29:02,LUTHERH,cpan,released,0.11,1,p9p,"Plan 9-specific documentation for Perl"
Devel-Peek-0.7,1996-07-02T00:17:00,ILYAZ,backpan,released,0.7,,Devel-Peek,"A data debugging tool for the XS programmer"
Text-German-0.03,1996-07-02T07:40:00,ULPFR,cpan,released,0.03,,Text-German,"German grundform reduction"
TimeDate-1.04,1996-07-02T07:42:41,GBARR,backpan,released,1.04,,TimeDate,"miscellaneous timezone manipulations routines"
MsqlPerl-1.09,1996-07-02T08:40:40,ANDK,backpan,released,1.09,,MsqlPerl,"interactive shell with readline for msql"
ExtUtils-embed-1.05,1996-07-02T13:53:58,DOUGM,backpan,released,1.05,,ExtUtils-embed,"Utilities for embedding Perl in C/C++ applications"
