MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.644321,0.641949,0.050352,0.049617,0.046578,0.045443,0.158042,0.148843
0.636241,0.641833,0.050642,0.049872,0.046528,0.047393,0.154473,0.154214
0.640675,0.642285,0.051320,0.049741,0.046246,0.045951,0.152453,0.149144
0.647086,0.635657,0.050879,0.050591,0.046259,0.045275,0.149926,0.149409
0.644342,0.644809,0.050219,0.050334,0.046820,0.045208,0.152338,0.153790
0.643110,0.642409,0.050252,0.050096,0.046131,0.045321,0.153421,0.158679
0.640057,0.641286,0.052261,0.050015,0.047266,0.045406,0.154027,0.154675
0.644029,0.642322,0.050018,0.051125,0.048834,0.046923,0.149833,0.151951
0.642385,0.645566,0.049879,0.051201,0.045624,0.045744,0.153938,0.150059
0.641162,0.642176,0.050915,0.049817,0.045475,0.045863,0.148643,0.152790
0.644548,0.641548,0.049797,0.049665,0.046057,0.045658,0.152405,0.149749
0.640675,0.640461,0.050082,0.049899,0.046167,0.045684,0.149805,0.149645
0.643715,0.640283,0.050155,0.050426,0.046845,0.045560,0.150888,0.154143
0.641947,0.642489,0.049995,0.052877,0.045844,0.045256,0.150983,0.152500
0.640952,0.641034,0.049882,0.049945,0.045405,0.045120,0.152374,0.154031
0.641081,0.643438,0.050565,0.050085,0.045803,0.045499,0.151501,0.153599
0.641883,0.641421,0.050854,0.049496,0.046933,0.045646,0.153836,0.152899
0.643292,0.643921,0.049886,0.049406,0.045909,0.046027,0.153609,0.153305
0.642394,0.648068,0.049905,0.050014,0.045383,0.045610,0.154624,0.152475
0.638633,0.644380,0.050386,0.049823,0.046477,0.048696,0.153256,0.152492
0.642857,0.642479,0.050314,0.049726,0.045140,0.045512,0.152855,0.154527
0.638982,0.639781,0.050958,0.049364,0.045782,0.045412,0.152741,0.154038
0.644886,0.639958,0.049955,0.049927,0.045955,0.046217,0.149281,0.153080
0.640993,0.639707,0.050563,0.051027,0.045716,0.045790,0.152019,0.152921
0.643999,0.644558,0.052234,0.049908,0.045854,0.045105,0.153680,0.152424
0.642412,0.641669,0.050213,0.050205,0.045619,0.045489,0.153347,0.153474
0.638490,0.643679,0.049886,0.050400,0.045510,0.046484,0.156120,0.152202
