gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326225.1|read2981	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	
NZ_HG326225.1|read2984	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read2985	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3010	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3011	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326226.1|read3012	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3013	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3014	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3017	Bacteria	Firmicutes					
NZ_HG326226.1|read3018	Bacteria	Firmicutes					
NZ_HG326226.1|read3023	Bacteria	Firmicutes					
NZ_HG326226.1|read3025	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326226.1|read3038	Bacteria	Firmicutes	Clostridia				
NZ_HG326226.1|read3039	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3041	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
NZ_HG326226.1|read3046	Bacteria	Firmicutes	Bacilli	Bacillales			
NZ_HG326226.1|read3057	Bacteria	Firmicutes					
NZ_HG326226.1|read3060	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3067	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3068	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3069	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3070	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3071	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3072	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3073	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3074	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3075	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3076	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3077	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3079	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3080	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3081	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3082	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3083	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3084	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3085	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3086	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3087	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3088	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3089	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3090	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3091	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3092	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326226.1|read3094	Bacteria	Firmicutes					
NZ_HG326226.1|read3095	Bacteria						
NZ_HG326226.1|read3096	Bacteria	Firmicutes					
NZ_HG326226.1|read3098	Bacteria	Firmicutes					
NZ_HG326226.1|read3105	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
NZ_HG326226.1|read3114	Bacteria						
NZ_HG326226.1|read3115	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales			
NZ_HG326226.1|read3117	Bacteria	Firmicutes					
NZ_HG326226.1|read3119	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma bovis
NZ_HG326226.1|read3128	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3129	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3138	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	
NZ_HG326226.1|read3141	Bacteria	Firmicutes	Clostridia				
NZ_HG326226.1|read3142	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326226.1|read3143	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326226.1|read3145	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3146	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
NZ_HG326226.1|read3147	Bacteria						
NZ_HG326226.1|read3149	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum
NZ_HG326226.1|read3150	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	
NZ_HG326226.1|read3151	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	
NZ_HG326226.1|read3152	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	
NZ_HG326226.1|read3153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] clostridioforme
NZ_HG326226.1|read3154	Bacteria						
NZ_HG326226.1|read3156	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3157	Bacteria	Firmicutes					
NZ_HG326226.1|read3187	Bacteria	Firmicutes	Clostridia				
NZ_HG326226.1|read3188	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326226.1|read3193	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3194	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3195	Bacteria						
NZ_HG326226.1|read3197	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3198	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3199	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3200	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3201	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3202	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3203	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3204	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3205	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3206	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3207	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3208	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3209	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3210	Bacteria	Firmicutes					
NZ_HG326226.1|read3218	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3226	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3227	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3228	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3230	Bacteria	Firmicutes					
NZ_HG326226.1|read3233	Bacteria						
NZ_HG326226.1|read3235	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
NZ_HG326226.1|read3255	Bacteria	Firmicutes					
NZ_HG326226.1|read3256	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3257	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3258	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3259	Bacteria	Firmicutes					
NZ_HG326226.1|read3261	Bacteria	Firmicutes					
NZ_HG326226.1|read3262	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudoporcinus
NZ_HG326226.1|read3263	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudoporcinus
NZ_HG326226.1|read3264	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3265	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3266	Bacteria	Firmicutes					
NZ_HG326226.1|read3272							
NZ_HG326226.1|read3273	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
NZ_HG326226.1|read3279	Bacteria						
NZ_HG326226.1|read3280	Bacteria						
NZ_HG326226.1|read3281	Bacteria	Firmicutes					
NZ_HG326226.1|read3282	Bacteria						
NZ_HG326226.1|read3283	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326226.1|read3284	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3287	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3288	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3302	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3306	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3312	Bacteria	Firmicutes					
NZ_HG326226.1|read3313	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia hominis
NZ_HG326226.1|read3314	Bacteria	Firmicutes					
NZ_HG326226.1|read3317	Bacteria	Firmicutes					
NZ_HG326226.1|read3318	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326226.1|read3319	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3320	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3321	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3333	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	
NZ_HG326226.1|read3344	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3345	Bacteria						
NZ_HG326226.1|read3347	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
NZ_HG326226.1|read3348	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri
NZ_HG326226.1|read3350	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales			
NZ_HG326226.1|read3351	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3352	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3353	Bacteria	Firmicutes					
NZ_HG326226.1|read3354	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3355	Bacteria	Firmicutes					
NZ_HG326226.1|read3356	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3357	Bacteria	Firmicutes					
NZ_HG326226.1|read3358	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3359	Bacteria	Firmicutes					
NZ_HG326226.1|read3360	Bacteria	Firmicutes					
NZ_HG326226.1|read3361	Bacteria	Firmicutes					
NZ_HG326226.1|read3363	Bacteria	Firmicutes					
NZ_HG326226.1|read3364	Bacteria	Firmicutes					
NZ_HG326226.1|read3365	Bacteria	Firmicutes					
NZ_HG326226.1|read3379	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3380	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3381	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3382	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3383	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3384	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3385	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3386	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3387	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3388	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3389	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3390	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3391	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3393	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3394	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3395	Bacteria						
NZ_HG326226.1|read3408	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3417	Bacteria	Firmicutes					
NZ_HG326226.1|read3421	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	
NZ_HG326226.1|read3422	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	
NZ_HG326226.1|read3423	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
NZ_HG326226.1|read3424	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
NZ_HG326226.1|read3426	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3427	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
NZ_HG326226.1|read3428	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3429	Bacteria						
NZ_HG326226.1|read3430	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3431	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
NZ_HG326226.1|read3434	Bacteria						
NZ_HG326226.1|read3435	Bacteria						
NZ_HG326226.1|read3436	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
NZ_HG326226.1|read3437	Bacteria						
NZ_HG326226.1|read3438	Bacteria						
NZ_HG326226.1|read3439	Bacteria						
NZ_HG326226.1|read3440	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3442	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3443	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3446	Bacteria						
NZ_HG326226.1|read3447	Bacteria						
NZ_HG326226.1|read3448	Bacteria						
NZ_HG326226.1|read3449	Bacteria						
NZ_HG326226.1|read3452	Bacteria	Firmicutes					
NZ_HG326226.1|read3456	Bacteria	Firmicutes					
NZ_HG326226.1|read3461	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	
NZ_HG326226.1|read3463	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3467	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3468	Bacteria	Firmicutes					
NZ_HG326226.1|read3471	Bacteria	Firmicutes	Bacilli	Bacillales		Gemella	
NZ_HG326226.1|read3475	Bacteria						
NZ_HG326226.1|read3478	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326226.1|read3479	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326226.1|read3484	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3485	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326226.1|read3486	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326226.1|read3487	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3488	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera elsdenii
NZ_HG326226.1|read3489	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3490	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	
NZ_HG326226.1|read3491	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326226.1|read3492	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3493	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3495	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3496	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3497	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3498	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326226.1|read3500	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3503	Bacteria	Firmicutes					
NZ_HG326226.1|read3506	Bacteria	Firmicutes					
NZ_HG326226.1|read3507	Bacteria	Firmicutes					
NZ_HG326226.1|read3517	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3518	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
NZ_HG326226.1|read3545	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3549	Bacteria	Firmicutes					
NZ_HG326226.1|read3550	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326226.1|read3551	Bacteria	Firmicutes					
NZ_HG326226.1|read3552	Bacteria	Firmicutes					
NZ_HG326226.1|read3553	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	
NZ_HG326226.1|read3554	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3560	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3561	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3562	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3563	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3564	Bacteria	Firmicutes					
NZ_HG326226.1|read3565	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326226.1|read3566	Bacteria	Firmicutes					
NZ_HG326226.1|read3568	Bacteria						
NZ_HG326226.1|read3569	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae		
NZ_HG326226.1|read3570	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3571	Bacteria	Firmicutes					
NZ_HG326226.1|read3573	Bacteria	Firmicutes					
NZ_HG326226.1|read3574	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3575	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3577	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326226.1|read3578	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3579	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326226.1|read3581	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	
NZ_HG326226.1|read3582	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3583	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3584	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3585	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326226.1|read3586	Bacteria	Firmicutes					
NZ_HG326226.1|read3587	Bacteria	Firmicutes					
NZ_HG326226.1|read3589	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3590	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
NZ_HG326226.1|read3591	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326226.1|read3592	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326226.1|read3593	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3595	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
NZ_HG326226.1|read3597	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3599	Bacteria	Firmicutes	Tissierellia				
NZ_HG326226.1|read3602	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	
NZ_HG326226.1|read3603	Bacteria	Firmicutes					
NZ_HG326226.1|read3604	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326226.1|read3605	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	
NZ_HG326226.1|read3606	Bacteria	Firmicutes					
NZ_HG326226.1|read3607	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326226.1|read3608	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326226.1|read3609	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae		
NZ_HG326226.1|read3610	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium	Ruminiclostridium papyrosolvens
NZ_HG326226.1|read3611	Bacteria	Firmicutes					
NZ_HG326226.1|read3612	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326226.1|read3613	Bacteria	Firmicutes					
NZ_HG326226.1|read3614	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326226.1|read3624	Bacteria	Firmicutes					
NZ_HG326226.1|read3625	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
NZ_HG326226.1|read3626	Bacteria						
NZ_HG326226.1|read3628	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326226.1|read3629	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum
NZ_HG326226.1|read3630	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326226.1|read3633	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii
