gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326224.1|read163	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read164	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read165	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326224.1|read166	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratus
NZ_HG326224.1|read171	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read172	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read173	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read175	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326224.1|read176	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read177	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri
NZ_HG326224.1|read178	Bacteria						
NZ_HG326224.1|read179	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	
NZ_HG326224.1|read180	Bacteria	Firmicutes	Bacilli				
NZ_HG326224.1|read181	Bacteria	Firmicutes					
NZ_HG326224.1|read182	Bacteria	Firmicutes					
NZ_HG326224.1|read183	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read191	Bacteria	Firmicutes					
NZ_HG326224.1|read194	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326224.1|read199	Bacteria	Firmicutes					
NZ_HG326224.1|read200	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read207	Bacteria	Firmicutes					
NZ_HG326224.1|read208	Bacteria	Firmicutes					
NZ_HG326224.1|read209	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read210	Bacteria	Firmicutes					
NZ_HG326224.1|read211	Bacteria	Firmicutes					
NZ_HG326224.1|read213	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read216	Bacteria	Firmicutes					
NZ_HG326224.1|read217	Bacteria	Firmicutes					
NZ_HG326224.1|read218	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326224.1|read219	Bacteria	Firmicutes					
NZ_HG326224.1|read220	Bacteria	Firmicutes					
NZ_HG326224.1|read221	Bacteria	Firmicutes					
NZ_HG326224.1|read222	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
