Workers	Time	Num_threads
2	18.0024070739746	18
2	18.081041097641	19
2	17.1215629577637	20
2	17.2695870399475	21
2	17.8086218833923	22
2	16.3410818576813	23
2	16.5644240379333	24
2	15.0069391727448	25
2	16.7559258937836	26
2	15.5167989730835	27
2	16.9400010108948	28
2	14.7817399501801	29
2	16.9779410362244	30
2	15.369637966156	31
2	16.7922651767731	32
2	14.6710481643677	33
2	16.8754990100861	34
2	14.9868450164795	35
2	18.268532037735	36
2	15.2695050239563	37
2	18.9134318828583	38
2	14.9031720161438	39
2	19.1292519569397	40
2	14.6306059360504	41
2	19.3083100318909	42
2	14.2982590198517	43
2	19.0141589641571	44
2	14.0863728523254	45
2	17.7826371192932	46
2	13.9758751392365	47
2	17.3393559455872	48
2	13.8922550678253	49
2	16.3316059112549	50
2	13.9446339607239	51
2	16.0931890010834	52
2	13.9447989463806	53
2	15.2305450439453	54
2	14.5483210086823	55
2	14.5556080341339	56
2	14.2179391384125	57
2	14.2554559707642	58
2	14.4567139148712	59
2	14.0104808807373	60
2	14.605810880661	61
2	14.0918900966644	62
2	14.7894701957703	63
2	14.0321900844574	64
2	15.2455389499664	65
2	14.1060178279877	66
2	14.8919541835785	67
2	14.1949708461761	68
2	15.268835067749	69
2	14.5712518692017	70
2	15.3597631454468	71
2	14.7322130203247	72
3	62.345076084137	1
3	40.6255161762238	2
3	31.1862878799438	3
3	23.2898199558258	4
3	23.2055490016937	5
3	18.2622628211975	6
3	20.033075094223	7
3	18.015613079071	8
3	17.8068919181824	9
3	16.0779531002045	10
3	16.3844010829926	11
3	14.6587579250336	12
3	15.6081562042236	13
3	14.2159731388092	14
3	14.7178118228912	15
3	13.4174630641937	16
3	14.3923890590668	17
3	13.5239720344543	18
3	14.4645051956177	19
3	13.690132856369	20
3	14.2212378978729	21
3	13.8738479614258	22
3	13.4888830184937	23
3	14.0776710510254	24
3	12.9167461395264	25
3	14.1216719150543	26
3	12.4161620140076	27
3	13.8035991191864	28
3	11.8208320140839	29
3	13.8983750343323	30
3	11.5021460056305	31
3	13.5561192035675	32
3	11.0138599872589	33
3	12.7875289916992	34
3	10.9573881626129	35
3	13.2896761894226	36
3	10.89976811409	37
3	12.949126958847	38
3	10.8686668872833	39
3	12.8840730190277	40
3	10.9462420940399	41
3	12.9723460674286	42
3	11.0183088779449	43
3	12.762008190155	44
3	11.0988509654999	45
3	12.5894131660461	46
3	11.3491599559784	47
3	12.5529000759125	48
3	11.5948629379272	49
3	12.2708928585052	50
3	11.6832609176636	51
3	12.3042368888855	52
3	11.895015001297	53
3	12.3338210582733	54
3	12.154354095459	55
3	12.3552260398865	56
3	12.3716568946838	57
3	12.4306039810181	58
3	12.5356559753418	59
3	12.3111839294434	60
3	12.6822412014008	61
3	12.507542848587	62
3	12.9662618637085	63
3	12.6084909439087	64
3	13.2137200832367	65
3	12.6414248943329	66
3	13.1179549694061	67
3	12.8471570014954	68
3	13.3223371505737	69
3	12.9400670528412	70
3	13.3667631149292	71
3	13.1139740943909	72
4	48.2511858940125	1
4	30.3849449157715	2
4	24.1707630157471	3
4	17.7666900157928	4
4	18.5716648101807	5
4	14.4886691570282	6
4	15.6766419410706	7
4	13.61088514328	8
4	13.9333500862122	9
4	12.7698910236359	10
4	13.0079250335693	11
4	12.1226208209991	12
4	12.7445120811462	13
4	12.0319721698761	14
4	12.3632431030273	15
4	12.0507459640503	16
4	12.9655609130859	17
4	12.0980911254883	18
4	12.4842000007629	19
4	12.1948161125183	20
4	12.1959519386292	21
4	11.8892328739166	22
4	11.1262028217316	23
4	11.324657201767	24
4	10.215010881424	25
4	10.897127866745	26
4	9.96681094169617	27
4	10.7259199619293	28
4	9.8113489151001	29
4	10.6891751289368	30
4	9.76593589782715	31
4	10.7892098426819	32
4	9.6395628452301	33
4	10.810170173645	34
4	9.72431492805481	35
4	10.9407269954681	36
4	9.86926102638245	37
4	11.1001498699188	38
4	9.91460990905762	39
4	11.2036728858948	40
4	10.1203629970551	41
4	11.3519811630249	42
4	10.2648270130157	43
4	11.3594570159912	44
4	10.3641018867493	45
4	11.2744679450989	46
4	10.6734881401062	47
4	11.4489510059357	48
4	10.9222719669342	49
4	11.3636200428009	50
4	11.0633509159088	51
4	11.4310970306396	52
4	11.2026278972626	53
4	11.5247049331665	54
4	11.3853740692139	55
4	11.6243369579315	56
4	11.5834469795227	57
4	11.6950018405914	58
4	11.7588059902191	59
4	11.711884021759	60
4	11.972718000412	61
4	11.8705320358276	62
4	12.1917779445648	63
4	11.9539880752563	64
4	12.458212852478	65
4	12.1557829380035	66
4	12.4003949165344	67
4	12.3184361457825	68
4	12.6014769077301	69
4	12.3760199546814	70
4	12.6316719055176	71
4	12.6006669998169	72
5	39.5037040710449	1
5	26.403872013092	2
5	19.7861120700836	3
5	14.5064840316772	4
5	14.9406139850616	5
5	11.787437915802	6
5	12.8644227981567	7
5	11.5227928161621	8
5	11.9551608562469	9
5	11.2265009880066	10
5	11.5484919548035	11
5	10.8147711753845	12
5	11.5488600730896	13
5	10.9020230770111	14
5	11.263445854187	15
5	10.6360759735107	16
5	11.2962520122528	17
5	10.2521259784698	18
5	10.6577858924866	19
5	10.1133930683136	20
5	10.0363490581512	21
5	9.85224509239197	22
5	9.56934094429016	23
5	9.78080296516418	24
5	9.2320499420166	25
5	9.71185398101807	26
5	9.18122220039368	27
5	9.61491990089417	28
5	9.09624910354614	29
5	9.72089505195618	30
5	9.15951991081238	31
5	9.91048979759216	32
5	9.21438002586365	33
5	9.96295213699341	34
5	9.32559609413147	35
5	10.1562740802765	36
5	9.45932483673096	37
5	10.3392579555511	38
5	9.60475397109985	39
5	10.4804661273956	40
5	9.76122498512268	41
5	10.54243683815	42
5	9.92444396018982	43
5	10.7161068916321	44
5	10.1203000545502	45
5	10.7480401992798	46
5	10.3497788906097	47
5	10.8499150276184	48
5	10.4996819496155	49
5	10.870041847229	50
5	10.699777841568	51
5	10.9924921989441	52
5	10.8493559360504	53
5	11.0715720653534	54
5	11.0871431827545	55
5	11.2378549575806	56
5	11.2967669963837	57
5	11.3155601024628	58
5	11.4634900093079	59
5	11.4418261051178	60
5	11.6116440296173	61
5	11.6068339347839	62
5	11.7915351390839	63
5	11.7168850898743	64
5	12.0712261199951	65
5	11.9101400375366	66
5	12.0718381404877	67
5	12.0404841899872	68
5	12.2265858650208	69
5	12.1850378513336	70
