name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm.b1	CV.samp	CV.pool	CV.ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M142T702	M142.0662T11.69	142.066208563331	142.06566826022	142.066629979783	11.6923175287988	11.6892167010558	11.69677175945	31	31	0		[3M+Na+K]2+ 74.0597	13	101.291842264691	-16.610527502769	0	1	0.404152270392369	0.0200238924449726	1	55821.7518030207	22560.4877284702	0.404152270392369	56578.1646121523	1132.91508292769	0.0200238924449726	0.049545416200514
M142T2642	M142.0772T44.03	142.077198908622	142.076494407591	142.078343140642	44.0324788907257	43.6781782944166	44.4782598261021	34	32	0			33	51.275429455834	-6.45900041880723	1.92627235051646e-07	0	1.02472887221196	0.144525360279365	1	30486.7860446506	31240.689880902	1.02472887221196	30486.7860446506	4406.11373686304	0.144525360279365	0.141037658056219
M142T2729	M142.0776T45.49	142.077554945998	142.077029840698	142.078236406008	45.4850265697272	45.4778141943923	45.4907081624379	19	19	0		[M+2Na]2+ 238.169	34	12.3121609432466	-3.67248499102838	0.000795468846597647	0	1.70319190529285	0.146892430151823	1	5521.05828518338	9403.42177997432	1.70319190529285	5521.05828518338	811.001668520442	0.146892430151823	0.0862453782778907
M142T2834	M142.0777T47.24	142.077670132487	142.077142260942	142.078225642049	47.2360896971637	47.230370921023	47.2449219275806	17	17	0		[M+2Na]2+ 238.17	54	10.9778857261302	-6.63431636844398	1.11413857917242e-07	0	0.944533731571737	0.152109786936686	1	4681.81297810872	4422.13028273402	0.944533731571737	4681.81297810872	712.149574577531	0.152109786936686	0.161042196644021
M142T527	M142.0679T8.79	142.067913237924	142.067559475681	142.072063633137	8.78545161551207	8.78288480818373	8.7880807121941	13	10	3		[M+K+NH3]+ 86.0848	29	23.9989329696205	-9.55930541583236	2.18962625808672e-11	1	0.644015192972831	0.0416509279604415	1	52073.6648681221	33536.2313288462	0.644015192972831	53514.1068756603	2228.91221034549	0.0416509279604415	0.0646738282185194
M143T1419	M143.0526T23.65	143.052630661654	143.051819863496	143.054181697498	23.6529525375594	23.6445937487754	23.6587757306726	36	36	0			26	647.420677556363	-21.4130821942766	0	1	0.298166993904571	0.0128652255524412	1	309620.590564656	92318.6407396214	0.298166993904571	352600.320685985	4536.28265548829	0.0128652255524412	0.043147718612204
M143T1442	M143.0523T24.03	143.052267625983	143.051850055088	143.052816243497	24.0340078616909	24.0278524974902	24.0392594390709	31	31	0			25	164.616636032306	-14.6805485827355	0	1	0.432384952247164	0.0313981289128279	1	69846.9510964575	30200.7706144518	0.432384952247164	79255.4415072461	2488.4725694876	0.0313981289128279	0.0726161462133395
M143T1665	M143.0609T27.75	143.060870007847	143.060016272766	143.061405975255	27.7453386506031	27.7366431337689	27.7588743309226	26	26	0			121	34.9129150729935	-9.74923771838772	1.62043711782189e-11	1	0.709179356410878	0.0416306393261213	1	13713.8072637372	9725.54900923995	0.709179356410878	15851.5673611152	659.910883564306	0.0416306393261213	0.0587025538036132
M143T1007	M143.0501T16.78	143.050128437633	143.034136784581	143.050675978247	16.7775955688076	16.7745312056309	17.016066197967	29	29	0		[M+H+HCOOH]+ 96.0387	15	150.874872858907	-20.1306006996729	0	1	0.322745135630822	0.0161818081283735	1	63239.4553423431	20410.2265916838	0.322745135630822	66498.1804777855	1076.06079737748	0.0161818081283735	0.0501380387863796
M143T788	M143.0847T13.13	143.084693701649	143.083699491295	143.086457936494	13.1334458646567	13.1293764207747	13.1355352204236	14	14	0		[M+2H-CO]2+ 312.159	245	41.9340757375357	-9.82780945734569	1.32263089369644e-11	1	0.698626562253949	0.0235649212512841	1	19463.2102283941	13597.5156522889	0.698626562253949	21300.3950479202	501.942131925481	0.0235649212512841	0.033730353989487
