type	losses_or_gains	delta_mass	annotation_in_pos_mode	annotation_in_neg_mode
fragment	-(NC3H9)	-59.07349929	[(M+H)-N(CH3)3]+	[(M-H)-N(CH3)3]-
fragment	-(NaCl)	-57.95862196	[(M+H-NaCl]+	[(M-H-NaCl]-
fragment	-(NH2CO.)	-44.01309008		
fragment	-(NH3)-(CO2)-(H2O)	-79.02694302	[(M+H)-(NH3)-(CO2)-(H2O)]+	[(M-H)-(NH3)-(CO2)-(H2O)]-
fragment	-(NH3)-(CO2)	-61.01637834	[(M+H)-NH3-CO2]+	[(M-H)-NH3-CO2]-
fragment	-(NH3)-(CONH)	-60.03236275	[(M+H)-NH3-CONH]+	[(M-H)-NH3-CONH]-
fragment	-(NH3)-(HCOOH)	-63.0320284	[(M+H)-(NH3)-(HCOOH)]+	[(M-H)-(NH3)-(HCOOH)]-
fragment	-(NH3)	-17.0265491	[(M+H)-NH3]+	[(M-H)-NH3]-
fragment	-(NH3CO)	-45.02146372	[(M+H)-NH3CO]+	[(M-H)-NH3CO]-
fragment	-(NHCO)	-43.00581365	[(M+H)-NHCO]+	[(M-H)-NHCO]-
fragment	-(OH.)	-17.00219105		
fragment	-(PO3)	-78.95850549		[(M-H)-PO3]-
fragment	-(SO2)	-63.96190024	[(M+H)-SO2]+	[(M-H)-SO2]-
fragment	-(SO3)	-79.95681486		[(M-H)-SO3]-
fragment	-2(H2O)-(CO2)	-80.01095861	[(M+H)-2(H2O)-(CO2)]+	[(M-H)-2(H2O)-(CO2)]-
fragment	-2(H2O)-(HCOOH)-(NH3)	-99.05315777	[(M+H)-2(H2O)-(HCOOH)-(NH3)]+	[(M-H)-2(H2O)-(HCOOH)-(NH3)]-
fragment	-2(H2O)-(HCOOH)	-82.02660867	[(M+H)-2(H2O)-(HCOOH)]+	[(M-H)-2(H2O)-(HCOOH)]-
fragment	-2(H2O)	-36.02112937	[(M+H)-2(H2O)]+	[(M-H)-2(H2O)]-
fragment	-2(HCOOH)	-92.01095861	[(M+H)-2(HCOOH)]+	[(M-H)-2(HCOOH)]-
fragment	-2(NH3)-(CO)-(CO2)	-106.0378421	[(M+H)-2(NH3)-(CO)-(CO2)]+	[(M-H)-2(NH3)-(CO)-(CO2)]-
fragment	-2(NH3)-(CO)	-62.04801281	[(M+H)-2(NH3)-(CO)]+	[(M-H)-2(NH3)-(CO)]-
fragment	-2(NH3)	-34.05309819	[(M+H)-2(NH3)]+	[(M-H)-2(NH3)]-
fragment	-3(H2O)	-54.03169405	[(M+H)-3(H2O)]+	[(M-H)-3(H2O)]-
