use Unicode::Collate::CJK::JISX0208
overrideCJK Unicode::Collate::CJK::JISX0208::weightJISX0208
#katakana
FF80 FF9E FF70;<30C0 30FC>
3060 30FC;<3060><30A1>---8
305F 3099 30FC;<3060 30FC>
30CA 30FC;<30CA><30A1>---8
FF85 30FC;<30CA 30FC>
FF85 FF70;<30CA 30FC>
306A 30FC;<306A><30A1>---8
30CF 30FC;<30CF><30A1>---8
FF8A 30FC;<30CF 30FC>
FF8A FF70;<30CF 30FC>
306F 30FC;<306F><30A1>---8
30D0 30FC;<30D0><30A1>---8
30CF 3099 30FC;<30D0 30FC>
FF8A FF9E 30FC;<30D0 30FC>
FF8A FF9E FF70;<30D0 30FC>
3070 30FC;<3070><30A1>---8
306F 3099 30FC;<3070 30FC>
30D1 30FC;<30D1><30A1>---8
30CF 309A 30FC;<30D1 30FC>
FF8A FF9F 30FC;<30D1 30FC>
FF8A FF9F FF70;<30D1 30FC>
3071 30FC;<3071><30A1>---8
306F 309A 30FC;<3071 30FC>
30DE 30FC;<30DE><30A1>---8
FF8F 30FC;<30DE 30FC>
FF8F FF70;<30DE 30FC>
307E 30FC;<307E><30A1>---8
30E3 30FC;<30E3><30A1>---8
FF6C 30FC;<30E3 30FC>
FF6C FF70;<30E3 30FC>
3083 30FC;<3083><30A1>---8
30E4 30FC;<30E4><30A1>---8
FF94 30FC;<30E4 30FC>
FF94 FF70;<30E4 30FC>
3084 30FC;<3084><30A1>---8
30E9 30FC;<30E9><30A1>---8
FF97 30FC;<30E9 30FC>
FF97 FF70;<30E9 30FC>
3089 30FC;<3089><30A1>---8
30EE 30FC;<30EE><30A1>---8
308E 30FC;<308E><30A1>---8
30EF 30FC;<30EF><30A1>---8
FF9C 30FC;<30EF 30FC>
FF9C FF70;<30EF 30FC>
308F 30FC;<308F><30A1>---8
30F7 30FC;<30F7><30A1>---8
30EF 3099 30FC;<30F7 30FC>
FF9C FF9E 30FC;<30F7 30FC>
FF9C FF9E FF70;<30F7 30FC>
30F5 30FC;<30F5><30A1>---8
3095 30FC;<3095><30A1>---8
31F5 30FC;<31F5><30A1>---8
31FB 30FC;<31FB><30A1>---8
30A3 30FC;<30A3><30A3>---8
FF68 30FC;<30A3 30FC>
FF68 FF70;<30A3 30FC>
3043 30FC;<3043><30A3>---8
30A4 30FC;<30A4><30A3>---8
FF72 30FC;<30A4 30FC>
FF72 FF70;<30A4 30FC>
3044 30FC;<3044><30A3>---8
30AD 30FC;<30AD><30A3>---8
FF77 30FC;<30AD 30FC>
FF77 FF70;<30AD 30FC>
304D 30FC;<304D><30A3>---8
30AE 30FC;<30AE><30A3>---8
30AD 3099 30FC;<30AE 30FC>
FF77 FF9E 30FC;<30AE 30FC>
FF77 FF9E FF70;<30AE 30FC>
304E 30FC;<304E><30A3>---8
304D 3099 30FC;<304E 30FC>
30B7 30FC;<30B7><30A3>---8
FF7C 30FC;<30B7 30FC>
FF7C FF70;<30B7 30FC>
3057 30FC;<3057><30A3>---8
30B8 30FC;<30B8><30A3>---8
30B7 3099 30FC;<30B8 30FC>
FF7C FF9E 30FC;<30B8 30FC>
FF7C FF9E FF70;<30B8 30FC>
3058 30FC;<3058><30A3>---8
3057 3099 30FC;<3058 30FC>
30C1 30FC;<30C1><30A3>---8
FF81 30FC;<30C1 30FC>
FF81 FF70;<30C1 30FC>
3061 30FC;<3061><30A3>---8
30C2 30FC;<30C2><30A3>---8
30C1 3099 30FC;<30C2 30FC>
FF81 FF9E 30FC;<30C2 30FC>
FF81 FF9E FF70;<30C2 30FC>
3062 30FC;<3062><30A3>---8
3061 3099 30FC;<3062 30FC>
30CB 30FC;<30CB><30A3>---8
FF86 30FC;<30CB 30FC>
FF86 FF70;<30CB 30FC>
306B 30FC;<306B><30A3>---8
30D2 30FC;<30D2><30A3>---8
FF8B 30FC;<30D2 30FC>
FF8B FF70;<30D2 30FC>
3072 30FC;<3072><30A3>---8
30D3 30FC;<30D3><30A3>---8
30D2 3099 30FC;<30D3 30FC>
FF8B FF9E 30FC;<30D3 30FC>
FF8B FF9E FF70;<30D3 30FC>
3073 30FC;<3073><30A3>---8
3072 3099 30FC;<3073 30FC>
30D4 30FC;<30D4><30A3>---8
30D2 309A 30FC;<30D4 30FC>
FF8B FF9F 30FC;<30D4 30FC>
FF8B FF9F FF70;<30D4 30FC>
3074 30FC;<3074><30A3>---8
3072 309A 30FC;<3074 30FC>
30DF 30FC;<30DF><30A3>---8
FF90 30FC;<30DF 30FC>
FF90 FF70;<30DF 30FC>
307F 30FC;<307F><30A3>---8
30EA 30FC;<30EA><30A3>---8
FF98 30FC;<30EA 30FC>
FF98 FF70;<30EA 30FC>
308A 30FC;<308A><30A3>---8
30F0 30FC;<30F0><30A3>---8
3090 30FC;<3090><30A3>---8
30F8 30FC;<30F8><30A3>---8
30F0 3099 30FC;<30F8 30FC>
31F1 30FC;<31F1><30A3>---8
31F6 30FC;<31F6><30A3>---8
31FC 30FC;<31FC><30A3>---8
30A5 30FC;<30A5><30A5>---8
FF69 30FC;<30A5 30FC>
FF69 FF70;<30A5 30FC>
3045 30FC;<3045><30A5>---8
30A6 30FC;<30A6><30A5>---8
FF73 30FC;<30A6 30FC>
FF73 FF70;<30A6 30FC>
3046 30FC;<3046><30A5>---8
30AF 30FC;<30AF><30A5>---8
FF78 30FC;<30AF 30FC>
FF78 FF70;<30AF 30FC>
304F 30FC;<304F><30A5>---8
30B0 30FC;<30B0><30A5>---8
30AF 3099 30FC;<30B0 30FC>
FF78 FF9E 30FC;<30B0 30FC>
FF78 FF9E FF70;<30B0 30FC>
3050 30FC;<3050><30A5>---8
304F 3099 30FC;<3050 30FC>
30B9 30FC;<30B9><30A5>---8
FF7D 30FC;<30B9 30FC>
FF7D FF70;<30B9 30FC>
3059 30FC;<3059><30A5>---8
30BA 30FC;<30BA><30A5>---8
30B9 3099 30FC;<30BA 30FC>
FF7D FF9E 30FC;<30BA 30FC>
FF7D FF9E FF70;<30BA 30FC>
305A 30FC;<305A><30A5>---8
3059 3099 30FC;<305A 30FC>
30C3 30FC;<30C3><30A5>---8
FF6F 30FC;<30C3 30FC>
FF6F FF70;<30C3 30FC>
3063 30FC;<3063><30A5>---8
30C4 30FC;<30C4><30A5>---8
FF82 30FC;<30C4 30FC>
FF82 FF70;<30C4 30FC>
3064 30FC;<3064><30A5>---8
30C5 30FC;<30C5><30A5>---8
30C4 3099 30FC;<30C5 30FC>
FF82 FF9E 30FC;<30C5 30FC>
FF82 FF9E FF70;<30C5 30FC>
3065 30FC;<3065><30A5>---8
3064 3099 30FC;<3065 30FC>
30CC 30FC;<30CC><30A5>---8
FF87 30FC;<30CC 30FC>
FF87 FF70;<30CC 30FC>
306C 30FC;<306C><30A5>---8
30D5 30FC;<30D5><30A5>---8
FF8C 30FC;<30D5 30FC>
FF8C FF70;<30D5 30FC>
3075 30FC;<3075><30A5>---8
30D6 30FC;<30D6><30A5>---8
30D5 3099 30FC;<30D6 30FC>
FF8C FF9E 30FC;<30D6 30FC>
FF8C FF9E FF70;<30D6 30FC>
3076 30FC;<3076><30A5>---8
3075 3099 30FC;<3076 30FC>
30D7 30FC;<30D7><30A5>---8
30D5 309A 30FC;<30D7 30FC>
FF8C FF9F 30FC;<30D7 30FC>
FF8C FF9F FF70;<30D7 30FC>
3077 30FC;<3077><30A5>---8
3075 309A 30FC;<3077 30FC>
30E0 30FC;<30E0><30A5>---8
FF91 30FC;<30E0 30FC>
FF91 FF70;<30E0 30FC>
3080 30FC;<3080><30A5>---8
30E5 30FC;<30E5><30A5>---8
FF6D 30FC;<30E5 30FC>
FF6D FF70;<30E5 30FC>
3085 30FC;<3085><30A5>---8
30E6 30FC;<30E6><30A5>---8
FF95 30FC;<30E6 30FC>
FF95 FF70;<30E6 30FC>
3086 30FC;<3086><30A5>---8
30EB 30FC;<30EB><30A5>---8
FF99 30FC;<30EB 30FC>
FF99 FF70;<30EB 30FC>
308B 30FC;<308B><30A5>---8
30F4 30FC;<30F4><30A5>---8
30A6 3099 30FC;<30F4 30FC>
FF73 FF9E 30FC;<30F4 30FC>
FF73 FF9E FF70;<30F4 30FC>
3094 30FC;<3094><30A5>---8
3046 3099 30FC;<3094 30FC>
31F0 30FC;<31F0><30A5>---8
31F2 30FC;<31F2><30A5>---8
31F4 30FC;<31F4><30A5>---8
31F7 30FC;<31F7><30A5>---8
31FA 30FC;<31FA><30A5>---8
31FD 30FC;<31FD><30A5>---8
30A7 30FC;<30A7><30A7>---8
FF6A 30FC;<30A7 30FC>
FF6A FF70;<30A7 30FC>
3047 30FC;<3047><30A7>---8
30A8 30FC;<30A8><30A7>---8
FF74 30FC;<30A8 30FC>
FF74 FF70;<30A8 30FC>
3048 30FC;<3048><30A7>---8
30B1 30FC;<30B1><30A7>---8
FF79 30FC;<30B1 30FC>
FF79 FF70;<30B1 30FC>
3051 30FC;<3051><30A7>---8
30B2 30FC;<30B2><30A7>---8
30B1 3099 30FC;<30B2 30FC>
FF79 FF9E 30FC;<30B2 30FC>
FF79 FF9E FF70;<30B2 30FC>
3052 30FC;<3052><30A7>---8
3051 3099 30FC;<3052 30FC>
30BB 30FC;<30BB><30A7>---8
FF7E 30FC;<30BB 30FC>
FF7E FF70;<30BB 30FC>
305B 30FC;<305B><30A7>---8
30BC 30FC;<30BC><30A7>---8
30BB 3099 30FC;<30BC 30FC>
FF7E FF9E 30FC;<30BC 30FC>
FF7E FF9E FF70;<30BC 30FC>
305C 30FC;<305C><30A7>---8
305B 3099 30FC;<305C 30FC>
30C6 30FC;<30C6><30A7>---8
FF83 30FC;<30C6 30FC>
FF83 FF70;<30C6 30FC>
3066 30FC;<3066><30A7>---8
30C7 30FC;<30C7><30A7>---8
30C6 3099 30FC;<30C7 30FC>
FF83 FF9E 30FC;<30C7 30FC>
FF83 FF9E FF70;<30C7 30FC>
3067 30FC;<3067><30A7>---8
3066 3099 30FC;<3067 30FC>
30CD 30FC;<30CD><30A7>---8
FF88 30FC;<30CD 30FC>
FF88 FF70;<30CD 30FC>
306D 30FC;<306D><30A7>---8
30D8 30FC;<30D8><30A7>---8
FF8D 30FC;<30D8 30FC>
FF8D FF70;<30D8 30FC>
3078 30FC;<3078><30A7>---8
30D9 30FC;<30D9><30A7>---8
30D8 3099 30FC;<30D9 30FC>
FF8D FF9E 30FC;<30D9 30FC>
FF8D FF9E FF70;<30D9 30FC>
3079 30FC;<3079><30A7>---8
3078 3099 30FC;<3079 30FC>
30DA 30FC;<30DA><30A7>---8
30D8 309A 30FC;<30DA 30FC>
