"distribution","rating","review_count"
"App-PNGCrush","1.0","1"
"App-Pod2CpanHtml","5.0","1"
"App-PodPreview","4.0","1"
"App-Rad","5.0","1"
"App-Staticperl","5.0","1"
"App-SVN-Bisect","5.0","1"
"App-Todo","4.0","2"
"App-Ylastic-CostAgent","5.0","1"
"AppConfig","5.0","1"
"AppConfig-Std","3.0","1"
"Archive-Extract","4.0","2"
"Archive-Rar","2.0","1"
"Archive-StringToZip","3.0","2"
"Archive-Tar","3.7","6"
"Archive-TarGzip","3.0","1"
"Archive-Zip","3.9","7"
"Argv","4.5","2"
"Array-Diff","3.7","3"
"Array-Heap","5.0","1"
"Array-Heap2","5.0","1"
"Array-IntSpan","4.0","1"
"Array-Iterator","3.5","2"
"Array-OrdHash","5.0","1"
"Array-PAT","1.0","4"
"Array-Reform","2.0","1"
"Asterisk-config","4.5","2"
"Asterisk-CoroManager","5.0","1"
"Astro-MoonPhase","5.0","1"
"Astro-satpass","5.0","1"
"Async","1.5","2"
"Attempt","4.3","3"
"Attribute-Handlers","4.0","1"
"Attribute-Persistent","1.0","1"
"Attribute-Protected","4.0","1"
"Attribute-Tie","5.0","1"
"Attribute-Types","2.5","2"
"AUBBC","5.0","1"
"Audio","2.3","3"
"Audio-LADSPA","5.0","1"
"Audio-Mad","5.0","1"
"Audio-MPD","5.0","1"
"Audio-MPEG","1.0","1"
"Audio-SndFile","5.0","1"
"Audio-Wav","4.0","1"
"AudioFile-Identify-MusicBrainz","2.0","1"
"Auth-Sticky","1.0","1"
"Auth-Yubikey_Decrypter","4.0","1"
"Authen-Captcha","3.5","2"
"Authen-NTLM-HTTP","1.0","1"
"Authen-PAM","3.0","1"
"Authen-Passphrase","4.5","2"
"Authen-Simple","5.0","1"
"Authen-Simple-SSH","3.0","2"
"autobox","5.0","2"
"autobox-Core","5.0","1"
"Autodia","4.0","1"
"autodie","4.8","4"
"autovivification","5.0","1"
"AxKit-1.6.2","5.0","1"
"AZ-Splitter","2.0","1"
"BackPAN-Index","5.0","1"
"bareword-filehandles","3.7","3"
"base","3.7","3"
"base-ball","1.0","2"
"Base-Class","1.0","1"
"Baseball-Simulation","1.0","1"
"Bash-Completion","3.0","1"
"Bash-Completion-Plugins-cpanm","4.5","2"
"Benchmark-Stopwatch","4.0","2"
"BerkeleyDB","4.6","5"
"Best","5.0","1"
"bignum","4.0","1"
"Bing-Search","4.0","1"
"Bio-LITE-Taxonomy","3.0","1"
"Bio-MAGETAB","5.0","1"
"Bio-NEXUS","5.0","1"
"Bio-Phylo","5.0","4"
"Bio-Trace-ABIF","5.0","1"
"Bio-Util-DNA","5.0","1"
"bioperl","3.8","4"
"Bit-Vector","4.7","3"
"BitTorrent","1.0","3"
"Block-NamedVar","4.0","1"
"Bloom-Filter","5.0","1"
"Bone-Easy","5.0","1"
"Book-Chinese-MasterPerlToday","3.7","3"
"boolean","5.0","1"
"Boost-Graph","3.0","1"
"bootylicious","5.0","1"
"Bot-BasicBot","5.0","1"
"Bot-BasicBot-Pluggable","5.0","1"
"Bot-BasicBot-Pluggable-Module-JIRA","4.0","1"
"Bot-CPAN","5.0","2"
"Brackup","3.3","3"
"Bryar","4.7","3"
"BSD-arc4random","5.0","1"
"BSD-Resource","5.0","1"
"Bundle-Catalyst-Everything","1.0","1"
"Bundle-Dpchrist","1.0","2"
"Bundle-Everything","1.0","3"
"Bundle-Expect","1.0","1"
"Bundle-Math-Geometry","4.0","1"
"Bundle-Maypole","1.0","1"
"Bundle-Modules","1.0","1"
"Bundle-Ovid","3.0","1"
"Bundle-PerlFormance","5.0","1"
"Bundle-STRO","1.0","1"
"Bundle-Tk","3.0","2"
"Bundle-W3C-Validator","3.7","3"
"Business-BR-Ids","4.0","1"
"Business-CreditCard","4.7","3"
"Business-IBAN","3.0","2"
"Business-ISBN","5.0","2"
"Business-OnlinePayment","4.0","1"
"Business-OnlinePayment-CyberSource","3.3","3"
"Business-OnlinePayment-Protx","5.0","1"
"Business-PayPal-API","4.0","1"
"Business-PayPal-IPN","4.0","2"
"Business-PayPal-NVP","5.0","1"
"Business-Shipping","4.8","6"
"Business-Tax-VAT-Validation","3.7","3"
"bw-db","2.0","4"
"C-Analyzer","5.0","1"
"C-DynaLib","4.0","2"
"C-Include","3.0","1"
"Cache-Cache","5.0","4"
"Cache-FastMmap","5.0","4"
"Cache-FastMmap-WithWin32","5.0","1"
"Cache-Memcached","4.0","6"
"Cache-Memcached-Fast","5.0","1"
"Cache-Memcached-Managed","5.0","1"
"Cache-Simple-TimedExpiry","3.0","1"
"CAD-Drawing","2.7","3"
"Cairo","4.5","2"
"Callback","1.0","1"
"CAM-PDF","3.7","3"
"cant","1.0","1"
"Captcha-reCAPTCHA","5.0","4"
"Capture-Tiny","4.5","2"
"Capture-Tiny-Extended","5.0","1"
"CaptureLog","1.0","1"
"Carp-Always","4.7","6"
"Carp-Assert","5.0","2"
"Carp-Assert-More","4.0","1"
"Carp-Clan","5.0","1"
"Carp-Indeed","3.0","2"
"Carp-Trace","3.5","2"
"CAS-Apache","1.0","1"
"Catalyst","1.0","1"
"Catalyst-ActionRole-NotCacheableHeaders","5.0","1"
"Catalyst-Component-ACCEPT_CONTEXT","5.0","1"
"Catalyst-Controller-Atompub","5.0","1"
"Catalyst-Controller-BindLex","3.0","2"
"Catalyst-Engine-Embeddable","4.0","1"
"Catalyst-Engine-HTTP-POE","1.0","1"
"Catalyst-Enzyme","5.0","1"
"Catalyst-Example-InstantCRUD","3.0","1"
"Catalyst-Log-Log4perl","5.0","1"
"Catalyst-Manual","4.7","3"
"Catalyst-Model-Adaptor","5.0","1"
"Catalyst-Model-DBIC","1.0","1"
"Catalyst-Model-HTML-FormFu","1.0","1"
"Catalyst-Plugin-Assets","5.0","1"
"Catalyst-Plugin-Authentication","5.0","2"
"Catalyst-Plugin-AutoCRUD","5.0","1"
"Catalyst-Plugin-AutoTemplate","3.0","2"
"Catalyst-Plugin-CommandLine","5.0","2"
"Catalyst-Plugin-Compress-Zlib","3.0","1"
"Catalyst-Plugin-Crypt-CBC","5.0","1"
"Catalyst-Plugin-CustomErrorMessage","5.0","1"
"Catalyst-Plugin-FirePHP","5.0","1"
"Catalyst-Plugin-FormValidator-Simple","5.0","1"
"Catalyst-Plugin-I18N","4.0","1"
"Catalyst-Plugin-Log-Colorful","5.0","1"
"Catalyst-Plugin-Mail-Sender","3.0","1"
"Catalyst-Plugin-Redirect","2.0","3"
"Catalyst-Plugin-Session-CGISession","5.0","1"
"Catalyst-Runtime","4.8","20"
"Catalyst-View-Email","3.5","2"
"Catalyst-View-Excel-Template-Plus","5.0","1"
"Catalyst-View-HTML-Template-Compiled","5.0","1"
"Catalyst-View-JSON","4.0","1"
"Catalyst-View-TT","3.3","3"
"Catalyst-View-TT-ForceUTF8","1.0","1"
"CatalystX-AppBuilder","5.0","1"
"CatalystX-CRUD","5.0","1"
"CatalystX-ExtJS","5.0","1"
"CatalystX-Foorum","1.0","1"
"CatalystX-ListFramework-Builder","5.0","2"
"CGI-Ajax","4.0","9"
"CGI-Alert","5.0","1"
"CGI-Application","4.8","18"
"CGI-Application-Dispatch","5.0","3"
"CGI-Application-Dispatch-Server","4.0","1"
"CGI-Application-Emulate-PSGI","5.0","1"
"CGI-Application-Pluggable","2.0","1"
"CGI-Application-Plugin-Authentication","3.0","2"
"CGI-Application-Plugin-Authorization","5.0","1"
"CGI-Application-Plugin-AutoRunmode","4.0","3"
"CGI-Application-Plugin-CAPTCHA","3.0","1"
"CGI-Application-Plugin-Config-Any","4.0","1"
"CGI-Application-Plugin-DBH","4.5","2"
"CGI-Application-Plugin-DebugScreen","5.0","1"
"CGI-Application-Plugin-DevPopup","5.0","1"
"CGI-Application-Plugin-Forward","4.0","1"
"CGI-Application-Plugin-HTDot","4.0","1"
"CGI-Application-Plugin-Output-XSV","5.0","1"
"CGI-Application-Plugin-PageLookup","1.0","1"
"CGI-Application-Plugin-QueryHash","2.0","1"
"CGI-Application-Plugin-RateLimit","4.0","1"
"CGI-Application-Plugin-Redirect","5.0","1"
"CGI-Application-Plugin-Session","4.0","1"
"CGI-Application-Plugin-Stream","5.0","2"
"CGI-Application-Plugin-ValidateRM","5.0","1"
"CGI-Application-Plugin-ViewCode","5.0","1"
"CGI-Application-Server","4.5","2"
"CGI-Application-Session","4.0","1"
"CGI-Application-Tutorial-Namegame","4.0","1"
"CGI-Application-ValidateRM","5.0","2"
"CGI-Builder","4.3","11"
"CGI-Builder-Auth","5.0","2"
"CGI-Builder-CgiAppAPI","5.0","2"
"CGI-Builder-DFVCheck","4.5","2"
"CGI-Builder-HTMLtmpl","5.0","2"
"CGI-Builder-Magic","5.0","2"
"CGI-Builder-Session","5.0","5"
"CGI-Builder-TT2","5.0","1"
"CGI-Cache","3.5","2"
"CGI-Compress-Gzip","4.7","3"
"CGI-EncryptForm","5.0","1"
"CGI-Enurl","2.0","1"
"CGI-FormBuilder","5.0","3"
"CGI-Framework","4.0","1"
"CGI-GuruMeditation","2.0","1"
"CGI-Kwiki","4.2","5"
"CGI-Lite","4.0","2"
"CGI-Lite-Request","3.0","1"
"CGI-Minimal","4.7","3"
"CGI-NeedSSL","2.3","3"
"CGI-okTemplate","1.0","2"
"CGI-Panel","5.0","1"
"CGI-Perljax","5.0","1"
"CGI-Prototype","3.3","6"
"CGI-pWiki","1.0","1"
"CGI-QuickForm","4.0","1"
"CGI-Session","4.3","3"
"CGI-Session-BitBucket","1.0","1"
"CGI-Simple","5.0","2"
"CGI-SpeedyCGI","5.0","1"
"CGI-SSI","5.0","1"
"CGI-Struct","5.0","1"
"CGI-Upload","4.0","1"
"CGI-Utils","2.0","1"
"CGI-Vote","5.0","1"
"CGI-WebGzip","3.0","2"
"CGI-WebOut","5.0","1"
"CGI-Widget-DBI-Search","1.0","1"
"CGI-Wiki","2.5","2"
"CGI-Wiki-Kwiki","5.0","1"
"CGI.pm","4.5","13"
"CharsetDetector","5.0","2"
"Chart","4.4","5"
"Chart-Clicker","4.0","4"
"Chart-Gnuplot","3.8","5"
"Chart-Graph","2.7","3"
"Chart-Strip","5.0","2"
"Chest","1.5","4"
"CHI","4.7","3"
"Chooser","1.0","1"
"Chroniton","4.0","1"
"Cisco-CopyConfig","4.0","1"
"Cisco-IPPhone","4.0","1"
"Cisco-Reconfig","3.0","1"
"CLASS","5.0","2"
"Class-Accessor","4.3","3"
"Class-Accessor-Complex","5.0","1"
"Class-Accessor-Grouped","5.0","1"
"Class-AccessorMaker","5.0","1"
"Class-Autouse","5.0","1"
"Class-Base","4.7","3"
"Class-Bind","1.0","2"
"Class-Builtin","3.0","1"
"Class-C3-XS","4.0","1"
"Class-Closure","4.0","1"
"Class-CSV","3.0","2"
"Class-Date-ISO","2.0","2"
"Class-DBI","4.4","16"
"Class-DBI-AbstractSearch","5.0","1"
"Class-DBI-Loader","5.0","1"
"Class-DBI-Pager","4.7","3"
"Class-DBI-Plugin-DeepAbstractSearch","5.0","2"
"Class-DBI-Plugin-HTML","4.0","2"
"Class-DBI-Plugin-RetrieveFromSQL","4.0","1"
"Class-Easy","4.0","1"
"Class-HPLOO","1.0","1"
"Class-InsideOut","5.0","4"
"Class-Load","5.0","1"
"Class-Loader","1.0","1"
"Class-MakeMethods","4.0","1"
"Class-Meta","5.0","1"
"Class-MethodMaker","4.5","4"
"Class-Null","5.0","1"
"Class-Phrasebook","5.0","1"
"Class-PINT","3.0","1"
"Class-Singleton","3.0","1"
"Class-Std","2.8","5"
"Class-Std-Utils","1.0","1"
"Class-STL-Containers","2.0","1"
"Class-Trait","4.0","1"
"Class-XSAccessor","5.0","2"
"classes","5.0","2"
"Clipboard","5.0","1"
"Clone","4.3","3"
"Clone-Any","2.5","2"
"CMS-MediaWiki","4.5","2"
"Cocoa-Growl","5.0","1"
"Color-Calc-DEPRECATED","1.0","1"
"Comma","2.5","2"
"Commands-Guarded","5.0","1"
"common-sense","2.8","8"
"Compress-Bzip2","1.0","2"
"Compress-Zlib","2.8","4"
"ConditionSystem","1.0","1"
"Config-ApacheFormat","3.5","2"
"Config-Auto","4.8","4"
"Config-Context","4.0","1"
"Config-General","4.3","8"
"Config-IniFiles","4.3","9"
"Config-JFDI","5.0","1"
"Config-JSON","4.0","1"
"Config-Properties","5.0","1"
"Config-Simple","5.0","1"
"Config-Std","5.0","1"
"Config-Tiny","5.0","7"
"Const-Fast","3.5","2"
"constant-defer","3.3","3"
"constants","1.0","2"
"Contextual-Return","3.0","3"
"Contize","3.0","1"
"Convert-ASCII-String","2.0","1"
"Convert-Bencode","4.0","1"
"Convert-Binary-C","5.0","3"
"Convert-Wiki","2.0","1"
"Convert-zBase32","5.0","1"
"Coro","4.5","2"
"CouchDB-Client","4.5","2"
"Coy","2.0","1"
"CPAM-TWW","1.0","1"
"CPAN","4.0","6"
"CPAN-DistnameInfo","5.0","1"
"CPAN-Forum","4.0","1"
"CPAN-Index","1.0","1"
"CPAN-Mini","5.0","6"
"CPAN-Mini-Inject","4.0","1"
"CPAN-Mini-Webserver","5.0","3"
"CPAN-Reporter","5.0","3"
"CPAN-SQLite","4.5","2"
"cpan-upload","4.5","2"
"cpan-upload-http","5.0","1"
"CPAN-YACSmoke","1.0","1"
"cpan2rpm","3.7","3"
"cPanel","1.0","2"
"CPANPLUS","4.3","7"
"CPANXR","4.0","1"
"CQL-Parser","4.0","1"
"Crypt-Blowfish","5.0","2"
"Crypt-Camellia","5.0","1"
"Crypt-CBC","5.0","1"
"Crypt-DES_PP","5.0","1"
"Crypt-DH","1.0","1"
"Crypt-DH-GMP","5.0","1"
"Crypt-DSA","4.0","1"
"Crypt-ECB","5.0","1"
"Crypt-Elijah","4.0","1"
"Crypt-GPG","1.0","1"
"Crypt-Keyczar","5.0","1"
"Crypt-Lite","2.0","5"
"Crypt-OpenPGP","2.8","4"
"Crypt-OTP","1.0","1"
"Crypt-Passwd-XS","5.0","1"
"Crypt-Rijndael_PP","5.0","1"
"Crypt-RSA","3.7","3"
"Crypt-SaltedHash","4.5","2"
"Crypt-SSLeay","5.0","4"
"Crypt-Tea","1.0","1"
"Crypt-Twofish","4.0","1"
"Crypt-Util","5.0","1"
"Ctype","1.0","1"
"Curses-UI","3.0","6"
"CVSUtils","5.0","1"
"cvswebedit","1.0","1"
"cwd","1.2","5"
"D-oh","3.5","2"
"Dackup","5.0","2"
"Daemon-Generic","4.2","5"
"Daisy","1.0","2"
"Daisy-Chain","1.0","2"
"Daisy-Cocktail","1.0","2"
"Daisy-Cutter","1.0","2"
"Daisy-Dukes","1.0","2"
"Daisy-Wheel","1.0","2"
"Dancer","3.5","23"
"Dancer-Plugin-Auth-Twitter","5.0","1"
"Dancer-Plugin-Email","5.0","1"
"Dancer-Plugin-SiteMap","4.0","1"
"DashProfiler","5.0","1"
"Data-Clone","5.0","2"
"Data-Compare","3.0","1"
"Data-Define","1.0","1"
"Data-Domain","4.0","1"
"Data-DPath","3.0","1"
"Data-Dump","5.0","4"
"Data-Dump-Streamer","5.0","1"
"Data-Dumper","4.1","9"
"Data-Dumper-Concise","5.0","1"
"Data-Dumper-Perltidy","5.0","1"
"Data-Dumper-Simple","4.0","1"
"Data-FixedFormat","3.5","2"
"Data-FormValidator","5.0","5"
"Data-FormValidator-Constraints-DateTime","4.0","1"
"Data-FormValidator-Filters-Image","4.0","1"
"Data-Grouper","5.0","1"
"Data-GUID","5.0","2"
"Data-HexDump","4.0","1"
"Data-Hexdumper","5.0","2"
"Data-Hive","4.0","1"
"Data-ICal","5.0","2"
"Data-Inspect","1.0","1"
"Data-Iterator-EasyObj","3.0","1"
"Data-JavaScript","4.0","2"
"Data-JavaScript-Anon","4.0","1"
"Data-Lazy","5.0","1"
"Data-Leaf-Walker","5.0","1"
"Data-MessagePack","3.0","2"
"Data-Model","5.0","1"
"Data-Page","4.6","5"
"Data-Page-Set","3.0","2"
"Data-Pageset","5.0","1"
"Data-Paginate","1.0","1"
"Data-ParseBinary","5.0","2"
"Data-Password","5.0","1"
"Data-Peek","5.0","1"
"Data-Phrasebook","4.5","2"
"Data-Pond","3.5","2"
"Data-PostfixDeref","1.0","1"
"Data-Rand","1.0","1"
"Data-Random","5.0","2"
"Data-Reconciliation","4.0","1"
"Data-Recursive-Encode","5.0","1"
"Data-Rmap","5.0","8"
"Data-Rx","5.0","1"
"Data-Search","3.7","3"
"Data-SearchReplace","5.0","1"
"Data-Section","5.0","1"
"Data-Serializer","4.7","3"
"Data-Show","5.0","2"
"Data-Stack","1.0","1"
"Data-Str2Num","1.0","1"
"Data-Taxi","2.0","1"
"Data-Thunk","5.0","1"
"Data-Transformer","2.0","1"
"Data-Traverse","2.0","1"
"Data-TreeDumper","5.0","2"
"Data-Uniqid","3.5","2"
"Data-Util","5.0","1"
"Data-UUID","5.0","2"
"Data-Validate-Domain","5.0","2"
"Data-Validate-Email","4.0","1"
"Data-Validate-Japanese","3.0","1"
"Data-Verify","5.0","1"
"Data-Visitor-Encode","5.0","1"
"Data-Walk","4.0","1"
"DataExtract-FixedWidth","2.3","3"
"Data_Translate","2.0","1"
"Date-Business","4.0","1"
"Date-Calc","4.1","7"
"Date-EzDate","4.0","1"
"Date-FromToday","1.0","1"
"Date-Handler","5.0","1"
"Date-Holidays-CA","5.0","1"
"Date-Holidays-UK","4.0","1"
"Date-ICal","2.0","1"
"Date-Indian","5.0","1"
"Date-ISO","3.0","1"
"Date-Manip","3.1","11"
"Date-Namedays-Simple","3.0","1"
"Date-Object","1.0","2"
"Date-Pcalc","4.3","3"
"Date-Range","5.0","1"
"Date-Simple","4.0","3"
"Date-Tiny","2.0","2"
"Date-WeekOfYear","1.0","1"
"DateConvert","5.0","1"
"DateManip","5.0","4"
"DateManip-5.42a","5.0","1"
"DateStamp","2.0","1"
"DateTime","4.6","14"
"DateTime-BusinessHours","3.0","1"
"DateTime-Calendar-Hebrew","5.0","1"
"DateTime-Calendar-Japanese","5.0","1"
"DateTime-Calendar-Japanese-Era","4.0","1"
"DateTime-Event-ICal","5.0","1"
"DateTime-Event-NameDay","4.0","2"
"DateTime-Format-DateParse","3.0","1"
"DateTime-Format-Epoch","5.0","1"
"DateTime-Format-Flexible","2.0","1"
"DateTime-Format-ISO8601","3.0","1"
"DateTime-Format-Japanese","5.0","1"
"DateTime-Format-Natural","5.0","3"
"DateTime-Format-Oracle","4.0","2"
"DateTime-Locale","5.0","1"
"DateTime-Natural-Parse","3.0","1"
"DateTime-Precise","1.0","1"
"DateTime-Tiny","5.0","1"
"DBA","1.0","1"
"DBD-Chart","5.0","1"
"DBD-CSV","4.0","1"
"DBD-DB2","5.0","3"
"DBD-Excel","3.0","2"
"DBD-Google","5.0","2"
"DBD-Informix","5.0","2"
"DBD-Ingres","3.4","5"
"DBD-mysql","3.8","5"
"DBD-mysql-SimpleMySQL","1.0","3"
"DBD-mysqlPP","3.8","4"
"DBD-ODBC","4.8","4"
"DBD-Oracle","3.7","16"
"DBD-Pg","3.6","13"
"DBD-PgPP","2.7","3"
"DBD-SQLite","4.6","16"
"DBD-SQLite-Amalgamation","5.0","1"
"DBD-Sybase","4.8","5"
"DBD-TSM","5.0","1"
"DBD-Unify","4.0","1"
"DBD-WMI","4.0","1"
"DBI","4.7","31"
"DBI-Mysqlsimple","1.0","2"
"DBICx-Deploy","4.0","1"
"DBIx-Abstract","3.0","1"
"DBIx-CGITables","3.0","1"
"DBIx-Chart","5.0","1"
"DBIx-Class","4.9","11"
"DBIx-Class-EncodedColumn","5.0","2"
"DBIx-Class-FrozenColumns","4.0","4"
"DBIx-Class-HTML-FormFu","1.0","1"
"DBIx-Class-Loader-ADO","3.0","2"
"DBIx-Class-QueryLog","4.0","1"
"DBIx-Class-ResultSet-HashRef","5.0","1"
"DBIx-Class-Schema-Loader","4.0","2"
"DBIx-Class-Schema-Loader-DBI-Oracle","3.0","1"
"DBIx-Class-TimeStamp","4.5","2"
"DBIx-Class-Validation","4.0","1"
"DBIx-Custom","1.0","1"
"DBIx-DataModel","4.0","1"
"DBIx-DBH","3.0","1"
"DBIx-DWIW","4.0","2"
"DBIx-HTMLView","5.0","1"
"DBIx-Informix-Perform","5.0","1"
"DBIx-Log4perl","4.5","4"
"DBIx-MSSQLReporter","1.0","1"
"DBIx-MyParse","4.0","1"
"DBIx-Password","4.0","1"
"DBIx-ProcedureCall","4.0","1"
"DBIx-Sequence","5.0","1"
"DBIx-Sharding","2.0","1"
"DBIx-Simple","4.7","6"
"DBIx-Skinny","5.0","1"
"DBIx-SQLEngine","5.0","1"
"DBIx-Std","1.0","3"
"DBIx-Thin","2.0","1"
"DBIx-VersionedDDL","5.0","1"
"DBIx-Web","1.0","1"
"DBIx-XHTML_Table","5.0","2"
"Dblink","2.0","1"
"DBM-Deep","4.0","8"
"dbMan","5.0","1"
"Debug","1.0","1"
"delicious-backup","2.0","1"
"Dev-Bollocks","3.5","2"
"Devel-ArgNames","5.0","2"
"Devel-AutoProfiler","5.0","1"
"Devel-CallStack","5.0","1"
"Devel-Carnivore","5.0","1"
"Devel-CheckLib","4.0","1"
"Devel-Cover","4.9","15"
"Devel-Cycle","5.0","1"
"Devel-Declare","4.2","5"
"Devel-Dependencies","2.0","1"
"Devel-Deprecate","5.0","1"
"Devel-Diagram","1.0","1"
"Devel-Ditto","5.0","1"
"Devel-DProf","1.0","1"
"Devel-DProfLB","2.0","1"
"Devel-ebug","5.0","1"
"Devel-EvalContext","5.0","1"
"Devel-FastProf","4.0","2"
"Devel-Hide","5.0","2"
"Devel-Leak-Object","5.0","2"
"Devel-LeakGuard-Object","5.0","1"
"Devel-LeakTrace-Fast","4.0","1"
"Devel-Messenger","3.0","1"
"Devel-Modlist","5.0","1"
"Devel-NYTProf","4.9","18"
"Devel-ObjectTracker","1.0","1"
"Devel-PerlySense","4.5","2"
"Devel-PiMPx","1.0","1"
"Devel-Pointer","5.0","1"
"Devel-Profile","4.0","1"
"Devel-ptkdb","4.8","5"
"Devel-REPL","5.0","1"
"Devel-SimpleTrace","4.5","4"
"Devel-Size","4.7","3"
"Devel-SmallProf","3.0","2"
"Devel-StackTrace","5.0","1"
"Devel-STDERR-Indent","4.0","1"
"Devel-SummarizedWarnings","5.0","1"
"Devel-Timer","4.0","1"
"Devel-Trace","5.0","1"
"Devel-TrackObjects","5.0","1"
"Devel-XDebug","1.0","1"
"Device-Audiotron","5.0","1"
"Device-USB-MissileLauncher","5.0","1"
"DicomPack","5.0","1"
"Digest-Crc32","2.0","2"
"Digest-MD4","3.5","2"
"Digest-MD5","5.0","6"
"Digest-MD5-File","3.5","2"
"Digest-SHA","5.0","2"
"Directory-Queue","5.0","1"
"Directory-Scratch","5.0","1"
"Directory-Scratch-Structured","1.0","1"
"Dist-Zilla","4.8","6"
"Dist-Zilla-Plugin-CopyTo","4.0","1"
