" SPDX Full name of License v1.8";"SPDX License Identifier";"SPDX Source URL";"Fedora License Identifier";"LDB License Identifier";"New Open Suse License Identifier";"compatibility class";"comment"
"Sleepycat License";"Sleepycat";"http://www.opensource.org/licenses/sleepycat.php";"Sleepycat";"Sleepycat";"Sleepycat";4;
"SugarCRM Public License v1.1.3";"SugarCRM-1.1.3";"http://www.sugarcrm.com/crm/SPL";"?";"?";"SugarCRM 1.1.3";3;
"Sun Public License";"SPL";"http://www.opensource.org/licenses/sunpublic.php";"SPL";"SUN PL 1.0";"SPL-1";3;
"Sybase Open Watcom Public License 1.0";"Watcom-1";"http://www.opensource.org/licenses/sybase.php";"?";"?";"Watcom";4;
"University of Illinois/NCSA Open Source License";"NCSA";"http://otm.illinois.edu/uiuc_openSource http://www.opensource.org/licenses/UoI-NCSA.php";"NCSA";"NCSA";"NCSA";1;
"Vovida Software License v1.0";"VSL-1";"http://www.opensource.org/licenses/vovidapl.php";"VSL";"?";"VSL-1";2;
"W3C Software and Notice License";"W3C";"http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231.html http://www.opensource.org/licenses/W3C.php";"W3C";"w3c";"w3c ";1;
"wxWindows Library License";"WXwindows";"http://www.wxwidgets.org/about/licence3.txt http://www.opensource.org/licenses/wxwindows.php";"wxWidgets";"wxWindows 3.1";"wxWindows 3.1";1;
"X.Net License";"Xnet";"http://www.opensource.org/licenses/xnet.php";"?";"?";"Xnet";2;
"XFree86 License 1.1";"XFree86-1.1";"http://www.xfree86.org/current/LICENSE4.html";"?";"XFree86 1.1";"XFree86 1.1";2;
"Yahoo! Public License v1.1";"YPL-1.1";"http://www.zimbra.com/license/yahoo_public_license_1.1.html";"YPLv1.1";"?";"YPL-1.1";4;
"Zimbra Publice License v1.3";"Zimbra-1.3";"http://www.zimbra.com/license/zimbra-public-license-1-3.html";"?";"?";"Zimbra 1.3";4;
"zlib License";"Zlib";"http://www.zlib.net/zlib_license.html http://www.opensource.org/licenses/zlib-license.php";"zlib";"ZLIB";"zlib";1;
"Zope Public License 1.1";"ZPL-1.1";"http://www.zope.org/Resources/License/ZPL-1.1";"ZPLv1.1";"ZPL 1.1";"ZPL-1.1";2;
