
CC_NAME                                                                       CT_NAME                                                                       CC_RUNMODE                       CC_ALIAS                          CC_DISP_ENABLE_ST                                              CC_DESC_TEXT                                                                                                                                                                                                                                                 CG_NAME                                                                       CG_ALIAS                         CC_INCARN_NO             
Communications Configuration Manager                                          Business Service Manager                                                      Batch                            CommConfigMgr                     Active                                                         Download and cache communications configuration                                                                                                                                                                                                              Communications Management                                                     CommMgmt                         0                        
Communications Inbound Processor                                              Business Service Manager                                                      Batch                            CommInboundProcessor              Active                                                         Processes queued communication events                                                                                                                                                                                                                        Communications Management                                                     CommMgmt                         0                        
Communications Inbound Receiver                                               Communications Inbound Receiver                                               Batch                            CommInboundRcvr                   Active                                                         Queues inbound communication events                                                                                                                                                                                                                          Communications Management                                                     CommMgmt                         0                        
Communications Outbound Manager                                               Business Service Manager                                                      Batch                            CommOutboundMgr                   Active                                                         Sends messages to recipients associated with business object instances                                                                                                                                                                                       Communications Management                                                     CommMgmt                         0                        
Communications Session Manager                                                Communications Session Manager                                                Batch                            CommSessionMgr                    Active                                                         Interact with end user for utilizing communications channels                                                                                                                                                                                                 Communications Management                                                     CommMgmt                         0                        
Content Project Publish                                                       Business Service Manager                                                      Batch                            ContProjPub                       Active                                                         Publish a content project                                                                                                                                                                                                                                    Content Center                                                                ContCtr                          0                        
Content Project Start                                                         Business Service Manager                                                      Batch                            ContProjStart                     Active                                                         Start a content project                                                                                                                                                                                                                                      Content Center                                                                ContCtr                          0                        
Core Reference Application Object Manager (ENU)                               Application Object Manager                                                    Interactive                      CRAObjMgr_enu                     Active                                                         Siebel Core Reference Application Object Manager                                                                                                                                                                                                             Siebel Core Reference Application                                             CRA                              0                        
Core Reference Application Object Manager (PTB)                               Application Object Manager                                                    Interactive                      CRAObjMgr_ptb                     Active                                                         Siebel Core Reference Application Object Manager                                                                                                                                                                                                             Siebel Core Reference Application                                             CRA                              0                        
Custom Application Object Manager (ENU)                                       Custom Application Object Manager                                             Interactive                      CustomAppObjMgr_enu               Inactive                                                       Siebel Custom Application Object Manager                                                                                                                                                                                                                     Enterprise Application Integration                                            EAI                              0                        
Custom Application Object Manager (PTB)                                       Custom Application Object Manager                                             Interactive                      CustomAppObjMgr_ptb               Inactive                                                       Siebel Custom Application Object Manager                                                                                                                                                                                                                     Enterprise Application Integration                                            EAI                              0                        
D&B Update Mgr (D&B)                                                          Batch Real-Time Integration                                                   Batch                            DNBUpMgrDNB                       Active                                                         Updates D&B tables with subscription data                                                                                                                                                                                                                    Dun and Bradstreet                                                            DandB                            0                        
D&B Update Mgr (Multi-task)                                                   Business Service Manager                                                      Batch                            DNBUpMgrMultiTask                 Active                                                         Updates D&B or Siebel tables with subscription data in multiple tasks                                                                                                                                                                                        Dun and Bradstreet                                                            DandB                            0                        
D&B Update Mgr (Siebel)                                                       Batch Real-Time Integration                                                   Batch                            DNBUpMgrSieb                      Active                                                         Updates Siebel tables subscription data                                                                                                                                                                                                                      Dun and Bradstreet                                                            DandB                            0                        
Data Quality Manager                                                          Data Quality Manager                                                          Batch                            DQMgr                             Active                                                         Cleanses data and de-duplicates records                                                                                                                                                                                                                      Data Quality                                                                  DataQual                         0                        
Database Extract                                                              Database Extract                                                              Batch                            DbXtract                          Active                                                         Extracts visible data for a Siebel Remote or Replication Manager client                                                                                                                                                                                      Siebel Remote                                                                 Remote                           0                        
DCommerce Alerts                                                              DCommerce Alerts                                                              Background                       DCommerceAlerts                   Active                                                         Background process that manages DCommerce alerts                                                                                                                                                                                                             DCommerce                                                                     DCommerce                        0                        
DCommerce Automatic Auction Close                                             DCommerce Automatic Auction Close                                             Background                       DCommerceAutoClose                Active                                                         Background process that detects and closes auctions                                                                                                                                                                                                          DCommerce                                                                     DCommerce                        0                        
Document Server                                                               Business Service Manager                                                      Batch                            DocServer                         Active                                                         Generates Documents                                                                                                                                                                                                                                          Siebel eDocuments                                                             eDocuments                       0                        
Dynamic Commerce                                                              Business Service Manager                                                      Batch                            DynamicCommerce                   Active                                                         Dynamic Commerce master services                                                                                                                                                                                                                             DCommerce                                                                     DCommerce                        0                        
EAI Object Manager (ENU)                                                      EAI Object Manager                                                            Interactive                      EAIObjMgr_enu                     Active                                                         Siebel EAI Object Manager                                                                                                                                                                                                                                    Enterprise Application Integration                                            EAI                              0                        
EAI Object Manager (PTB)                                                      EAI Object Manager                                                            Interactive                      EAIObjMgr_ptb                     Active                                                         Siebel EAI Object Manager                                                                                                                                                                                                                                    Enterprise Application Integration                                            EAI                              0                        
eAuto Business Rule Execution Component                                       Business Service Manager                                                      Batch                            eAutoBusRuleExecSvc               Active                                                         Executes Business Rules                                                                                                                                                                                                                                      Siebel eAutomotive                                                            eAutomotive                      0                        
eAutomotive Object Manager (ENU)                                              Application Object Manager                                                    Interactive                      eautoObjMgr_enu                   Active                                                         Siebel eAutomotive Object Manager                                                                                                                                                                                                                            Siebel eAutomotive                                                            eAutomotive                      0                        
eAutomotive Object Manager (PTB)                                              Application Object Manager                                                    Interactive                      eautoObjMgr_ptb                   Active                                                         Siebel eAutomotive Object Manager                                                                                                                                                                                                                            Siebel eAutomotive                                                            eAutomotive                      0                        
eChannel CG Object Manager (ENU)                                              Application Object Manager                                                    Interactive                      eChannelCGObjMgr_enu              Active                                                         Siebel eChannel CG Object Manager                                                                                                                                                                                                                            Siebel eConsumerSector                                                        eConsumer                        0                        
eChannel CG Object Manager (PTB)                                              Application Object Manager                                                    Interactive                      eChannelCGObjMgr_ptb              Active                                                         Siebel eChannel CG Object Manager                                                                                                                                                                                                                            Siebel eConsumerSector                                                        eConsumer                        0                        
eChannel Object Manager (ENU)                                                 Application Object Manager                                                    Interactive                      eChannelObjMgr_enu                Active                                                         Siebel eChannel Object Manager                                                                                                                                                                                                                               Siebel eChannel                                                               eChannel                         0                        
eChannel Object Manager (PTB)                                                 Application Object Manager                                                    Interactive                      eChannelObjMgr_ptb                Active                                                         Siebel eChannel Object Manager                                                                                                                                                                                                                               Siebel eChannel                                                               eChannel                         0                        
eChannel Power Communications Object Manager (ENU)                            Application Object Manager                                                    Interactive                      eChannelCMEObjMgr_enu             Active                                                         Siebel eChannel Power Communications Object Manager                                                                                                                                                                                                          Siebel CME                                                                    Communications                   0                        
eChannel Power Communications Object Manager (PTB)                            Application Object Manager                                                    Interactive                      eChannelCMEObjMgr_ptb             Active                                                         Siebel eChannel Power Communications Object Manager                                                                                                                                                                                                          Siebel CME                                                                    Communications                   0                        
eClinical Object Manager (ENU)                                                Application Object Manager                                                    Interactive                      eClinicalObjMgr_enu               Active                                                         Siebel eClinical Object Manager                                                                                                                                                                                                                              Siebel Life Sciences                                                          LifeSciences                     0                        
eClinical Object Manager (PTB)                                                Application Object Manager                                                    Interactive                      eClinicalObjMgr_ptb               Active                                                         Siebel eClinical Object Manager                                                                                                                                                                                                                              Siebel Life Sciences                                                          LifeSciences                     0                        
eCommunications for Wireless Object Manager (ENU)                             Application Object Manager                                                    Interactive                      eCommWirelessObjMgr_enu           Inactive                                                       Siebel eCommunications for Wireless Object Manager                                                                                                                                                                                                           Siebel CME                                                                    Communications                   0                        
eCommunications for Wireless Object Manager (PTB)                             Application Object Manager                                                    Interactive                      eCommWirelessObjMgr_ptb           Inactive                                                       Siebel eCommunications for Wireless Object Manager                                                                                                                                                                                                           Siebel CME                                                                    Communications                   0                        
eCommunications Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      eCommunicationsObjMgr_enu         Active                                                         Siebel eCommunications Object Manager                                                                                                                                                                                                                        Siebel CME                                                                    Communications                   0                        
eCommunications Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      eCommunicationsObjMgr_ptb         Active                                                         Siebel eCommunications Object Manager                                                                                                                                                                                                                        Siebel CME                                                                    Communications                   0                        
eCommunications Object Manager Adm (PTB)                                      Application Object Manager                                                    Interactive                      eCommunicationsObjMgrAdm_ptb      Inactive                                                       Siebel eCommunications Object Manager                                                                                                                                                                                                                        Siebel CME                                                                    Communications                   0                        
eConsumer Object Manager (ENU)                                                Application Object Manager                                                    Interactive                      eConsumerObjMgr_enu               Active                                                         Siebel eConsumer Object Manager                                                                                                                                                                                                                              Siebel eConsumerSector                                                        eConsumer                        0                        
eConsumer Object Manager (PTB)                                                Application Object Manager                                                    Interactive                      eConsumerObjMgr_ptb               Active                                                         Siebel eConsumer Object Manager                                                                                                                                                                                                                              Siebel eConsumerSector                                                        eConsumer                        0                        
eConsumerPharma Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      eConsumerPharmaObjMgr_enu         Active                                                         Siebel eConsumerPharmaObjMgr Object Manager                                                                                                                                                                                                                  Siebel Life Sciences                                                          LifeSciences                     0                        
eConsumerPharma Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      eConsumerPharmaObjMgr_ptb         Active                                                         Siebel eConsumerPharmaObjMgr Object Manager                                                                                                                                                                                                                  Siebel Life Sciences                                                          LifeSciences                     0                        
eConsumerSector Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      eConsumerSectorObjMgr_enu         Active                                                         Siebel eConsumerSector Object Manager                                                                                                                                                                                                                        Siebel eConsumerSector                                                        eConsumer                        0                        
eConsumerSector Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      eConsumerSectorObjMgr_ptb         Active                                                         Siebel eConsumerSector Object Manager                                                                                                                                                                                                                        Siebel eConsumerSector                                                        eConsumer                        0                        
eCustomer Object Manager (ENU)                                                Application Object Manager                                                    Interactive                      eCustomerObjMgr_enu               Active                                                         Siebel eCustomer Object Manager                                                                                                                                                                                                                              Siebel ISS                                                                    ISS                              0                        
eCustomer Object Manager (PTB)                                                Application Object Manager                                                    Interactive                      eCustomerObjMgr_ptb               Active                                                         Siebel eCustomer Object Manager                                                                                                                                                                                                                              Siebel ISS                                                                    ISS                              0                        
eCustomer Power Communications Object Manager (ENU)                           Application Object Manager                                                    Interactive                      eCustomerCMEObjMgr_enu            Inactive                                                       Siebel eCustomer Power Communications Object Manager                                                                                                                                                                                                         Siebel CME                                                                    Communications                   0                        
eCustomer Power Communications Object Manager (PTB)                           Application Object Manager                                                    Interactive                      eCustomerCMEObjMgr_ptb            Inactive                                                       Siebel eCustomer Power Communications Object Manager                                                                                                                                                                                                         Siebel CME                                                                    Communications                   0                        
eDealer Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      edealerObjMgr_enu                 Active                                                         Siebel eDealer Object Manager                                                                                                                                                                                                                                Siebel eAutomotive                                                            eAutomotive                      0                        
eDealer Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      edealerObjMgr_ptb                 Active                                                         Siebel eDealer Object Manager                                                                                                                                                                                                                                Siebel eAutomotive                                                            eAutomotive                      0                        
eDealerscw Object Manager (ENU)                                               Application Object Manager                                                    Interactive                      edealerscwObjMgr_enu              Active                                                         Siebel eDealerscw Object Manager                                                                                                                                                                                                                             Siebel eAutomotive                                                            eAutomotive                      0                        
eDealerscw Object Manager (PTB)                                               Application Object Manager                                                    Interactive                      edealerscwObjMgr_ptb              Active                                                         Siebel eDealerscw Object Manager                                                                                                                                                                                                                             Siebel eAutomotive                                                            eAutomotive                      0                        
eEnergy Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      eEnergyObjMgr_enu                 Inactive                                                       Siebel eEnergy Object Manager                                                                                                                                                                                                                                Siebel CME                                                                    Communications                   0                        
eEnergy Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      eEnergyObjMgr_ptb                 Inactive                                                       Siebel eEnergy Object Manager                                                                                                                                                                                                                                Siebel CME                                                                    Communications                   0                        
eEvents Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      eEventsObjMgr_enu                 Active                                                         Siebel eEvents Object Manager                                                                                                                                                                                                                                Marketing Object Manager                                                      MktgOM                           0                        
eEvents Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      eEventsObjMgr_ptb                 Active                                                         Siebel eEvents Object Manager                                                                                                                                                                                                                                Marketing Object Manager                                                      MktgOM                           0                        
eHospitality Object Manager (ENU)                                             Application Object Manager                                                    Interactive                      eHospitalityObjMgr_enu            Active                                                         Siebel eHospitality Object Manager                                                                                                                                                                                                                           Siebel eHospitality                                                           Hospitality                      0                        
eHospitality Object Manager (PTB)                                             Application Object Manager                                                    Interactive                      eHospitalityObjMgr_ptb            Active                                                         Siebel eHospitality Object Manager                                                                                                                                                                                                                           Siebel eHospitality                                                           Hospitality                      0                        
eLoyalty Processing Engine - Batch                                            Business Service Manager                                                      Batch                            LoyEngineBatch                    Active                                                         Processes Loyalty Transactions, Tiers etc. in the background.                                                                                                                                                                                                Siebel Loyalty Engine                                                         LoyaltyEngine                    0                        
eLoyalty Processing Engine - Interactive                                      Business Service Manager                                                      Batch                            LoyEngineInteractive              Active                                                         Process Loyalty Transactions for Retail POS.                                                                                                                                                                                                                 Siebel Loyalty Engine                                                         LoyaltyEngine                    0                        
eLoyalty Processing Engine - Realtime                                         Business Service Manager                                                      Batch                            LoyEngineRealtime                 Active                                                         Processes Loyalty Transactions, Tiers etc. submitted by users.                                                                                                                                                                                               Siebel Loyalty Engine                                                         LoyaltyEngine                    0                        
Email Manager                                                                 E-mail Manager                                                                Background                       MailMgr                           Active                                                         Sends individual email responses                                                                                                                                                                                                                             Communications Management                                                     CommMgmt                         0                        
eMarketing Object Manager (ENU)                                               Application Object Manager                                                    Interactive                      eMarketObjMgr_enu                 Active                                                         Siebel eMarketing Object Manager                                                                                                                                                                                                                             Marketing Object Manager                                                      MktgOM                           0                        
eMarketing Object Manager (PTB)                                               Application Object Manager                                                    Interactive                      eMarketObjMgr_ptb                 Active                                                         Siebel eMarketing Object Manager                                                                                                                                                                                                                             Marketing Object Manager                                                      MktgOM                           0                        
eMedia Object Manager (ENU)                                                   Application Object Manager                                                    Interactive                      eMediaObjMgr_enu                  Inactive                                                       Siebel eMedia Object Manager                                                                                                                                                                                                                                 Siebel CME                                                                    Communications                   0                        
eMedia Object Manager (PTB)                                                   Application Object Manager                                                    Interactive                      eMediaObjMgr_ptb                  Inactive                                                       Siebel eMedia Object Manager                                                                                                                                                                                                                                 Siebel CME                                                                    Communications                   0                        
eMedical Object Manager (ENU)                                                 Application Object Manager                                                    Interactive                      eMedicalObjMgr_enu                Active                                                         Siebel eMedical Object Manager                                                                                                                                                                                                                               Siebel Life Sciences                                                          LifeSciences                     0                        
eMedical Object Manager (PTB)                                                 Application Object Manager                                                    Interactive                      eMedicalObjMgr_ptb                Active                                                         Siebel eMedical Object Manager                                                                                                                                                                                                                               Siebel Life Sciences                                                          LifeSciences                     0                        
Employee Relationship Management Administration Object Manager (ENU)          Application Object Manager                                                    Interactive                      ERMAdminObjMgr_enu                Active                                                         Siebel Employee Relationship Management Administration Object Manager                                                                                                                                                                                        Siebel Employee Relationship Management                                       ERM                              0                        
Employee Relationship Management Administration Object Manager (PTB)          Application Object Manager                                                    Interactive                      ERMAdminObjMgr_ptb                Active                                                         Siebel Employee Relationship Management Administration Object Manager                                                                                                                                                                                        Siebel Employee Relationship Management                                       ERM                              0                        
Employee Relationship Management Embedded Object Manager (ENU)                Application Object Manager                                                    Interactive                      ERMEmbObjMgr_enu                  Active                                                         Siebel Employee Relationship Management Embedded Object Manager                                                                                                                                                                                              Siebel Employee Relationship Management                                       ERM                              0                        
Employee Relationship Management Embedded Object Manager (PTB)                Application Object Manager                                                    Interactive                      ERMEmbObjMgr_ptb                  Active                                                         Siebel Employee Relationship Management Embedded Object Manager                                                                                                                                                                                              Siebel Employee Relationship Management                                       ERM                              0                        
Employee Relationship Management Object Manager (ENU)                         Application Object Manager                                                    Interactive                      ERMObjMgr_enu                     Active                                                         Siebel Employee Relationship Management Object Manager                                                                                                                                                                                                       Siebel Employee Relationship Management                                       ERM                              0                        
Employee Relationship Management Object Manager (PTB)                         Application Object Manager                                                    Interactive                      ERMObjMgr_ptb                     Active                                                         Siebel Employee Relationship Management Object Manager                                                                                                                                                                                                       Siebel Employee Relationship Management                                       ERM                              0                        
Enterprise Integration Mgr                                                    Enterprise Integration Mgr                                                    Batch                            EIM                               Active                                                         Integrates enterprise data to and from other systems                                                                                                                                                                                                         Enterprise Application Integration                                            EAI                              0                        
eOil Gas & Chemicals  Object Manager (ENU)                                    Application Object Manager                                                    Interactive                      eEnergyOGCObjMgr_enu              Inactive                                                       Siebel eOil Gas & Chemicals  Object Manager                                                                                                                                                                                                                  Siebel CME                                                                    Communications                   0                        
eOil Gas & Chemicals  Object Manager (PTB)                                    Application Object Manager                                                    Interactive                      eEnergyOGCObjMgr_ptb              Inactive                                                       Siebel eOil Gas & Chemicals  Object Manager                                                                                                                                                                                                                  Siebel CME                                                                    Communications                   0                        
ePharma Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      ePharmaObjMgr_enu                 Active                                                         Siebel ePharma Object Manager                                                                                                                                                                                                                                Siebel Life Sciences                                                          LifeSciences                     0                        
ePharma Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      ePharmaObjMgr_ptb                 Active                                                         Siebel ePharma Object Manager                                                                                                                                                                                                                                Siebel Life Sciences                                                          LifeSciences                     0                        
eProfessionalPharma Object Manager (ENU)                                      Application Object Manager                                                    Interactive                      eProfessionalPharmaObjMgr_enu     Active                                                         Siebel eProfessionalPharmaObjMgr Object Manager                                                                                                                                                                                                              Siebel Life Sciences                                                          LifeSciences                     0                        
eProfessionalPharma Object Manager (PTB)                                      Application Object Manager                                                    Interactive                      eProfessionalPharmaObjMgr_ptb     Active                                                         Siebel eProfessionalPharmaObjMgr Object Manager                                                                                                                                                                                                              Siebel Life Sciences                                                          LifeSciences                     0                        
eRetail Object Manager (ENU)                                                  Application Object Manager                                                    Interactive                      eRetailObjMgr_enu                 Active                                                         Siebel eRetail Object Manager                                                                                                                                                                                                                                Siebel eConsumerSector                                                        eConsumer                        0                        
eRetail Object Manager (PTB)                                                  Application Object Manager                                                    Interactive                      eRetailObjMgr_ptb                 Active                                                         Siebel eRetail Object Manager                                                                                                                                                                                                                                Siebel eConsumerSector                                                        eConsumer                        0                        
ERM Compensation Planning Service                                             Business Service Manager                                                      Batch                            ERMCompPlanSvc                    Active                                                         ERM Compensation Planning Services.                                                                                                                                                                                                                          Siebel Employee Relationship Management                                       ERM                              0                        
eSales Object Manager (ENU)                                                   Application Object Manager                                                    Interactive                      eSalesObjMgr_enu                  Active                                                         Siebel eSales Object Manager                                                                                                                                                                                                                                 Siebel ISS                                                                    ISS                              0                        
eSales Object Manager (PTB)                                                   Application Object Manager                                                    Interactive                      eSalesObjMgr_ptb                  Active                                                         Siebel eSales Object Manager                                                                                                                                                                                                                                 Siebel ISS                                                                    ISS                              0                        
eSales Power Communications Object Manager (ENU)                              Application Object Manager                                                    Interactive                      eSalesCMEObjMgr_enu               Inactive                                                       Siebel eSales Power Communications Object Manager                                                                                                                                                                                                            Siebel CME                                                                    Communications                   0                        
eSales Power Communications Object Manager (PTB)                              Application Object Manager                                                    Interactive                      eSalesCMEObjMgr_ptb               Inactive                                                       Siebel eSales Power Communications Object Manager                                                                                                                                                                                                            Siebel CME                                                                    Communications                   0                        
eService Object Manager (ENU)                                                 Application Object Manager                                                    Interactive                      eServiceObjMgr_enu                Active                                                         Siebel eService Object Manager                                                                                                                                                                                                                               Siebel Call Center                                                            CallCenter                       0                        
eService Object Manager (PTB)                                                 Application Object Manager                                                    Interactive                      eServiceObjMgr_ptb                Active                                                         Siebel eService Object Manager                                                                                                                                                                                                                               Siebel Call Center                                                            CallCenter                       0                        
eSitesClinical Object Manager (ENU)                                           Application Object Manager                                                    Interactive                      eSitesClinicalObjMgr_enu          Active                                                         Siebel eSitesClinical Object Manager                                                                                                                                                                                                                         Siebel Life Sciences                                                          LifeSciences                     0                        
eSitesClinical Object Manager (PTB)                                           Application Object Manager                                                    Interactive                      eSitesClinicalObjMgr_ptb          Active                                                         Siebel eSitesClinical Object Manager                                                                                                                                                                                                                         Siebel Life Sciences                                                          LifeSciences                     0                        
eTraining Object Manager (ENU)                                                Application Object Manager                                                    Interactive                      eTrainingObjMgr_enu               Active                                                         Siebel eTraining Object Manager                                                                                                                                                                                                                              Siebel Employee Relationship Management                                       ERM                              0                        
eTraining Object Manager (PTB)                                                Application Object Manager                                                    Interactive                      eTrainingObjMgr_ptb               Active                                                         Siebel eTraining Object Manager                                                                                                                                                                                                                              Siebel Employee Relationship Management                                       ERM                              0                        
Field Service Cycle Counting Engine                                           Business Service Manager                                                      Batch                            FSCyccnt                          Active                                                         Field Service Cycle Counting Engine                                                                                                                                                                                                                          Field Service                                                                 FieldSvc                         0                        
Field Service Mobile Inventory Transaction Engine                             Business Service Manager                                                      Batch                            FSInvTxn                          Active                                                         Field Service Mobile Inventory Transaction Engine                                                                                                                                                                                                            Field Service                                                                 FieldSvc                         0                        
Field Service Object Manager (ENU)                                            Application Object Manager                                                    Interactive                      SFSObjMgr_enu                     Active                                                         Siebel Field Service Object Manager                                                                                                                                                                                                                          Field Service                                                                 FieldSvc                         0                        
Field Service Object Manager (PTB)                                            Application Object Manager                                                    Interactive                      SFSObjMgr_ptb                     Active                                                         Siebel Field Service Object Manager                                                                                                                                                                                                                          Field Service                                                                 FieldSvc                         0                        
Field Service Replenishment Engine                                            Business Service Manager                                                      Batch                            FSRepl                            Active                                                         Replenishes inventory locations                                                                                                                                                                                                                              Field Service                                                                 FieldSvc                         0                        
File System Manager                                                           File System Manager                                                           Batch                            FSMSrvr                           Active                                                         The file system manager component                                                                                                                                                                                                                            Auxiliary System Management                                                   SystemAux                        0                        
Financial eCustomer Object Manager (ENU)                                      Application Object Manager                                                    Interactive                      FINSeCustomerObjMgr_enu           Active                                                         Financial eCustomer Object Manager                                                                                                                                                                                                                           Siebel Financial Services                                                     Fins                             0                        
Financial eCustomer Object Manager (PTB)                                      Application Object Manager                                                    Interactive                      FINSeCustomerObjMgr_ptb           Active                                                         Financial eCustomer Object Manager                                                                                                                                                                                                                           Siebel Financial Services                                                     Fins                             0                        
FINS Customer Relationship Console Object Manager (ENU)                       Application Object Manager                                                    Interactive                      FINSConsoleObjMgr_enu             Active                                                         Siebel Customer Relationship Console Object Manager                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS Customer Relationship Console Object Manager (PTB)                       Application Object Manager                                                    Interactive                      FINSConsoleObjMgr_ptb             Active                                                         Siebel Customer Relationship Console Object Manager                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS eBanking Object Manager (ENU)                                            Application Object Manager                                                    Interactive                      FINSeBankingObjMgr_enu            Active                                                         Siebel FINS eBanking Object Manager                                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS eBanking Object Manager (PTB)                                            Application Object Manager                                                    Interactive                      FINSeBankingObjMgr_ptb            Active                                                         Siebel FINS eBanking Object Manager                                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS eBrokerage Object Manager (ENU)                                          Application Object Manager                                                    Interactive                      FINSeBrokerageObjMgr_enu          Active                                                         Siebel FINS eBrokerage Object Manager                                                                                                                                                                                                                        Siebel Financial Services                                                     Fins                             0                        
FINS eBrokerage Object Manager (PTB)                                          Application Object Manager                                                    Interactive                      FINSeBrokerageObjMgr_ptb          Active                                                         Siebel FINS eBrokerage Object Manager                                                                                                                                                                                                                        Siebel Financial Services                                                     Fins                             0                        
FINS eChannel Object Manager (ENU)                                            Application Object Manager                                                    Interactive                      FINSeChannelObjMgr_enu            Active                                                         Siebel FINS eChannel Object Manager                                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS eChannel Object Manager (PTB)                                            Application Object Manager                                                    Interactive                      FINSeChannelObjMgr_ptb            Active                                                         Siebel FINS eChannel Object Manager                                                                                                                                                                                                                          Siebel Financial Services                                                     Fins                             0                        
FINS eEnrollment Object Manager (ENU)                                         Application Object Manager                                                    Interactive                      FINSeEnrollmentObjMgr_enu         Active                                                         Siebel FINS eEnrollment Object Manager                                                                                                                                                                                                                       Siebel Financial Services                                                     Fins                             0                        
FINS eEnrollment Object Manager (PTB)                                         Application Object Manager                                                    Interactive                      FINSeEnrollmentObjMgr_ptb         Active                                                         Siebel FINS eEnrollment Object Manager                                                                                                                                                                                                                       Siebel Financial Services                                                     Fins                             0                        
FINS eSales Object Manager (ENU)                                              Application Object Manager                                                    Interactive                      FINSeSalesObjMgr_enu              Active                                                         Siebel FINS eSales Object Manager                                                                                                                                                                                                                            Siebel Financial Services                                                     Fins                             0                        
FINS eSales Object Manager (PTB)                                              Application Object Manager                                                    Interactive                      FINSeSalesObjMgr_ptb              Active                                                         Siebel FINS eSales Object Manager                                                                                                                                                                                                                            Siebel Financial Services                                                     Fins                             0                        
FINS Object Manager (ENU)                                                     Application Object Manager                                                    Interactive                      FINSObjMgr_enu                    Active                                                         Siebel Financial Services Object Manager                                                                                                                                                                                                                     Siebel Financial Services                                                     Fins                             0                        
