0000	char0
049B	uni049B
04AE	uni04AE
04AF	uni04AF
04B0	uni04B0
04B1	uni04B1
04B2	uni04B2
04B3	uni04B3
04BA	uni04BA
04BB	uni04BB
04D8	uni04D8
04D9	afii10846
04E2	uni04E2
04E3	uni04E3
04E8	uni04E8
04E9	uni04E9
04EE	uni04EE
04EF	uni04EF
05D0	afii57664
05D1	afii57665
05D2	afii57666
05D3	afii57667
05D4	afii57668
05D5	afii57669
05D6	afii57670
05D7	afii57671
05D8	afii57672
05D9	afii57673
05DA	afii57674
05DB	afii57675
05DC	afii57676
05DD	afii57677
05DE	afii57678
05DF	afii57679
05E0	afii57680
05E1	afii57681
05E2	afii57682
05E3	afii57683
05E4	afii57684
05E5	afii57685
05E6	afii57686
05E7	afii57687
05E8	afii57688
05E9	afii57689
05EA	afii57690
16A0	uni16A0
16A2	uni16A2
16A3	uni16A3
16A6	uni16A6
16A9	uni16A9
16AA	uni16AA
16AB	uni16AB
16B1	uni16B1
16B3	uni16B3
16B7	uni16B7
16B8	uni16B8
16B9	uni16B9
16BB	uni16BB
16BE	uni16BE
16C0	uni16C0
16C4	uni16C4
16C7	uni16C7
16C8	uni16C8
16C9	uni16C9
16CB	uni16CB
16CF	uni16CF
16D2	uni16D2
16D6	uni16D6
16D7	uni16D7
16DA	uni16DA
16DD	uni16DD
16DE	uni16DE
16DF	uni16DF
16E0	uni16E0
16E1	uni16E1
16E2	uni16E2
16E3	uni16E3
16E4	uni16E4
16EB	uni16EB
16EC	uni16EC
16ED	uni16ED
1E02	uni1E02
1E03	uni1E03
1E0A	uni1E0A
1E0B	uni1E0B
1E1E	uni1E1E
1E1F	uni1E1F
1E40	uni1E40
1E41	uni1E41
1E56	uni1E56
1E57	uni1E57
1E60	uni1E60
1E61	uni1E61
1E6A	uni1E6A
1E6B	uni1E6B
1E80	Wgrave
1E81	wgrave
1E82	Wacute
1E83	wacute
1E84	Wdieresis
1E85	wdieresis
1EF2	Ygrave
1EF3	ygrave
1F00	uni1F00
1F01	uni1F01
1F02	uni1F02
1F03	uni1F03
1F04	uni1F04
1F05	uni1F05
1F06	uni1F06
1F07	uni1F07
1F08	uni1F08
1F09	uni1F09
1F0A	uni1F0A
1F0B	uni1F0B
1F0C	uni1F0C
1F0D	uni1F0D
1F0E	uni1F0E
1F0F	uni1F0F
1F10	uni1F10
1F11	uni1F11
1F12	uni1F12
1F13	uni1F13
1F14	uni1F14
1F15	uni1F15
1F18	uni1F18
1F19	uni1F19
1F1A	uni1F1A
1F1B	uni1F1B
1F1C	uni1F1C
1F1D	uni1F1D
1F20	uni1F20
1F21	uni1F21
1F22	uni1F22
1F23	uni1F23
1F24	uni1F24
1F25	uni1F25
1F26	uni1F26
1F27	uni1F27
1F28	uni1F28
1F29	uni1F29
1F2A	uni1F2A
1F2B	uni1F2B
1F2C	uni1F2C
1F2D	uni1F2D
1F2E	uni1F2E
1F2F	uni1F2F
1F30	uni1F30
1F31	uni1F31
1F32	uni1F32
1F33	uni1F33
1F34	uni1F34
1F35	uni1F35
1F36	uni1F36
1F37	uni1F37
1F38	uni1F38
1F39	uni1F39
1F3A	uni1F3A
1F3B	uni1F3B
1F3C	uni1F3C
1F3D	uni1F3D
1F3E	uni1F3E
1F3F	uni1F3F
1F40	uni1F40
1F41	uni1F41
1F42	uni1F42
1F43	uni1F43
1F44	uni1F44
1F45	uni1F45
1F48	uni1F48
1F49	uni1F49
1F4A	uni1F4A
1F4B	uni1F4B
1F4C	uni1F4C
1F4D	uni1F4D
1F50	uni1F50
1F51	uni1F51
1F52	uni1F52
1F53	uni1F53
1F54	uni1F54
1F55	uni1F55
1F56	uni1F56
1F57	uni1F57
1F59	uni1F59
1F5B	uni1F5B
1F5D	uni1F5D
1F5F	uni1F5F
1F60	uni1F60
1F61	uni1F61
1F62	uni1F62
1F63	uni1F63
1F64	uni1F64
1F65	uni1F65
1F66	uni1F66
1F67	uni1F67
1F68	uni1F68
1F69	uni1F69
1F6A	uni1F6A
1F6B	uni1F6B
1F6C	uni1F6C
1F6D	uni1F6D
1F6E	uni1F6E
1F6F	uni1F6F
1F70	uni1F70
1F71	uni1F71
1F72	uni1F72
1F73	uni1F73
1F74	uni1F74
1F75	uni1F75
1F76	uni1F76
1F77	uni1F77
1F78	uni1F78
1F79	uni1F79
1F7A	uni1F7A
1F7B	uni1F7B
1F7C	uni1F7C
1F7D	uni1F7D
1F80	uni1F80
1F81	uni1F81
1F82	uni1F82
1F83	uni1F83
1F84	uni1F84
1F85	uni1F85
1F86	uni1F86
1F87	uni1F87
1F88	uni1F88
1F89	uni1F89
1F8A	uni1F8A
1F8B	uni1F8B
1F8C	uni1F8C
1F8D	uni1F8D
1F8E	uni1F8E
1F8F	uni1F8F
1F90	uni1F90
1F91	uni1F91
1F92	uni1F92
1F93	uni1F93
1F94	uni1F94
1F95	uni1F95
1F96	uni1F96
1F97	uni1F97
1F98	uni1F98
1F99	uni1F99
1F9A	uni1F9A
1F9B	uni1F9B
1F9C	uni1F9C
1F9D	uni1F9D
1F9E	uni1F9E
1F9F	uni1F9F
1FA0	uni1FA0
1FA1	uni1FA1
1FA2	uni1FA2
1FA3	uni1FA3
1FA4	uni1FA4
1FA5	uni1FA5
1FA6	uni1FA6
1FA7	uni1FA7
1FA8	uni1FA8
1FA9	uni1FA9
1FAA	uni1FAA
1FAB	uni1FAB
1FAC	uni1FAC
1FAD	uni1FAD
1FAE	uni1FAE
1FAF	uni1FAF
1FB0	uni1FB0
1FB1	uni1FB1
1FB2	uni1FB2
1FB3	uni1FB3
1FB4	uni1FB4
1FB6	uni1FB6
1FB7	uni1FB7
1FB8	uni1FB8
1FB9	uni1FB9
1FBA	uni1FBA
1FBB	uni1FBB
1FBC	uni1FBC
1FBD	uni1FBD
1FBE	uni1FBE
1FBF	uni1FBF
1FC0	uni1FC0
1FC1	uni1FC1
1FC2	uni1FC2
1FC3	uni1FC3
1FC4	uni1FC4
1FC6	uni1FC6
1FC7	uni1FC7
1FC8	uni1FC8
1FC9	uni1FC9
1FCA	uni1FCA
1FCB	uni1FCB
1FCC	uni1FCC
1FCD	uni1FCD
1FCE	uni1FCE
1FCF	uni1FCF
1FD0	uni1FD0
1FD1	uni1FD1
1FD2	uni1FD2
1FD3	uni1FD3
1FD6	uni1FD6
1FD7	uni1FD7
1FD8	uni1FD8
1FD9	uni1FD9
1FDA	uni1FDA
1FDB	uni1FDB
1FDD	uni1FDD
1FDE	uni1FDE
1FDF	uni1FDF
1FE0	uni1FE0
1FE1	uni1FE1
1FE2	uni1FE2
1FE3	uni1FE3
1FE4	uni1FE4
1FE5	uni1FE5
1FE6	uni1FE6
1FE7	uni1FE7
1FE8	uni1FE8
1FE9	uni1FE9
1FEA	uni1FEA
1FEB	uni1FEB
1FEC	uni1FEC
1FED	uni1FED
1FEE	uni1FEE
1FEF	uni1FEF
1FF2	uni1FF2
1FF3	uni1FF3
1FF4	uni1FF4
1FF6	uni1FF6
1FF7	uni1FF7
1FF8	uni1FF8
1FF9	uni1FF9
1FFA	uni1FFA
1FFB	uni1FFB
1FFC	uni1FFC
1FFD	uni1FFD
1FFE	uni1FFE
2010	uni2010
2011	uni2011
2012	figuredash
2013	endash
2014	emdash
2015	afii00208
2016	uni2016
2017	underscoredbl
2018	quoteleft
2019	quoteright
201A	quotesinglbase
201B	quotereversed
201C	quotedblleft
201D	quotedblright
201E	quotedblbase
201F	uni201F
2020	dagger
2021	daggerdbl
2022	bullet
2023	uni2023
2024	onedotenleader
2025	twodotenleader
2026	ellipsis
2027	uni2027
2030	perthousand
2032	minute
2033	second
2034	uni2034
2035	uni2035
2036	uni2036
2037	uni2037
2039	guilsinglleft
203A	guilsinglright
203C	exclamdbl
203E	uni203E
2044	fraction
2070	zerosuperior
2074	foursuperior
2075	fivesuperior
2076	sixsuperior
2077	sevensuperior
2078	eightsuperior
2079	ninesuperior
207A	uni207A
207B	uni207B
207C	uni207C
207D	parenleftsuperior
207E	parenrightsuperior
207F	nsuperior
2080	zeroinferior
2081	oneinferior
2082	twoinferior
2083	threeinferior
2084	fourinferior
2085	fiveinferior
2086	sixinferior
2087	seveninferior
2088	eightinferior
2089	nineinferior
208A	uni208A
208B	uni208B
208C	uni208C
208D	parenleftinferior
208E	parenrightinferior
20A3	franc
20A4	lira
20A7	peseta
20AB	dong
20AC	Euro
20AF	uni20AF
20D0	uni20D0
20D1	uni20D1
20D2	uni20D2
20D3	uni20D3
20D4	uni20D4
20D5	uni20D5
20D6	uni20D6
20D7	uni20D7
2102	uni2102
2105	afii61248
2113	afii61289
2115	uni2115
2116	afii61352
211A	uni211A
211D	uni211D
2122	trademark
2124	uni2124
2126	Omega
2127	uni2127
212E	estimated
215B	oneeighth
215C	threeeighths
215D	fiveeighths
215E	seveneighths
2190	arrowleft
2191	arrowup
2192	arrowright
2193	arrowdown
2194	arrowboth
2195	arrowupdn
21A4	uni21A4
21A5	uni21A5
21A6	uni21A6
21A7	uni21A7
21A8	arrowupdnbse
21C4	uni21C4
21C6	uni21C6
21CB	uni21CB
21CC	uni21CC
21D0	arrowdblleft
21D1	arrowdblup
21D2	arrowdblright
21D3	arrowdbldown
21D4	arrowdblboth
21D5	uni21D5
2200	universal
2201	uni2201
2202	partialdiff
2203	existential
2204	uni2204
2205	emptyset
2206	Delta
2207	gradient
2208	element
2209	notelement
220A	uni220A
220B	suchthat
220C	uni220C
220D	uni220D
220E	uni220E
220F	product
2210	uni2210
2211	summation
2212	minus
2213	uni2213
2214	uni2214
2215	fraction
2216	uni2216
2217	asteriskmath
2218	uni2218
2219	periodcentered
221A	radical
221B	uni221B
221C	uni221C
221D	proportional
221E	infinity
221F	orthogonal
2220	angle
2221	uni2221
2222	uni2222
2223	uni2223
2224	uni2224
2225	uni2225
2226	uni2226
2227	logicaland
2228	logicalor
2229	intersection
222A	union
222B	integral
222C	uni222C
222D	uni222D
222E	uni222E
222F	uni222F
2230	uni2230
2234	therefore
2235	uni2235
2236	uni2236
2237	uni2237
2238	uni2238
2239	uni2239
223A	uni223A
223C	similar
2243	uni2243
2245	congruent
2248	approxequal
2249	uni2249
2259	uni2259
225A	uni225A
225F	uni225F
2260	notequal
2261	equivalence
2262	uni2262
2263	uni2263
2264	lessequal
2265	greaterequal
226A	uni226A
226B	uni226B
2282	propersubset
2283	propersuperset
2284	notsubset
2285	uni2285
2286	reflexsubset
2287	reflexsuperset
2288	uni2288
2289	uni2289
228A	uni228A
228B	uni228B
2295	circleplus
2296	uni2296
2297	circlemultiply
2298	uni2298
2299	uni2299
22A2	uni22A2
22A3	uni22A3
22A4	uni22A4
22A5	perpendicular
22A6	uni22A6
22A7	uni22A7
22A8	uni22A8
22C2	uni22C2
22C3	uni22C3
22C5	dotmath
22EE	uni22EE
22EF	uni22EF
22F0	uni22F0
22F1	uni22F1
2300	uni2300
2302	house
2308	uni2308
2309	uni2309
230A	uni230A
230B	uni230B
2310	revlogicalnot
2320	integraltp
2321	integralbt
2329	angleleft
232A	angleright
23BA	uni23BA
23BB	uni23BB
23BC	uni23BC
23BD	uni23BD
2409	uni2409
240A	uni240A
240B	uni240B
240C	uni240C
240D	uni240D
2423	uni2423
2424	uni2424
